,cl,percent,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
2,0.2,10,closest,observed,CS,Gauss-Newton,0.07,False,True,True,LS,-16.872,0.209,0.286,0.165
0,0.2,10,closest,observed,CS,Gauss-Newton,0.07,False,True,False,LT,-10.625,0.176,-1.142,0.28
1,0.2,10,closest,observed,CS,Gauss-Newton,0.07,False,True,False,ID,-11.14,0.174,-1.232,0.28
2,0.2,10,closest,observed,CS,Gauss-Newton,0.07,False,True,False,LS,-10.61,0.177,-1.179,0.28
0,0.2,10,closest,observed,CS,Gauss-Newton,0.07,False,False,True,LT,-16.758,0.208,0.316,0.161
1,0.2,10,closest,observed,CS,Gauss-Newton,0.07,False,False,True,ID,-14.736,0.199,0.38,0.154
2,0.2,10,closest,observed,CS,Gauss-Newton,0.07,False,False,True,LS,-16.872,0.209,0.286,0.165
0,0.2,10,closest,observed,CS,Gauss-Newton,0.07,False,False,False,LT,-10.625,0.176,-1.142,0.28
1,0.2,10,closest,observed,CS,Gauss-Newton,0.07,False,False,False,ID,-11.14,0.174,-1.232,0.28
2,0.2,10,closest,observed,CS,Gauss-Newton,0.07,False,False,False,LS,-10.61,0.177,-1.179,0.28
0,0.2,10,closest,observed,CS,Gauss-Newton,0.2,True,True,True,LT,-17.846,0.212,0.38,0.147
1,0.2,10,closest,observed,CS,Gauss-Newton,0.2,True,True,True,ID,-16.273,0.208,0.488,0.14
2,0.2,10,closest,observed,CS,Gauss-Newton,0.2,True,True,True,LS,-17.975,0.213,0.364,0.151
0,0.2,10,closest,observed,CS,Gauss-Newton,0.2,True,True,False,LT,-17.846,0.212,0.38,0.147
1,0.2,10,closest,observed,CS,Gauss-Newton,0.2,True,True,False,ID,-16.273,0.208,0.488,0.14
2,0.2,10,closest,observed,CS,Gauss-Newton,0.2,True,True,False,LS,-17.975,0.213,0.364,0.151
0,0.2,10,closest,observed,CS,Gauss-Newton,0.2,True,False,True,LT,-17.846,0.212,0.38,0.147
1,0.2,10,closest,observed,CS,Gauss-Newton,0.2,True,False,True,ID,-16.273,0.208,0.488,0.14
2,0.2,10,closest,observed,CS,Gauss-Newton,0.2,True,False,True,LS,-17.975,0.213,0.364,0.151
0,0.2,10,closest,observed,CS,Gauss-Newton,0.2,True,False,False,LT,-17.846,0.212,0.38,0.147
1,0.2,10,closest,observed,CS,Gauss-Newton,0.2,True,False,False,ID,-16.273,0.208,0.488,0.14
2,0.2,10,closest,observed,CS,Gauss-Newton,0.2,True,False,False,LS,-17.975,0.213,0.364,0.151
0,0.2,10,closest,observed,CS,Gauss-Newton,0.2,False,True,True,LT,-17.289,0.208,0.446,0.143
1,0.2,10,closest,observed,CS,Gauss-Newton,0.2,False,True,True,ID,-15.435,0.202,0.53,0.134
2,0.2,10,closest,observed,CS,Gauss-Newton,0.2,False,True,True,LS,-17.578,0.209,0.422,0.146
0,0.2,10,closest,observed,CS,Gauss-Newton,0.2,False,True,False,LT,-10.314,0.174,-1.118,0.278
1,0.2,10,closest,observed,CS,Gauss-Newton,0.2,False,True,False,ID,-11.103,0.174,-1.179,0.28
2,0.2,10,closest,observed,CS,Gauss-Newton,0.2,False,True,False,LS,-10.315,0.174,-1.15,0.28
0,0.2,10,closest,observed,CS,Gauss-Newton,0.2,False,False,True,LT,-17.289,0.208,0.446,0.143
1,0.2,10,closest,observed,CS,Gauss-Newton,0.2,False,False,True,ID,-15.435,0.202,0.53,0.134
2,0.2,10,closest,observed,CS,Gauss-Newton,0.2,False,False,True,LS,-17.578,0.209,0.422,0.146
0,0.2,10,closest,observed,CS,Gauss-Newton,0.2,False,False,False,LT,-10.314,0.174,-1.118,0.278
1,0.2,10,closest,observed,CS,Gauss-Newton,0.2,False,False,False,ID,-11.103,0.174,-1.179,0.28
2,0.2,10,closest,observed,CS,Gauss-Newton,0.2,False,False,False,LS,-10.315,0.174,-1.15,0.28
0,0.2,10,closest,observed,CS,ROPE,0.01,True,True,True,LT,-16.072,0.212,-0.392,0.232
1,0.2,10,closest,observed,CS,ROPE,0.01,True,True,True,ID,-14.31,0.196,-0.342,0.23
2,0.2,10,closest,observed,CS,ROPE,0.01,True,True,True,LS,-14.994,0.205,-0.332,0.228
0,0.2,10,closest,observed,CS,ROPE,0.01,True,True,False,LT,-2.088,0.085,-0.209,0.214
1,0.2,10,closest,observed,CS,ROPE,0.01,True,True,False,ID,-3.144,0.1,-0.264,0.215
2,0.2,10,closest,observed,CS,ROPE,0.01,True,True,False,LS,-2.222,0.088,-0.252,0.218
0,0.2,10,closest,observed,CS,ROPE,0.01,True,False,True,LT,-9.444,0.165,-0.152,0.212
1,0.2,10,closest,observed,CS,ROPE,0.01,True,False,True,ID,-10.279,0.172,-0.2,0.214
2,0.2,10,closest,observed,CS,ROPE,0.01,True,False,True,LS,-8.907,0.16,-0.134,0.21
0,0.2,10,closest,observed,CS,ROPE,0.01,True,False,False,LT,-1.203,0.076,-0.153,0.208
1,0.2,10,closest,observed,CS,ROPE,0.01,True,False,False,ID,-2.647,0.097,-0.214,0.216
2,0.2,10,closest,observed,CS,ROPE,0.01,True,False,False,LS,-1.321,0.078,-0.204,0.211
0,0.2,10,closest,observed,CS,ROPE,0.01,False,True,True,LT,-12.461,0.184,-0.116,0.201
1,0.2,10,closest,observed,CS,ROPE,0.01,False,True,True,ID,-10.154,0.173,-0.025,0.189
2,0.2,10,closest,observed,CS,ROPE,0.01,False,True,True,LS,-11.844,0.179,-0.075,0.198
0,0.2,10,closest,observed,CS,ROPE,0.01,False,True,False,LT,-8.809,0.154,-1.135,0.29
1,0.2,10,closest,observed,CS,ROPE,0.01,False,True,False,ID,-8.966,0.162,-1.219,0.29
2,0.2,10,closest,observed,CS,ROPE,0.01,False,True,False,LS,-8.958,0.156,-1.166,0.292
0,0.2,10,closest,observed,CS,ROPE,0.01,False,False,True,LT,-13.843,0.198,-0.086,0.198
1,0.2,10,closest,observed,CS,ROPE,0.01,False,False,True,ID,-11.756,0.186,0.011,0.194
2,0.2,10,closest,observed,CS,ROPE,0.01,False,False,True,LS,-13.164,0.192,-0.036,0.193
0,0.2,10,closest,observed,CS,ROPE,0.01,False,False,False,LT,-10.17,0.161,-1.222,0.294
1,0.2,10,closest,observed,CS,ROPE,0.01,False,False,False,ID,-10.869,0.166,-1.354,0.299
2,0.2,10,closest,observed,CS,ROPE,0.01,False,False,False,LS,-10.276,0.162,-1.251,0.296
0,0.2,10,closest,observed,CS,ROPE,0.07,True,True,True,LT,-15.76,0.207,-0.211,0.211
1,0.2,10,closest,observed,CS,ROPE,0.07,True,True,True,ID,-14.26,0.195,-0.085,0.204
2,0.2,10,closest,observed,CS,ROPE,0.07,True,True,True,LS,-14.68,0.203,-0.155,0.208
0,0.2,10,closest,observed,CS,ROPE,0.07,True,True,False,LT,-0.967,0.071,0.022,0.197
1,0.2,10,closest,observed,CS,ROPE,0.07,True,True,False,ID,-1.662,0.084,-0.066,0.202
2,0.2,10,closest,observed,CS,ROPE,0.07,True,True,False,LS,-0.81,0.068,-0.009,0.198
0,0.2,10,closest,observed,CS,ROPE,0.07,True,False,True,LT,-15.715,0.212,-0.191,0.212
1,0.2,10,closest,observed,CS,ROPE,0.07,True,False,True,ID,-13.378,0.195,-0.158,0.209
2,0.2,10,closest,observed,CS,ROPE,0.07,True,False,True,LS,-14.748,0.208,-0.139,0.207
0,0.2,10,closest,observed,CS,ROPE,0.07,True,False,False,LT,-0.681,0.066,0.027,0.195
1,0.2,10,closest,observed,CS,ROPE,0.07,True,False,False,ID,-1.948,0.088,-0.086,0.2
2,0.2,10,closest,observed,CS,ROPE,0.07,True,False,False,LS,-0.596,0.066,0.004,0.196
0,0.2,10,closest,observed,CS,ROPE,0.07,False,True,True,LT,-14.285,0.198,-0.246,0.212
1,0.2,10,closest,observed,CS,ROPE,0.07,False,True,True,ID,-11.414,0.184,-0.136,0.208
2,0.2,10,closest,observed,CS,ROPE,0.07,False,True,True,LS,-13.248,0.192,-0.184,0.206
0,0.2,10,closest,observed,CS,ROPE,0.07,False,True,False,LT,-9.247,0.162,-1.106,0.283
1,0.2,10,closest,observed,CS,ROPE,0.07,False,True,False,ID,-9.643,0.168,-1.215,0.288
2,0.2,10,closest,observed,CS,ROPE,0.07,False,True,False,LS,-9.471,0.164,-1.127,0.286
0,0.2,10,closest,observed,CS,ROPE,0.07,False,False,True,LT,-16.052,0.21,-0.282,0.218
1,0.2,10,closest,observed,CS,ROPE,0.07,False,False,True,ID,-12.67,0.19,-0.176,0.206
2,0.2,10,closest,observed,CS,ROPE,0.07,False,False,True,LS,-15.309,0.206,-0.234,0.214
0,0.2,10,closest,observed,CS,ROPE,0.07,False,False,False,LT,-9.349,0.154,-1.139,0.288
1,0.2,10,closest,observed,CS,ROPE,0.07,False,False,False,ID,-9.906,0.166,-1.391,0.295
2,0.2,10,closest,observed,CS,ROPE,0.07,False,False,False,LS,-9.439,0.156,-1.178,0.29
0,0.2,10,closest,observed,CS,ROPE,0.2,True,True,True,LT,-18.586,0.225,-0.551,0.238
1,0.2,10,closest,observed,CS,ROPE,0.2,True,True,True,ID,-13.166,0.198,-0.329,0.23
2,0.2,10,closest,observed,CS,ROPE,0.2,True,True,True,LS,-17.733,0.221,-0.482,0.233
0,0.2,10,closest,observed,CS,ROPE,0.2,True,True,False,LT,-0.784,0.065,-0.152,0.214
1,0.2,10,closest,observed,CS,ROPE,0.2,True,True,False,ID,-1.154,0.074,-0.242,0.211
2,0.2,10,closest,observed,CS,ROPE,0.2,True,True,False,LS,-0.756,0.066,-0.199,0.216
0,0.2,10,closest,observed,CS,ROPE,0.2,True,False,True,LT,-15.913,0.212,-0.484,0.236
1,0.2,10,closest,observed,CS,ROPE,0.2,True,False,True,ID,-13.33,0.194,-0.385,0.224
2,0.2,10,closest,observed,CS,ROPE,0.2,True,False,True,LS,-15.27,0.208,-0.454,0.232
0,0.2,10,closest,observed,CS,ROPE,0.2,True,False,False,LT,-1.734,0.081,-0.375,0.221
1,0.2,10,closest,observed,CS,ROPE,0.2,True,False,False,ID,-2.656,0.097,-0.399,0.223
2,0.2,10,closest,observed,CS,ROPE,0.2,True,False,False,LS,-1.818,0.081,-0.408,0.225
0,0.2,10,closest,observed,CS,ROPE,0.2,False,True,True,LT,-13.969,0.198,-0.126,0.208
1,0.2,10,closest,observed,CS,ROPE,0.2,False,True,True,ID,-11.4,0.178,-0.078,0.198
2,0.2,10,closest,observed,CS,ROPE,0.2,False,True,True,LS,-13.474,0.193,-0.082,0.203
0,0.2,10,closest,observed,CS,ROPE,0.2,False,True,False,LT,-7.652,0.137,-1.0,0.275
1,0.2,10,closest,observed,CS,ROPE,0.2,False,True,False,ID,-7.743,0.147,-1.072,0.279
2,0.2,10,closest,observed,CS,ROPE,0.2,False,True,False,LS,-7.722,0.137,-1.018,0.276
0,0.2,10,closest,observed,CS,ROPE,0.2,False,False,True,LT,-16.278,0.212,-0.48,0.24
1,0.2,10,closest,observed,CS,ROPE,0.2,False,False,True,ID,-13.088,0.2,-0.468,0.236
2,0.2,10,closest,observed,CS,ROPE,0.2,False,False,True,LS,-15.714,0.206,-0.467,0.238
0,0.2,10,closest,observed,CS,ROPE,0.2,False,False,False,LT,-7.086,0.143,-0.824,0.268
1,0.2,10,closest,observed,CS,ROPE,0.2,False,False,False,ID,-7.653,0.152,-0.898,0.274
2,0.2,10,closest,observed,CS,ROPE,0.2,False,False,False,LS,-7.132,0.142,-0.842,0.27
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,True,True,True,LT,-21.736,0.238,-1.695,0.322
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,True,True,True,ID,-22.411,0.245,-1.79,0.324
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,True,True,True,LS,-22.332,0.241,-1.766,0.325
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,True,True,False,LT,-21.736,0.238,-1.695,0.322
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,True,True,False,ID,-22.411,0.245,-1.79,0.324
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,True,True,False,LS,-22.332,0.241,-1.766,0.325
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,True,False,True,LT,-21.736,0.238,-1.695,0.322
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,True,False,True,ID,-22.411,0.245,-1.79,0.324
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,True,False,True,LS,-22.332,0.241,-1.766,0.325
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,True,False,False,LT,-21.736,0.238,-1.695,0.322
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,True,False,False,ID,-22.411,0.245,-1.79,0.324
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,True,False,False,LS,-22.332,0.241,-1.766,0.325
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,False,True,True,LT,-25.388,0.254,-2.013,0.338
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,False,True,True,ID,-25.499,0.26,-2.246,0.344
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,False,True,True,LS,-26.199,0.258,-2.101,0.342
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,False,True,False,LT,-15.924,0.209,-1.662,0.324
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,False,True,False,ID,-15.96,0.212,-1.868,0.324
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,False,True,False,LS,-16.221,0.212,-1.729,0.326
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,False,False,True,LT,-25.388,0.254,-2.013,0.338
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,False,False,True,ID,-25.499,0.26,-2.246,0.344
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,False,False,True,LS,-26.199,0.258,-2.101,0.342
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,False,False,False,LT,-15.924,0.209,-1.662,0.324
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,False,False,False,ID,-15.96,0.212,-1.868,0.324
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.01,False,False,False,LS,-16.221,0.212,-1.729,0.326
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,True,True,True,LT,-18.102,0.228,0.075,0.188
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,True,True,True,ID,-18.06,0.224,0.057,0.184
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,True,True,True,LS,-18.135,0.228,0.072,0.19
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,True,True,False,LT,-18.102,0.228,0.075,0.188
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,True,True,False,ID,-18.06,0.224,0.057,0.184
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,True,True,False,LS,-18.135,0.228,0.072,0.19
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,True,False,True,LT,-18.102,0.228,0.075,0.188
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,True,False,True,ID,-18.06,0.224,0.057,0.184
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,True,False,True,LS,-18.135,0.228,0.072,0.19
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,True,False,False,LT,-18.102,0.228,0.075,0.188
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,True,False,False,ID,-18.06,0.224,0.057,0.184
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,True,False,False,LS,-18.135,0.228,0.072,0.19
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,False,True,True,LT,-18.482,0.224,-0.106,0.205
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,False,True,True,ID,-18.376,0.225,-0.113,0.203
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,False,True,True,LS,-18.388,0.224,-0.121,0.206
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,False,True,False,LT,-11.54,0.183,-1.209,0.284
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,False,True,False,ID,-12.024,0.184,-1.324,0.288
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,False,True,False,LS,-11.668,0.185,-1.23,0.286
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,False,False,True,LT,-18.482,0.224,-0.106,0.205
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,False,False,True,ID,-18.376,0.225,-0.113,0.203
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,False,False,True,LS,-18.388,0.224,-0.121,0.206
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,False,False,False,LT,-11.54,0.183,-1.209,0.284
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,False,False,False,ID,-12.024,0.184,-1.324,0.288
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.07,False,False,False,LS,-11.668,0.185,-1.23,0.286
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,True,True,True,LT,-16.016,0.211,0.652,0.111
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,True,True,True,ID,-12.982,0.189,0.81,0.084
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,True,True,True,LS,-15.672,0.207,0.682,0.106
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,True,True,False,LT,-16.016,0.211,0.652,0.111
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,True,True,False,ID,-12.982,0.189,0.81,0.084
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,True,True,False,LS,-15.672,0.207,0.682,0.106
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,True,False,True,LT,-16.016,0.211,0.652,0.111
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,True,False,True,ID,-12.982,0.189,0.81,0.084
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,True,False,True,LS,-15.672,0.207,0.682,0.106
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,True,False,False,LT,-16.016,0.211,0.652,0.111
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,True,False,False,ID,-12.982,0.189,0.81,0.084
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,True,False,False,LS,-15.672,0.207,0.682,0.106
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,False,True,True,LT,-16.075,0.21,0.512,0.132
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,False,True,True,ID,-13.567,0.194,0.631,0.114
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,False,True,True,LS,-15.94,0.208,0.528,0.128
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,False,True,False,LT,-10.745,0.18,-1.123,0.276
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,False,True,False,ID,-11.724,0.18,-1.222,0.282
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,False,True,False,LS,-10.74,0.181,-1.156,0.278
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,False,False,True,LT,-16.075,0.21,0.512,0.132
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,False,False,True,ID,-13.567,0.194,0.631,0.114
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,False,False,True,LS,-15.94,0.208,0.528,0.128
0,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,False,False,False,LT,-10.745,0.18,-1.123,0.276
1,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,False,False,False,ID,-11.724,0.18,-1.222,0.282
2,0.2,10,closest,observed,FSlin,Gauss-Newton,0.2,False,False,False,LS,-10.74,0.181,-1.156,0.278
0,0.2,10,closest,observed,FSlin,ROPE,0.01,True,True,True,LT,-15.176,0.205,-0.464,0.236
1,0.2,10,closest,observed,FSlin,ROPE,0.01,True,True,True,ID,-13.444,0.196,-0.451,0.239
2,0.2,10,closest,observed,FSlin,ROPE,0.01,True,True,True,LS,-14.324,0.2,-0.426,0.233
0,0.2,10,closest,observed,FSlin,ROPE,0.01,True,True,False,LT,-0.986,0.073,-0.136,0.208
1,0.2,10,closest,observed,FSlin,ROPE,0.01,True,True,False,ID,-2.16,0.092,-0.234,0.216
2,0.2,10,closest,observed,FSlin,ROPE,0.01,True,True,False,LS,-1.06,0.074,-0.19,0.21
0,0.2,10,closest,observed,FSlin,ROPE,0.01,True,False,True,LT,-12.539,0.186,-0.02,0.198
1,0.2,10,closest,observed,FSlin,ROPE,0.01,True,False,True,ID,-11.132,0.176,-0.001,0.196
2,0.2,10,closest,observed,FSlin,ROPE,0.01,True,False,True,LS,-11.83,0.179,0.024,0.193
0,0.2,10,closest,observed,FSlin,ROPE,0.01,True,False,False,LT,-1.09,0.072,-0.17,0.214
1,0.2,10,closest,observed,FSlin,ROPE,0.01,True,False,False,ID,-2.319,0.088,-0.284,0.221
2,0.2,10,closest,observed,FSlin,ROPE,0.01,True,False,False,LS,-1.094,0.073,-0.208,0.216
0,0.2,10,closest,observed,FSlin,ROPE,0.01,False,True,True,LT,-11.706,0.176,-0.12,0.207
1,0.2,10,closest,observed,FSlin,ROPE,0.01,False,True,True,ID,-8.965,0.158,0.004,0.198
2,0.2,10,closest,observed,FSlin,ROPE,0.01,False,True,True,LS,-11.029,0.17,-0.078,0.204
0,0.2,10,closest,observed,FSlin,ROPE,0.01,False,True,False,LT,-8.868,0.153,-1.106,0.287
1,0.2,10,closest,observed,FSlin,ROPE,0.01,False,True,False,ID,-9.02,0.156,-1.154,0.288
2,0.2,10,closest,observed,FSlin,ROPE,0.01,False,True,False,LS,-8.888,0.154,-1.122,0.289
0,0.2,10,closest,observed,FSlin,ROPE,0.01,False,False,True,LT,-9.497,0.164,-0.338,0.229
1,0.2,10,closest,observed,FSlin,ROPE,0.01,False,False,True,ID,-9.159,0.153,-0.345,0.227
2,0.2,10,closest,observed,FSlin,ROPE,0.01,False,False,True,LS,-8.87,0.158,-0.328,0.226
0,0.2,10,closest,observed,FSlin,ROPE,0.01,False,False,False,LT,-9.99,0.163,-1.171,0.286
1,0.2,10,closest,observed,FSlin,ROPE,0.01,False,False,False,ID,-10.802,0.171,-1.293,0.296
2,0.2,10,closest,observed,FSlin,ROPE,0.01,False,False,False,LS,-10.084,0.164,-1.214,0.287
0,0.2,10,closest,observed,FSlin,ROPE,0.07,True,True,True,LT,-12.654,0.187,-0.442,0.228
1,0.2,10,closest,observed,FSlin,ROPE,0.07,True,True,True,ID,-10.474,0.172,-0.308,0.214
2,0.2,10,closest,observed,FSlin,ROPE,0.07,True,True,True,LS,-11.776,0.182,-0.398,0.224
0,0.2,10,closest,observed,FSlin,ROPE,0.07,True,True,False,LT,-1.336,0.08,-0.142,0.205
1,0.2,10,closest,observed,FSlin,ROPE,0.07,True,True,False,ID,-2.992,0.098,-0.256,0.217
2,0.2,10,closest,observed,FSlin,ROPE,0.07,True,True,False,LS,-1.533,0.081,-0.173,0.209
0,0.2,10,closest,observed,FSlin,ROPE,0.07,True,False,True,LT,-11.753,0.183,0.112,0.184
1,0.2,10,closest,observed,FSlin,ROPE,0.07,True,False,True,ID,-9.992,0.166,0.14,0.182
2,0.2,10,closest,observed,FSlin,ROPE,0.07,True,False,True,LS,-11.266,0.178,0.16,0.18
0,0.2,10,closest,observed,FSlin,ROPE,0.07,True,False,False,LT,-2.218,0.092,-0.342,0.224
1,0.2,10,closest,observed,FSlin,ROPE,0.07,True,False,False,ID,-3.08,0.101,-0.451,0.229
2,0.2,10,closest,observed,FSlin,ROPE,0.07,True,False,False,LS,-2.061,0.09,-0.364,0.226
0,0.2,10,closest,observed,FSlin,ROPE,0.07,False,True,True,LT,-11.872,0.181,-0.311,0.22
1,0.2,10,closest,observed,FSlin,ROPE,0.07,False,True,True,ID,-8.514,0.161,-0.222,0.208
2,0.2,10,closest,observed,FSlin,ROPE,0.07,False,True,True,LS,-11.332,0.177,-0.26,0.216
0,0.2,10,closest,observed,FSlin,ROPE,0.07,False,True,False,LT,-7.504,0.142,-0.972,0.27
1,0.2,10,closest,observed,FSlin,ROPE,0.07,False,True,False,ID,-7.738,0.146,-1.01,0.28
2,0.2,10,closest,observed,FSlin,ROPE,0.07,False,True,False,LS,-7.56,0.141,-0.996,0.273
0,0.2,10,closest,observed,FSlin,ROPE,0.07,False,False,True,LT,-13.935,0.198,-0.119,0.204
1,0.2,10,closest,observed,FSlin,ROPE,0.07,False,False,True,ID,-10.485,0.175,-0.024,0.197
2,0.2,10,closest,observed,FSlin,ROPE,0.07,False,False,True,LS,-12.895,0.192,-0.066,0.2
0,0.2,10,closest,observed,FSlin,ROPE,0.07,False,False,False,LT,-8.898,0.157,-0.988,0.282
1,0.2,10,closest,observed,FSlin,ROPE,0.07,False,False,False,ID,-9.2,0.16,-0.99,0.278
2,0.2,10,closest,observed,FSlin,ROPE,0.07,False,False,False,LS,-9.003,0.157,-1.024,0.284
0,0.2,10,closest,observed,FSlin,ROPE,0.2,True,True,True,LT,-14.11,0.198,-0.11,0.206
1,0.2,10,closest,observed,FSlin,ROPE,0.2,True,True,True,ID,-12.327,0.185,-0.046,0.197
2,0.2,10,closest,observed,FSlin,ROPE,0.2,True,True,True,LS,-13.418,0.196,-0.076,0.203
0,0.2,10,closest,observed,FSlin,ROPE,0.2,True,True,False,LT,-0.917,0.07,-0.042,0.198
1,0.2,10,closest,observed,FSlin,ROPE,0.2,True,True,False,ID,-2.224,0.092,-0.145,0.206
2,0.2,10,closest,observed,FSlin,ROPE,0.2,True,True,False,LS,-0.907,0.069,-0.068,0.2
0,0.2,10,closest,observed,FSlin,ROPE,0.2,True,False,True,LT,-16.17,0.211,-0.44,0.234
1,0.2,10,closest,observed,FSlin,ROPE,0.2,True,False,True,ID,-13.75,0.196,-0.394,0.227
2,0.2,10,closest,observed,FSlin,ROPE,0.2,True,False,True,LS,-15.026,0.205,-0.396,0.23
0,0.2,10,closest,observed,FSlin,ROPE,0.2,True,False,False,LT,-0.41,0.063,-0.164,0.212
1,0.2,10,closest,observed,FSlin,ROPE,0.2,True,False,False,ID,-1.706,0.083,-0.186,0.216
2,0.2,10,closest,observed,FSlin,ROPE,0.2,True,False,False,LS,-0.424,0.062,-0.196,0.214
0,0.2,10,closest,observed,FSlin,ROPE,0.2,False,True,True,LT,-16.689,0.214,-0.36,0.224
1,0.2,10,closest,observed,FSlin,ROPE,0.2,False,True,True,ID,-15.368,0.202,-0.268,0.22
2,0.2,10,closest,observed,FSlin,ROPE,0.2,False,True,True,LS,-16.208,0.211,-0.301,0.22
0,0.2,10,closest,observed,FSlin,ROPE,0.2,False,True,False,LT,-8.946,0.15,-1.184,0.286
1,0.2,10,closest,observed,FSlin,ROPE,0.2,False,True,False,ID,-8.987,0.164,-1.312,0.292
2,0.2,10,closest,observed,FSlin,ROPE,0.2,False,True,False,LS,-9.052,0.152,-1.206,0.288
0,0.2,10,closest,observed,FSlin,ROPE,0.2,False,False,True,LT,-15.098,0.201,-0.194,0.216
1,0.2,10,closest,observed,FSlin,ROPE,0.2,False,False,True,ID,-11.757,0.184,-0.145,0.206
2,0.2,10,closest,observed,FSlin,ROPE,0.2,False,False,True,LS,-14.574,0.198,-0.156,0.211
0,0.2,10,closest,observed,FSlin,ROPE,0.2,False,False,False,LT,-7.166,0.137,-0.916,0.27
1,0.2,10,closest,observed,FSlin,ROPE,0.2,False,False,False,ID,-7.53,0.144,-1.055,0.278
2,0.2,10,closest,observed,FSlin,ROPE,0.2,False,False,False,LS,-7.186,0.137,-0.934,0.272
