,cl,percent,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0,0.2,10,FSeq,ROPE,0.07,True,True,False,LT,-0.536,0.064,-0.011,0.196
1,0.2,10,FSeq,ROPE,0.07,True,True,False,ID,-1.957,0.088,-0.106,0.204
2,0.2,10,FSeq,ROPE,0.07,True,True,False,LS,-0.598,0.064,-0.036,0.198
0,0.2,10,FSeq,ROPE,0.07,True,False,True,LT,-16.557,0.215,-0.562,0.241
1,0.2,10,FSeq,ROPE,0.07,True,False,True,ID,-14.677,0.201,-0.454,0.234
2,0.2,10,FSeq,ROPE,0.07,True,False,True,LS,-15.838,0.21,-0.536,0.238
0,0.2,10,FSeq,ROPE,0.07,True,False,False,LT,-0.839,0.067,-0.176,0.212
1,0.2,10,FSeq,ROPE,0.07,True,False,False,ID,-2.162,0.09,-0.314,0.22
2,0.2,10,FSeq,ROPE,0.07,True,False,False,LS,-1.004,0.07,-0.216,0.213
0,0.2,10,FSeq,ROPE,0.07,True,False,False,LT,-0.839,0.067,-0.176,0.212
1,0.2,10,FSeq,ROPE,0.07,True,False,False,ID,-2.162,0.09,-0.314,0.22
2,0.2,10,FSeq,ROPE,0.07,True,False,False,LS,-1.004,0.07,-0.216,0.213
0,0.2,10,FSeq,ROPE,0.07,False,True,False,LT,-0.328,0.058,0.127,0.187
1,0.2,10,FSeq,ROPE,0.07,False,True,False,ID,-1.918,0.087,-0.03,0.196
2,0.2,10,FSeq,ROPE,0.07,False,True,False,LS,-0.246,0.058,0.092,0.19
0,0.2,10,FSeq,ROPE,0.07,False,True,False,LT,-0.328,0.058,0.127,0.187
1,0.2,10,FSeq,ROPE,0.07,False,True,False,ID,-1.918,0.087,-0.03,0.196
2,0.2,10,FSeq,ROPE,0.07,False,True,False,LS,-0.246,0.058,0.092,0.19
0,0.2,10,FSeq,ROPE,0.07,False,False,False,LT,-0.566,0.063,-0.006,0.193
1,0.2,10,FSeq,ROPE,0.07,False,False,False,ID,-1.68,0.082,-0.045,0.199
2,0.2,10,FSeq,ROPE,0.07,False,False,False,LS,-0.587,0.063,-0.062,0.196
0,0.2,10,FSeq,ROPE,0.2,True,True,True,LT,-16.588,0.213,-0.278,0.224
1,0.2,10,FSeq,ROPE,0.2,True,True,True,ID,-14.509,0.203,-0.211,0.22
2,0.2,10,FSeq,ROPE,0.2,True,True,True,LS,-15.79,0.208,-0.226,0.219
0,0.2,10,FSeq,ROPE,0.2,True,True,False,LT,-1.369,0.084,-0.139,0.212
1,0.2,10,FSeq,ROPE,0.2,True,True,False,ID,-2.83,0.1,-0.271,0.216
2,0.2,10,FSeq,ROPE,0.2,True,True,False,LS,-1.464,0.084,-0.166,0.216
0,0.2,10,FSeq,ROPE,0.2,True,False,True,LT,-14.852,0.208,-0.44,0.232
1,0.2,10,FSeq,ROPE,0.2,True,False,True,ID,-12.592,0.191,-0.267,0.226
2,0.2,10,FSeq,ROPE,0.2,True,False,True,LS,-14.232,0.2,-0.385,0.229
0,0.2,10,FSeq,ROPE,0.2,True,False,False,LT,-0.841,0.07,-0.106,0.208
1,0.2,10,FSeq,ROPE,0.2,True,False,False,ID,-2.093,0.092,-0.246,0.216
2,0.2,10,FSeq,ROPE,0.2,True,False,False,LS,-0.825,0.07,-0.138,0.21
0,0.2,10,FSeq,ROPE,0.2,True,False,False,LT,-0.841,0.07,-0.106,0.208
1,0.2,10,FSeq,ROPE,0.2,True,False,False,ID,-2.093,0.092,-0.246,0.216
2,0.2,10,FSeq,ROPE,0.2,True,False,False,LS,-0.825,0.07,-0.138,0.21
0,0.2,10,FSeq,ROPE,0.2,False,True,False,LT,-0.774,0.062,-0.302,0.227
1,0.2,10,FSeq,ROPE,0.2,False,True,False,ID,-1.56,0.082,-0.372,0.226
2,0.2,10,FSeq,ROPE,0.2,False,True,False,LS,-0.885,0.062,-0.338,0.228
0,0.2,10,FSeq,ROPE,0.2,False,True,False,LT,-0.774,0.062,-0.302,0.227
1,0.2,10,FSeq,ROPE,0.2,False,True,False,ID,-1.56,0.082,-0.372,0.226
2,0.2,10,FSeq,ROPE,0.2,False,True,False,LS,-0.885,0.062,-0.338,0.228
0,0.2,10,FSeq,ROPE,0.2,False,False,False,LT,-0.635,0.063,-0.128,0.2
1,0.2,10,FSeq,ROPE,0.2,False,False,False,ID,-1.628,0.082,-0.184,0.208
2,0.2,10,FSeq,ROPE,0.2,False,False,False,LS,-0.671,0.065,-0.14,0.202
0,0.2,10,CS,Gauss-Newton,0.01,True,True,True,LT,-15.912,0.21,0.168,0.174
1,0.2,10,CS,Gauss-Newton,0.01,True,True,True,ID,-14.278,0.2,0.2,0.173
2,0.2,10,CS,Gauss-Newton,0.01,True,True,True,LS,-16.294,0.21,0.119,0.178
0,0.2,10,CS,Gauss-Newton,0.01,True,True,False,LT,-15.912,0.21,0.168,0.174
1,0.2,10,CS,Gauss-Newton,0.01,True,True,False,ID,-14.278,0.2,0.2,0.173
2,0.2,10,CS,Gauss-Newton,0.01,True,True,False,LS,-16.294,0.21,0.119,0.178
0,0.2,10,CS,Gauss-Newton,0.01,True,False,True,LT,-15.912,0.21,0.168,0.174
1,0.2,10,CS,Gauss-Newton,0.01,True,False,True,ID,-14.278,0.2,0.2,0.173
2,0.2,10,CS,Gauss-Newton,0.01,True,False,True,LS,-16.294,0.21,0.119,0.178
0,0.2,10,CS,Gauss-Newton,0.01,True,False,False,LT,-15.912,0.21,0.168,0.174
1,0.2,10,CS,Gauss-Newton,0.01,True,False,False,ID,-14.278,0.2,0.2,0.173
2,0.2,10,CS,Gauss-Newton,0.01,True,False,False,LS,-16.294,0.21,0.119,0.178
0,0.2,10,CS,Gauss-Newton,0.01,False,True,True,LT,-22.567,0.25,-1.025,0.278
1,0.2,10,CS,Gauss-Newton,0.01,False,True,True,ID,-22.788,0.248,-0.901,0.276
2,0.2,10,CS,Gauss-Newton,0.01,False,True,True,LS,-22.474,0.25,-1.049,0.28
0,0.2,10,CS,Gauss-Newton,0.01,False,True,False,LT,-22.567,0.25,-1.025,0.278
1,0.2,10,CS,Gauss-Newton,0.01,False,True,False,ID,-22.788,0.248,-0.901,0.276
2,0.2,10,CS,Gauss-Newton,0.01,False,True,False,LS,-22.474,0.25,-1.049,0.28
0,0.2,10,CS,Gauss-Newton,0.01,False,False,True,LT,-22.567,0.25,-1.025,0.278
1,0.2,10,CS,Gauss-Newton,0.01,False,False,True,ID,-22.788,0.248,-0.901,0.276
2,0.2,10,CS,Gauss-Newton,0.01,False,False,True,LS,-22.474,0.25,-1.049,0.28
0,0.2,10,CS,Gauss-Newton,0.01,False,False,False,LT,-22.567,0.25,-1.025,0.278
1,0.2,10,CS,Gauss-Newton,0.01,False,False,False,ID,-22.788,0.248,-0.901,0.276
2,0.2,10,CS,Gauss-Newton,0.01,False,False,False,LS,-22.474,0.25,-1.049,0.28
0,0.2,10,CS,Gauss-Newton,0.07,True,True,True,LT,-16.472,0.206,0.465,0.14
1,0.2,10,CS,Gauss-Newton,0.07,True,True,True,ID,-14.382,0.195,0.545,0.132
2,0.2,10,CS,Gauss-Newton,0.07,True,True,True,LS,-16.464,0.206,0.439,0.142
0,0.2,10,CS,Gauss-Newton,0.07,True,True,False,LT,-16.472,0.206,0.465,0.14
1,0.2,10,CS,Gauss-Newton,0.07,True,True,False,ID,-14.382,0.195,0.545,0.132
2,0.2,10,CS,Gauss-Newton,0.07,True,True,False,LS,-16.464,0.206,0.439,0.142
0,0.2,10,CS,Gauss-Newton,0.07,True,False,True,LT,-16.472,0.206,0.465,0.14
1,0.2,10,CS,Gauss-Newton,0.07,True,False,True,ID,-14.382,0.195,0.545,0.132
2,0.2,10,CS,Gauss-Newton,0.07,True,False,True,LS,-16.464,0.206,0.439,0.142
0,0.2,10,CS,Gauss-Newton,0.07,True,False,False,LT,-16.472,0.206,0.465,0.14
1,0.2,10,CS,Gauss-Newton,0.07,True,False,False,ID,-14.382,0.195,0.545,0.132
2,0.2,10,CS,Gauss-Newton,0.07,True,False,False,LS,-16.464,0.206,0.439,0.142
0,0.2,10,CS,Gauss-Newton,0.07,False,True,True,LT,-16.758,0.208,0.316,0.161
1,0.2,10,CS,Gauss-Newton,0.07,False,True,True,ID,-14.736,0.199,0.38,0.154
2,0.2,10,CS,Gauss-Newton,0.07,False,True,True,LS,-16.872,0.209,0.286,0.165
0,0.2,10,CS,Gauss-Newton,0.07,False,True,False,LT,-16.758,0.208,0.316,0.161
1,0.2,10,CS,Gauss-Newton,0.07,False,True,False,ID,-14.736,0.199,0.38,0.154
2,0.2,10,CS,Gauss-Newton,0.07,False,True,False,LS,-16.872,0.209,0.286,0.165
0,0.2,10,CS,Gauss-Newton,0.07,False,False,True,LT,-16.758,0.208,0.316,0.161
1,0.2,10,CS,Gauss-Newton,0.07,False,False,True,ID,-14.736,0.199,0.38,0.154
2,0.2,10,CS,Gauss-Newton,0.07,False,False,True,LS,-16.872,0.209,0.286,0.165
0,0.2,10,CS,Gauss-Newton,0.07,False,False,False,LT,-16.758,0.208,0.316,0.161
1,0.2,10,CS,Gauss-Newton,0.07,False,False,False,ID,-14.736,0.199,0.38,0.154
2,0.2,10,CS,Gauss-Newton,0.07,False,False,False,LS,-16.872,0.209,0.286,0.165
0,0.2,10,CS,Gauss-Newton,0.2,True,True,True,LT,-19.231,0.22,0.264,0.162
1,0.2,10,CS,Gauss-Newton,0.2,True,True,True,ID,-17.932,0.217,0.338,0.161
2,0.2,10,CS,Gauss-Newton,0.2,True,True,True,LS,-19.265,0.222,0.24,0.165
0,0.2,10,CS,Gauss-Newton,0.2,True,True,False,LT,-19.231,0.22,0.264,0.162
1,0.2,10,CS,Gauss-Newton,0.2,True,True,False,ID,-17.932,0.217,0.338,0.161
2,0.2,10,CS,Gauss-Newton,0.2,True,True,False,LS,-19.265,0.222,0.24,0.165
0,0.2,10,CS,Gauss-Newton,0.2,True,False,True,LT,-19.231,0.22,0.264,0.162
1,0.2,10,CS,Gauss-Newton,0.2,True,False,True,ID,-17.932,0.217,0.338,0.161
2,0.2,10,CS,Gauss-Newton,0.2,True,False,True,LS,-19.265,0.222,0.24,0.165
0,0.2,10,CS,Gauss-Newton,0.2,True,False,False,LT,-19.231,0.22,0.264,0.162
1,0.2,10,CS,Gauss-Newton,0.2,True,False,False,ID,-17.932,0.217,0.338,0.161
2,0.2,10,CS,Gauss-Newton,0.2,True,False,False,LS,-19.265,0.222,0.24,0.165
0,0.2,10,CS,Gauss-Newton,0.2,False,True,True,LT,-17.289,0.208,0.446,0.143
1,0.2,10,CS,Gauss-Newton,0.2,False,True,True,ID,-15.435,0.202,0.53,0.134
2,0.2,10,CS,Gauss-Newton,0.2,False,True,True,LS,-17.578,0.209,0.422,0.146
0,0.2,10,CS,Gauss-Newton,0.2,False,True,False,LT,-17.289,0.208,0.446,0.143
1,0.2,10,CS,Gauss-Newton,0.2,False,True,False,ID,-15.435,0.202,0.53,0.134
2,0.2,10,CS,Gauss-Newton,0.2,False,True,False,LS,-17.578,0.209,0.422,0.146
0,0.2,10,CS,Gauss-Newton,0.2,False,False,True,LT,-17.289,0.208,0.446,0.143
1,0.2,10,CS,Gauss-Newton,0.2,False,False,True,ID,-15.435,0.202,0.53,0.134
2,0.2,10,CS,Gauss-Newton,0.2,False,False,True,LS,-17.578,0.209,0.422,0.146
0,0.2,10,CS,Gauss-Newton,0.2,False,False,False,LT,-17.289,0.208,0.446,0.143
1,0.2,10,CS,Gauss-Newton,0.2,False,False,False,ID,-15.435,0.202,0.53,0.134
2,0.2,10,CS,Gauss-Newton,0.2,False,False,False,LS,-17.578,0.209,0.422,0.146
0,0.2,10,CS,ROPE,0.01,True,True,True,LT,-15.369,0.204,-0.311,0.22
1,0.2,10,CS,ROPE,0.01,True,True,True,ID,-13.498,0.194,-0.31,0.222
2,0.2,10,CS,ROPE,0.01,True,True,True,LS,-14.214,0.198,-0.254,0.214
0,0.2,10,CS,ROPE,0.01,True,True,False,LT,-1.05,0.071,-0.127,0.208
1,0.2,10,CS,ROPE,0.01,True,True,False,ID,-2.246,0.091,-0.244,0.214
2,0.2,10,CS,ROPE,0.01,True,True,False,LS,-1.048,0.072,-0.17,0.212
0,0.2,10,CS,ROPE,0.01,True,False,True,LT,-15.267,0.204,-0.174,0.211
1,0.2,10,CS,ROPE,0.01,True,False,True,ID,-14.028,0.196,-0.118,0.206
2,0.2,10,CS,ROPE,0.01,True,False,True,LS,-14.274,0.198,-0.114,0.206
0,0.2,10,CS,ROPE,0.01,True,False,False,LT,-1.1,0.074,-0.197,0.213
1,0.2,10,CS,ROPE,0.01,True,False,False,ID,-3.359,0.104,-0.378,0.224
2,0.2,10,CS,ROPE,0.01,True,False,False,LS,-1.272,0.078,-0.284,0.216
0,0.2,10,CS,ROPE,0.01,False,True,True,LT,-20.44,0.234,-0.546,0.245
1,0.2,10,CS,ROPE,0.01,False,True,True,ID,-17.338,0.211,-0.495,0.232
2,0.2,10,CS,ROPE,0.01,False,True,True,LS,-19.419,0.229,-0.495,0.24
0,0.2,10,CS,ROPE,0.01,False,True,False,LT,-2.009,0.088,-0.406,0.23
1,0.2,10,CS,ROPE,0.01,False,True,False,ID,-2.846,0.1,-0.564,0.234
2,0.2,10,CS,ROPE,0.01,False,True,False,LS,-2.209,0.091,-0.452,0.232
0,0.2,10,CS,ROPE,0.01,False,False,True,LT,-18.009,0.224,-0.406,0.23
1,0.2,10,CS,ROPE,0.01,False,False,True,ID,-17.999,0.223,-0.465,0.234
2,0.2,10,CS,ROPE,0.01,False,False,True,LS,-17.23,0.219,-0.343,0.224
0,0.2,10,CS,ROPE,0.01,False,False,False,LT,-0.956,0.072,-0.165,0.211
1,0.2,10,CS,ROPE,0.01,False,False,False,ID,-1.147,0.073,-0.204,0.208
2,0.2,10,CS,ROPE,0.01,False,False,False,LS,-1.028,0.072,-0.194,0.213
0,0.2,10,CS,ROPE,0.07,True,True,True,LT,-16.894,0.217,-0.067,0.206
1,0.2,10,CS,ROPE,0.07,True,True,True,ID,-14.884,0.207,-0.087,0.199
2,0.2,10,CS,ROPE,0.07,True,True,True,LS,-16.333,0.213,-0.023,0.202
0,0.2,10,CS,ROPE,0.07,True,True,False,LT,-0.885,0.071,0.026,0.195
1,0.2,10,CS,ROPE,0.07,True,True,False,ID,-2.582,0.096,-0.1,0.206
2,0.2,10,CS,ROPE,0.07,True,True,False,LS,-0.915,0.07,0.004,0.198
0,0.2,10,CS,ROPE,0.07,True,False,True,LT,-15.899,0.209,-0.2,0.213
1,0.2,10,CS,ROPE,0.07,True,False,True,ID,-12.977,0.188,-0.052,0.198
2,0.2,10,CS,ROPE,0.07,True,False,True,LS,-15.118,0.205,-0.163,0.208
0,0.2,10,CS,ROPE,0.07,True,False,False,LT,-0.332,0.057,0.052,0.19
1,0.2,10,CS,ROPE,0.07,True,False,False,ID,-1.964,0.085,-0.1,0.198
2,0.2,10,CS,ROPE,0.07,True,False,False,LS,-0.3,0.056,0.028,0.192
0,0.2,10,CS,ROPE,0.07,False,True,True,LT,-16.762,0.214,-0.491,0.232
1,0.2,10,CS,ROPE,0.07,False,True,True,ID,-14.333,0.201,-0.308,0.221
2,0.2,10,CS,ROPE,0.07,False,True,True,LS,-15.868,0.21,-0.43,0.229
0,0.2,10,CS,ROPE,0.07,False,True,False,LT,-0.682,0.066,-0.14,0.205
1,0.2,10,CS,ROPE,0.07,False,True,False,ID,-2.188,0.09,-0.172,0.212
2,0.2,10,CS,ROPE,0.07,False,True,False,LS,-0.657,0.067,-0.157,0.206
0,0.2,10,CS,ROPE,0.07,False,False,True,LT,-16.862,0.214,-0.592,0.244
1,0.2,10,CS,ROPE,0.07,False,False,True,ID,-13.238,0.196,-0.473,0.239
2,0.2,10,CS,ROPE,0.07,False,False,True,LS,-15.831,0.208,-0.533,0.24
0,0.2,10,CS,ROPE,0.07,False,False,False,LT,-0.446,0.062,-0.112,0.208
1,0.2,10,CS,ROPE,0.07,False,False,False,ID,-1.719,0.078,-0.186,0.214
2,0.2,10,CS,ROPE,0.07,False,False,False,LS,-0.35,0.061,-0.135,0.21
0,0.2,10,CS,ROPE,0.2,True,True,True,LT,-15.026,0.204,-0.348,0.222
1,0.2,10,CS,ROPE,0.2,True,True,True,ID,-13.76,0.198,-0.327,0.22
2,0.2,10,CS,ROPE,0.2,True,True,True,LS,-14.222,0.199,-0.298,0.217
0,0.2,10,CS,ROPE,0.2,True,True,False,LT,-1.354,0.079,-0.133,0.21
1,0.2,10,CS,ROPE,0.2,True,True,False,ID,-2.703,0.1,-0.226,0.216
2,0.2,10,CS,ROPE,0.2,True,True,False,LS,-1.244,0.078,-0.147,0.211
0,0.2,10,CS,ROPE,0.2,True,False,True,LT,-17.104,0.218,-0.318,0.224
1,0.2,10,CS,ROPE,0.2,True,False,True,ID,-13.664,0.196,-0.195,0.214
2,0.2,10,CS,ROPE,0.2,True,False,True,LS,-16.346,0.213,-0.256,0.22
0,0.2,10,CS,ROPE,0.2,True,False,False,LT,-1.019,0.074,0.028,0.196
1,0.2,10,CS,ROPE,0.2,True,False,False,ID,-1.714,0.086,-0.074,0.196
2,0.2,10,CS,ROPE,0.2,True,False,False,LS,-1.048,0.073,-0.009,0.198
0,0.2,10,CS,ROPE,0.2,False,True,True,LT,-16.755,0.211,-0.282,0.222
1,0.2,10,CS,ROPE,0.2,False,True,True,ID,-14.658,0.198,-0.208,0.214
2,0.2,10,CS,ROPE,0.2,False,True,True,LS,-15.727,0.205,-0.236,0.218
