,cl,percent,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,True,False,True,LS,-7.733,0.256,-1.705,0.311
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,True,False,False,LT,-8.046,0.262,-1.725,0.309
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,True,False,False,ID,-9.644,0.286,-1.995,0.332
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,True,False,False,LS,-7.733,0.256,-1.705,0.311
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,True,False,False,LT,-8.046,0.262,-1.725,0.309
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,True,False,False,ID,-9.644,0.286,-1.995,0.332
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,True,False,False,LS,-7.733,0.256,-1.705,0.311
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,False,True,True,LT,-6.616,0.24,-1.7,0.306
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,False,True,True,ID,-9.17,0.278,-2.229,0.336
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,False,True,True,LS,-6.645,0.239,-1.771,0.31
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,False,True,True,LT,-6.616,0.24,-1.7,0.306
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,False,True,True,ID,-9.17,0.278,-2.229,0.336
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,False,True,True,LS,-6.645,0.239,-1.771,0.31
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,False,True,False,LT,-6.616,0.24,-1.7,0.306
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,False,True,False,ID,-9.17,0.278,-2.229,0.336
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,False,True,False,LS,-6.645,0.239,-1.771,0.31
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,False,True,False,LT,-6.616,0.24,-1.7,0.306
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,False,True,False,ID,-9.17,0.278,-2.229,0.336
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,False,True,False,LS,-6.645,0.239,-1.771,0.31
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,False,False,True,LT,-6.616,0.24,-1.7,0.306
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,False,False,True,ID,-9.17,0.278,-2.229,0.336
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,False,False,True,LS,-6.645,0.239,-1.771,0.31
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,False,False,True,LT,-6.616,0.24,-1.7,0.306
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,False,False,True,ID,-9.17,0.278,-2.229,0.336
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,False,False,True,LS,-6.645,0.239,-1.771,0.31
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,False,False,False,LT,-6.616,0.24,-1.7,0.306
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,False,False,False,ID,-9.17,0.278,-2.229,0.336
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,False,False,False,LS,-6.645,0.239,-1.771,0.31
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,False,False,False,LT,-6.616,0.24,-1.7,0.306
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,False,False,False,ID,-9.17,0.278,-2.229,0.336
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,False,False,False,LS,-6.645,0.239,-1.771,0.31
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,True,True,True,LT,-7.94,0.26,-1.637,0.31
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,True,True,True,ID,-9.68,0.286,-1.912,0.336
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,True,True,True,LS,-7.662,0.254,-1.668,0.312
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,True,True,True,LT,-7.94,0.26,-1.637,0.31
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,True,True,True,ID,-9.68,0.286,-1.912,0.336
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,True,True,True,LS,-7.662,0.254,-1.668,0.312
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,True,True,False,LT,-7.94,0.26,-1.637,0.31
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,True,True,False,ID,-9.68,0.286,-1.912,0.336
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,True,True,False,LS,-7.662,0.254,-1.668,0.312
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,True,True,False,LT,-7.94,0.26,-1.637,0.31
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,True,True,False,ID,-9.68,0.286,-1.912,0.336
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,True,True,False,LS,-7.662,0.254,-1.668,0.312
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,True,False,True,LT,-7.94,0.26,-1.637,0.31
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,True,False,True,ID,-9.68,0.286,-1.912,0.336
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,True,False,True,LS,-7.662,0.254,-1.668,0.312
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,True,False,True,LT,-7.94,0.26,-1.637,0.31
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,True,False,True,ID,-9.68,0.286,-1.912,0.336
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,True,False,True,LS,-7.662,0.254,-1.668,0.312
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,True,False,False,LT,-7.94,0.26,-1.637,0.31
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,True,False,False,ID,-9.68,0.286,-1.912,0.336
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,True,False,False,LS,-7.662,0.254,-1.668,0.312
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,True,False,False,LT,-7.94,0.26,-1.637,0.31
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,True,False,False,ID,-9.68,0.286,-1.912,0.336
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,True,False,False,LS,-7.662,0.254,-1.668,0.312
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,False,True,True,LT,-6.722,0.243,-1.57,0.3
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,False,True,True,ID,-8.993,0.274,-1.949,0.328
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,False,True,True,LS,-6.674,0.239,-1.604,0.302
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,False,True,True,LT,-6.722,0.243,-1.57,0.3
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,False,True,True,ID,-8.993,0.274,-1.949,0.328
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,False,True,True,LS,-6.674,0.239,-1.604,0.302
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,False,True,False,LT,-6.722,0.243,-1.57,0.3
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,False,True,False,ID,-8.993,0.274,-1.949,0.328
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,False,True,False,LS,-6.674,0.239,-1.604,0.302
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,False,True,False,LT,-6.722,0.243,-1.57,0.3
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,False,True,False,ID,-8.993,0.274,-1.949,0.328
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,False,True,False,LS,-6.674,0.239,-1.604,0.302
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,False,False,True,LT,-6.722,0.243,-1.57,0.3
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,False,False,True,ID,-8.993,0.274,-1.949,0.328
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,False,False,True,LS,-6.674,0.239,-1.604,0.302
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,False,False,True,LT,-6.722,0.243,-1.57,0.3
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,False,False,True,ID,-8.993,0.274,-1.949,0.328
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,False,False,True,LS,-6.674,0.239,-1.604,0.302
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,False,False,False,LT,-6.722,0.243,-1.57,0.3
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,False,False,False,ID,-8.993,0.274,-1.949,0.328
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.2,False,False,False,LS,-6.674,0.239,-1.604,0.302
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,False,False,False,LT,-6.722,0.243,-1.57,0.3
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,False,False,False,ID,-8.993,0.274,-1.949,0.328
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.2,False,False,False,LS,-6.674,0.239,-1.604,0.302
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,ROPE,0.01,True,True,True,LT,-3.079,0.182,-0.813,0.258
2,0.2,10.0,mean,observed,FSeq,ROPE,0.01,True,True,True,ID,-5.24,0.221,-1.08,0.279
3,0.2,10.0,mean,observed,FSeq,ROPE,0.01,True,True,True,LS,-2.184,0.16,-0.688,0.253
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,True,True,True,LT,-3.079,0.182,-0.813,0.258
6,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,True,True,True,ID,-5.24,0.221,-1.08,0.279
7,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,True,True,True,LS,-2.184,0.16,-0.688,0.253
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,ROPE,0.01,True,True,False,LT,-4.738,0.212,-1.42,0.289
2,0.2,10.0,mean,observed,FSeq,ROPE,0.01,True,True,False,ID,-8.172,0.262,-1.991,0.324
3,0.2,10.0,mean,observed,FSeq,ROPE,0.01,True,True,False,LS,-6.023,0.232,-1.732,0.307
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,True,True,False,LT,-4.738,0.212,-1.42,0.289
6,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,True,True,False,ID,-8.172,0.262,-1.991,0.324
7,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,True,True,False,LS,-6.023,0.232,-1.732,0.307
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,ROPE,0.01,True,False,True,LT,-2.894,0.174,-0.845,0.261
2,0.2,10.0,mean,observed,FSeq,ROPE,0.01,True,False,True,ID,-4.989,0.214,-1.15,0.279
3,0.2,10.0,mean,observed,FSeq,ROPE,0.01,True,False,True,LS,-2.214,0.159,-0.769,0.252
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,True,False,True,LT,-2.894,0.174,-0.845,0.261
6,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,True,False,True,ID,-4.989,0.214,-1.15,0.279
7,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,True,False,True,LS,-2.214,0.159,-0.769,0.252
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,ROPE,0.01,True,False,False,LT,-4.883,0.215,-1.554,0.29
2,0.2,10.0,mean,observed,FSeq,ROPE,0.01,True,False,False,ID,-8.398,0.266,-1.854,0.33
3,0.2,10.0,mean,observed,FSeq,ROPE,0.01,True,False,False,LS,-6.335,0.237,-1.825,0.31
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,True,False,False,LT,-4.883,0.215,-1.554,0.29
6,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,True,False,False,ID,-8.398,0.266,-1.854,0.33
7,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,True,False,False,LS,-6.335,0.237,-1.825,0.31
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,ROPE,0.01,False,True,True,LT,-2.53,0.172,-0.554,0.238
2,0.2,10.0,mean,observed,FSeq,ROPE,0.01,False,True,True,ID,-5.345,0.22,-0.863,0.27
3,0.2,10.0,mean,observed,FSeq,ROPE,0.01,False,True,True,LS,-2.106,0.156,-0.534,0.238
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,False,True,True,LT,-2.53,0.172,-0.554,0.238
6,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,False,True,True,ID,-5.345,0.22,-0.863,0.27
7,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,False,True,True,LS,-2.106,0.156,-0.534,0.238
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,ROPE,0.01,False,True,False,LT,-4.516,0.208,-1.408,0.29
2,0.2,10.0,mean,observed,FSeq,ROPE,0.01,False,True,False,ID,-7.898,0.258,-1.914,0.319
3,0.2,10.0,mean,observed,FSeq,ROPE,0.01,False,True,False,LS,-6.393,0.233,-1.796,0.311
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,False,True,False,LT,-4.516,0.208,-1.408,0.29
6,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,False,True,False,ID,-7.898,0.258,-1.914,0.319
7,0.2,10.0,mean,Observed,FSeq,ROPE,0.01,False,True,False,LS,-6.393,0.233,-1.796,0.311
