,Extract,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,MAE,STD,0R2,0RMSE,R2_INV
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,True,True,True,ID,-9.608,0.282,0.244,0.163,0.874,0.06,0.9588952628210464
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,True,True,True,LS,-7.424,0.252,0.202,0.168,0.31,0.143,0.9588952628210464
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,True,True,False,LT,-7.802,0.256,0.214,0.168,0.013,0.174,0.9588952628210464
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,True,True,False,ID,-9.608,0.282,0.244,0.163,0.874,0.06,0.9588952628210464
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,True,True,False,LS,-7.424,0.252,0.202,0.168,0.31,0.143,0.9588952628210464
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,True,False,True,LT,-7.828,0.257,0.214,0.168,0.006,0.174,0.9601045256478828
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,True,False,True,ID,-9.602,0.282,0.245,0.164,0.874,0.061,0.9601045256478828
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,True,False,True,LS,-7.442,0.252,0.204,0.168,0.308,0.144,0.9601045256478828
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,True,False,False,LT,-7.828,0.257,0.214,0.168,0.006,0.174,0.9601045256478828
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,True,False,False,ID,-9.602,0.282,0.245,0.164,0.874,0.061,0.9601045256478828
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,True,False,False,LS,-7.442,0.252,0.204,0.168,0.308,0.144,0.9601045256478828
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,False,True,True,LT,-6.214,0.232,0.188,0.166,0.13,0.164,0.885781437148826
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,False,True,True,ID,-8.762,0.269,0.228,0.166,0.958,0.034,0.885781437148826
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,False,True,True,LS,-6.29,0.235,0.184,0.17,0.4,0.136,0.885781437148826
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,False,True,False,LT,-6.214,0.232,0.188,0.166,0.13,0.164,0.885781437148826
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,False,True,False,ID,-8.762,0.269,0.228,0.166,0.958,0.034,0.885781437148826
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,False,True,False,LS,-6.29,0.235,0.184,0.17,0.4,0.136,0.885781437148826
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,False,False,True,LT,-6.333,0.234,0.19,0.165,0.13,0.164,0.8848288541605942
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,False,False,True,ID,-8.828,0.272,0.232,0.165,0.96,0.033,0.8848288541605942
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,False,False,True,LS,-6.389,0.236,0.186,0.168,0.408,0.136,0.8848288541605942
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,False,False,False,LT,-6.333,0.234,0.19,0.165,0.13,0.164,0.8848288541605942
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,False,False,False,ID,-8.828,0.272,0.232,0.165,0.96,0.033,0.8848288541605942
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,False,False,False,LS,-6.389,0.236,0.186,0.168,0.408,0.136,0.8848288541605942
0,0.5,mean,observed,FSeq,ROPE,0.01,True,True,True,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.01,True,True,True,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.01,True,True,True,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.01,True,True,False,LT,-4.774,0.208,0.176,0.147,0.066,0.162,0.2319943091508649
1,0.5,mean,observed,FSeq,ROPE,0.01,True,True,False,ID,-8.19,0.262,0.23,0.16,0.749,0.082,0.2319943091508649
2,0.5,mean,observed,FSeq,ROPE,0.01,True,True,False,LS,-6.123,0.233,0.181,0.164,0.386,0.133,0.2319943091508649
0,0.5,mean,observed,FSeq,ROPE,0.01,True,False,True,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.01,True,False,True,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.01,True,False,True,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.01,True,False,False,LT,-4.38,0.204,0.174,0.148,0.136,0.16,0.0983869733468243
1,0.5,mean,observed,FSeq,ROPE,0.01,True,False,False,ID,-7.476,0.257,0.22,0.157,0.813,0.073,0.0983869733468243
2,0.5,mean,observed,FSeq,ROPE,0.01,True,False,False,LS,-5.991,0.228,0.182,0.169,0.416,0.13,0.0983869733468243
0,0.5,mean,observed,FSeq,ROPE,0.01,False,True,True,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.01,False,True,True,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.01,False,True,True,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.01,False,True,False,LT,-4.263,0.202,0.175,0.156,-0.083,0.176,0.2918534926309645
1,0.5,mean,observed,FSeq,ROPE,0.01,False,True,False,ID,-7.36,0.246,0.213,0.163,0.702,0.09,0.2918534926309645
2,0.5,mean,observed,FSeq,ROPE,0.01,False,True,False,LS,-5.644,0.222,0.182,0.173,0.222,0.148,0.2918534926309645
0,0.5,mean,observed,FSeq,ROPE,0.01,False,False,True,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.01,False,False,True,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.01,False,False,True,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.01,False,False,False,LT,-4.558,0.201,0.17,0.153,0.138,0.156,0.3688310397913994
1,0.5,mean,observed,FSeq,ROPE,0.01,False,False,False,ID,-7.676,0.252,0.217,0.163,0.848,0.066,0.3688310397913994
2,0.5,mean,observed,FSeq,ROPE,0.01,False,False,False,LS,-6.472,0.234,0.182,0.174,0.378,0.134,0.3688310397913994
0,0.5,mean,observed,FSeq,ROPE,0.07,True,True,True,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.07,True,True,True,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.07,True,True,True,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.07,True,True,False,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.07,True,True,False,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.07,True,True,False,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.07,True,False,True,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.07,True,False,True,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.07,True,False,True,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.07,True,False,False,LT,-4.614,0.212,0.176,0.151,0.043,0.166,0.1385831053444715
1,0.5,mean,observed,FSeq,ROPE,0.07,True,False,False,ID,-7.924,0.262,0.226,0.158,0.749,0.083,0.1385831053444715
2,0.5,mean,observed,FSeq,ROPE,0.07,True,False,False,LS,-5.899,0.232,0.188,0.165,0.382,0.134,0.1385831053444715
0,0.5,mean,observed,FSeq,ROPE,0.07,False,True,True,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.07,False,True,True,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.07,False,True,True,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.07,False,True,False,LT,-4.357,0.198,0.169,0.156,0.008,0.17,0.3845302929211593
1,0.5,mean,observed,FSeq,ROPE,0.07,False,True,False,ID,-7.161,0.246,0.211,0.162,0.819,0.073,0.3845302929211593
2,0.5,mean,observed,FSeq,ROPE,0.07,False,True,False,LS,-5.95,0.224,0.174,0.173,0.317,0.142,0.3845302929211593
0,0.5,mean,observed,FSeq,ROPE,0.07,False,False,True,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.07,False,False,True,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.07,False,False,True,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.07,False,False,False,LT,-4.304,0.2,0.166,0.144,0.176,0.154,0.3489272732786699
1,0.5,mean,observed,FSeq,ROPE,0.07,False,False,False,ID,-7.977,0.252,0.224,0.162,0.815,0.072,0.3489272732786699
2,0.5,mean,observed,FSeq,ROPE,0.07,False,False,False,LS,-5.816,0.226,0.18,0.164,0.452,0.126,0.3489272732786699
0,0.5,mean,observed,FSeq,ROPE,0.2,True,True,True,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.2,True,True,True,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.2,True,True,True,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.2,True,True,False,LT,-4.439,0.208,0.169,0.132,0.188,0.154,0.109188422313977
1,0.5,mean,observed,FSeq,ROPE,0.2,True,True,False,ID,-8.073,0.265,0.235,0.152,0.745,0.086,0.109188422313977
2,0.5,mean,observed,FSeq,ROPE,0.2,True,True,False,LS,-6.056,0.23,0.179,0.152,0.482,0.123,0.109188422313977
0,0.5,mean,observed,FSeq,ROPE,0.2,True,False,True,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.2,True,False,True,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.2,True,False,True,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.2,True,False,False,LT,-4.082,0.2,0.17,0.142,0.07,0.161,0.0826705815465138
1,0.5,mean,observed,FSeq,ROPE,0.2,True,False,False,ID,-7.818,0.254,0.223,0.159,0.693,0.096,0.0826705815465138
2,0.5,mean,observed,FSeq,ROPE,0.2,True,False,False,LS,-5.334,0.219,0.178,0.156,0.424,0.129,0.0826705815465138
0,0.5,mean,observed,FSeq,ROPE,0.2,False,True,True,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.2,False,True,True,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.2,False,True,True,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.2,False,True,False,LT,-4.018,0.192,0.156,0.138,0.198,0.15,0.288757372355547
1,0.5,mean,observed,FSeq,ROPE,0.2,False,True,False,ID,-7.475,0.252,0.222,0.158,0.809,0.076,0.288757372355547
2,0.5,mean,observed,FSeq,ROPE,0.2,False,True,False,LS,-5.664,0.222,0.177,0.159,0.478,0.124,0.288757372355547
0,0.5,mean,observed,FSeq,ROPE,0.2,False,False,True,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.2,False,False,True,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.2,False,False,True,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.2,False,False,False,LT,-4.366,0.206,0.177,0.146,0.109,0.159,0.2158932970097437
1,0.5,mean,observed,FSeq,ROPE,0.2,False,False,False,ID,-8.0,0.26,0.221,0.162,0.696,0.093,0.2158932970097437
2,0.5,mean,observed,FSeq,ROPE,0.2,False,False,False,LS,-5.894,0.228,0.186,0.162,0.436,0.128,0.2158932970097437
0,0.5,mean,observed,CS,Gauss-Newton,0.01,True,True,True,LT,-7.195,0.248,0.214,0.183,0.038,0.17,0.9685480249225906
1,0.5,mean,observed,CS,Gauss-Newton,0.01,True,True,True,ID,-9.238,0.28,0.25,0.183,0.932,0.045,0.9685480249225906
2,0.5,mean,observed,CS,Gauss-Newton,0.01,True,True,True,LS,-7.573,0.252,0.219,0.185,0.248,0.153,0.9685480249225906
0,0.5,mean,observed,CS,Gauss-Newton,0.01,True,True,False,LT,-7.195,0.248,0.214,0.183,0.038,0.17,0.9685480249225906
1,0.5,mean,observed,CS,Gauss-Newton,0.01,True,True,False,ID,-9.238,0.28,0.25,0.183,0.932,0.045,0.9685480249225906
2,0.5,mean,observed,CS,Gauss-Newton,0.01,True,True,False,LS,-7.573,0.252,0.219,0.185,0.248,0.153,0.9685480249225906
0,0.5,mean,observed,CS,Gauss-Newton,0.01,True,False,True,LT,-7.195,0.248,0.214,0.183,0.038,0.17,0.9685480249225906
1,0.5,mean,observed,CS,Gauss-Newton,0.01,True,False,True,ID,-9.238,0.28,0.25,0.183,0.932,0.045,0.9685480249225906
2,0.5,mean,observed,CS,Gauss-Newton,0.01,True,False,True,LS,-7.573,0.252,0.219,0.185,0.248,0.153,0.9685480249225906
0,0.5,mean,observed,CS,Gauss-Newton,0.01,True,False,False,LT,-7.195,0.248,0.214,0.183,0.038,0.17,0.9685480249225906
1,0.5,mean,observed,CS,Gauss-Newton,0.01,True,False,False,ID,-9.238,0.28,0.25,0.183,0.932,0.045,0.9685480249225906
2,0.5,mean,observed,CS,Gauss-Newton,0.01,True,False,False,LS,-7.573,0.252,0.219,0.185,0.248,0.153,0.9685480249225906
0,0.5,mean,observed,CS,Gauss-Newton,0.01,False,True,True,LT,-5.611,0.218,0.182,0.195,-0.112,0.18,0.8969789745679047
1,0.5,mean,observed,CS,Gauss-Newton,0.01,False,True,True,ID,-8.199,0.256,0.236,0.206,0.628,0.103,0.8969789745679047
2,0.5,mean,observed,CS,Gauss-Newton,0.01,False,True,True,LS,-6.761,0.237,0.191,0.202,0.064,0.164,0.8969789745679047
0,0.5,mean,observed,CS,Gauss-Newton,0.01,False,True,False,LT,-5.611,0.218,0.182,0.195,-0.112,0.18,0.8969789745679047
1,0.5,mean,observed,CS,Gauss-Newton,0.01,False,True,False,ID,-8.199,0.256,0.236,0.206,0.628,0.103,0.8969789745679047
2,0.5,mean,observed,CS,Gauss-Newton,0.01,False,True,False,LS,-6.761,0.237,0.191,0.202,0.064,0.164,0.8969789745679047
0,0.5,mean,observed,CS,Gauss-Newton,0.01,False,False,True,LT,-5.611,0.218,0.182,0.195,-0.112,0.18,0.8969789745679047
1,0.5,mean,observed,CS,Gauss-Newton,0.01,False,False,True,ID,-8.199,0.256,0.236,0.206,0.628,0.103,0.8969789745679047
2,0.5,mean,observed,CS,Gauss-Newton,0.01,False,False,True,LS,-6.761,0.237,0.191,0.202,0.064,0.164,0.8969789745679047
0,0.5,mean,observed,CS,Gauss-Newton,0.01,False,False,False,LT,-5.611,0.218,0.182,0.195,-0.112,0.18,0.8969789745679047
1,0.5,mean,observed,CS,Gauss-Newton,0.01,False,False,False,ID,-8.199,0.256,0.236,0.206,0.628,0.103,0.8969789745679047
2,0.5,mean,observed,CS,Gauss-Newton,0.01,False,False,False,LS,-6.761,0.237,0.191,0.202,0.064,0.164,0.8969789745679047
0,0.5,mean,observed,CS,Gauss-Newton,0.07,True,True,True,LT,-7.388,0.25,0.209,0.172,0.012,0.173,0.9619445760498226
1,0.5,mean,observed,CS,Gauss-Newton,0.07,True,True,True,ID,-9.174,0.276,0.24,0.164,0.911,0.05,0.9619445760498226
2,0.5,mean,observed,CS,Gauss-Newton,0.07,True,True,True,LS,-7.154,0.249,0.203,0.17,0.322,0.146,0.9619445760498226
0,0.5,mean,observed,CS,Gauss-Newton,0.07,True,True,False,LT,-7.388,0.25,0.209,0.172,0.012,0.173,0.9619445760498226
1,0.5,mean,observed,CS,Gauss-Newton,0.07,True,True,False,ID,-9.174,0.276,0.24,0.164,0.911,0.05,0.9619445760498226
2,0.5,mean,observed,CS,Gauss-Newton,0.07,True,True,False,LS,-7.154,0.249,0.203,0.17,0.322,0.146,0.9619445760498226
0,0.5,mean,observed,CS,Gauss-Newton,0.07,True,False,True,LT,-7.388,0.25,0.209,0.172,0.012,0.173,0.9619445760498226
1,0.5,mean,observed,CS,Gauss-Newton,0.07,True,False,True,ID,-9.174,0.276,0.24,0.164,0.911,0.05,0.9619445760498226
2,0.5,mean,observed,CS,Gauss-Newton,0.07,True,False,True,LS,-7.154,0.249,0.203,0.17,0.322,0.146,0.9619445760498226
0,0.5,mean,observed,CS,Gauss-Newton,0.07,True,False,False,LT,-7.388,0.25,0.209,0.172,0.012,0.173,0.9619445760498226
1,0.5,mean,observed,CS,Gauss-Newton,0.07,True,False,False,ID,-9.174,0.276,0.24,0.164,0.911,0.05,0.9619445760498226
2,0.5,mean,observed,CS,Gauss-Newton,0.07,True,False,False,LS,-7.154,0.249,0.203,0.17,0.322,0.146,0.9619445760498226
0,0.5,mean,observed,CS,Gauss-Newton,0.07,False,True,True,LT,-5.705,0.224,0.188,0.17,0.035,0.171,0.8811509215317769
1,0.5,mean,observed,CS,Gauss-Newton,0.07,False,True,True,ID,-8.161,0.258,0.22,0.166,0.944,0.039,0.8811509215317769
2,0.5,mean,observed,CS,Gauss-Newton,0.07,False,True,True,LS,-6.196,0.233,0.186,0.175,0.329,0.145,0.8811509215317769
0,0.5,mean,observed,CS,Gauss-Newton,0.07,False,True,False,LT,-5.705,0.224,0.188,0.17,0.035,0.171,0.8811509215317769
1,0.5,mean,observed,CS,Gauss-Newton,0.07,False,True,False,ID,-8.161,0.258,0.22,0.166,0.944,0.039,0.8811509215317769
2,0.5,mean,observed,CS,Gauss-Newton,0.07,False,True,False,LS,-6.196,0.233,0.186,0.175,0.329,0.145,0.8811509215317769
0,0.5,mean,observed,CS,Gauss-Newton,0.07,False,False,True,LT,-5.705,0.224,0.188,0.17,0.035,0.171,0.8811509215317769
1,0.5,mean,observed,CS,Gauss-Newton,0.07,False,False,True,ID,-8.161,0.258,0.22,0.166,0.944,0.039,0.8811509215317769
2,0.5,mean,observed,CS,Gauss-Newton,0.07,False,False,True,LS,-6.196,0.233,0.186,0.175,0.329,0.145,0.8811509215317769
0,0.5,mean,observed,CS,Gauss-Newton,0.07,False,False,False,LT,-5.705,0.224,0.188,0.17,0.035,0.171,0.8811509215317769
1,0.5,mean,observed,CS,Gauss-Newton,0.07,False,False,False,ID,-8.161,0.258,0.22,0.166,0.944,0.039,0.8811509215317769
2,0.5,mean,observed,CS,Gauss-Newton,0.07,False,False,False,LS,-6.196,0.233,0.186,0.175,0.329,0.145,0.8811509215317769
0,0.5,mean,observed,CS,Gauss-Newton,0.2,True,True,True,LT,-7.269,0.246,0.208,0.168,0.027,0.172,0.9506439340012662
1,0.5,mean,observed,CS,Gauss-Newton,0.2,True,True,True,ID,-9.159,0.275,0.236,0.163,0.88,0.058,0.9506439340012662
2,0.5,mean,observed,CS,Gauss-Newton,0.2,True,True,True,LS,-7.134,0.248,0.198,0.168,0.34,0.142,0.9506439340012662
0,0.5,mean,observed,CS,Gauss-Newton,0.2,True,True,False,LT,-7.269,0.246,0.208,0.168,0.027,0.172,0.9506439340012662
1,0.5,mean,observed,CS,Gauss-Newton,0.2,True,True,False,ID,-9.159,0.275,0.236,0.163,0.88,0.058,0.9506439340012662
2,0.5,mean,observed,CS,Gauss-Newton,0.2,True,True,False,LS,-7.134,0.248,0.198,0.168,0.34,0.142,0.9506439340012662
0,0.5,mean,observed,CS,Gauss-Newton,0.2,True,False,True,LT,-7.269,0.246,0.208,0.168,0.027,0.172,0.9506439340012662
1,0.5,mean,observed,CS,Gauss-Newton,0.2,True,False,True,ID,-9.159,0.275,0.236,0.163,0.88,0.058,0.9506439340012662
2,0.5,mean,observed,CS,Gauss-Newton,0.2,True,False,True,LS,-7.134,0.248,0.198,0.168,0.34,0.142,0.9506439340012662
0,0.5,mean,observed,CS,Gauss-Newton,0.2,True,False,False,LT,-7.269,0.246,0.208,0.168,0.027,0.172,0.9506439340012662
1,0.5,mean,observed,CS,Gauss-Newton,0.2,True,False,False,ID,-9.159,0.275,0.236,0.163,0.88,0.058,0.9506439340012662
2,0.5,mean,observed,CS,Gauss-Newton,0.2,True,False,False,LS,-7.134,0.248,0.198,0.168,0.34,0.142,0.9506439340012662
0,0.5,mean,observed,CS,Gauss-Newton,0.2,False,True,True,LT,-5.736,0.224,0.186,0.166,0.048,0.17,0.8718271633569191
1,0.5,mean,observed,CS,Gauss-Newton,0.2,False,True,True,ID,-8.315,0.257,0.217,0.16,0.918,0.047,0.8718271633569191
2,0.5,mean,observed,CS,Gauss-Newton,0.2,False,True,True,LS,-6.146,0.233,0.183,0.168,0.352,0.14,0.8718271633569191
0,0.5,mean,observed,CS,Gauss-Newton,0.2,False,True,False,LT,-5.736,0.224,0.186,0.166,0.048,0.17,0.8718271633569191
1,0.5,mean,observed,CS,Gauss-Newton,0.2,False,True,False,ID,-8.315,0.257,0.217,0.16,0.918,0.047,0.8718271633569191
