    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
   39   57        47   49       -1.20298            2.23870        2.11576         0.28918E+02    0.21298E+02    1
   41   55        47   49       -1.28973            2.93393        2.79968         0.34644E+02    0.27536E+02    1
    1    8         4    5        1.44912           10.13042       10.40512         0.54161E+02    0.54161E+02    0
    3    6         4    5       -0.63799           15.56004       15.45075         0.90515E+02    0.90515E+02    0
   32   38         4   66        0.16356            1.58224        1.62354         0.63484E+01    0.63484E+01    0
   44   48        26   66       -0.74439            1.55185        1.44030         0.99792E+01    0.99792E+01    0
   56   58        48   66       -1.47760            2.08965        1.94461         0.28461E+02    0.20540E+02    1
   40   87        61   66       -0.30836            1.41395        1.36204         0.82431E+01    0.82431E+01    0
   38   89        61   66       -0.28528            1.40756        1.35101         0.69572E+01    0.69572E+01    0
   36   91        61   66       -0.19002            1.38301        1.33895         0.58697E+01    0.58697E+01    0
   52   77        63   66       -1.02555            1.72441        1.62419         0.21386E+02    0.17127E+02    1
   50   79        63   66       -0.76393            1.58823        1.50617         0.14583E+02    0.14399E+02    1
   48   81        63   66       -0.37518            1.51523        1.46310         0.10718E+02    0.10718E+02    0
   64   67        65   66       -1.67846           19.95698       19.44793         0.95877E+02    0.64960E+02    1
   60   71        65   66       -0.59996            3.70734        3.64385         0.34731E+02    0.34731E+02    0
   34   92        60   66       -0.35594            1.46696        1.39145         0.67348E+01    0.67348E+01    0
   32   94        60   66       -0.29592            1.46467        1.39274         0.58767E+01    0.58767E+01    0
   30   96        60   66       -0.27182            1.47884        1.40395         0.52303E+01    0.52303E+01    0
   46   82        62   66       -0.36626            1.43142        1.38612         0.11391E+02    0.11391E+02    0
   44   84        62   66       -0.29090            1.44538        1.40084         0.92945E+01    0.92945E+01    0
   42   86        62   66       -0.34082            1.46320        1.40035         0.77625E+01    0.77625E+01    0
   58   72        64   66       -1.03686            2.50753        2.40853         0.33409E+02    0.25738E+02    1
   56   74        64   66       -0.72515            2.08527        2.01463         0.28448E+02    0.21041E+02    1
   54   76        64   66       -0.84244            1.87134        1.77774         0.19856E+02    0.16419E+02    1
   15   18         4   29        0.40600            3.25389        3.29858         0.29763E+02    0.29763E+02    0
   13   42        26   29       -0.43141            2.05785        2.01140         0.18895E+02    0.18895E+02    0
   27   28        26   29        2.52115           11.57136       11.98115         0.84524E+02    0.72445E+02    1
   15   40        26   29       -0.58948            2.16179        2.11125         0.26810E+02    0.24919E+02    1
   11   44        26   29       -0.33216            1.92061        1.87422         0.13586E+02    0.13586E+02    0
   27   30        28   29       -1.08664           19.51136       19.24799         0.95378E+02    0.79958E+02    1
   23   34        28   29       -1.36862            5.58332        5.33402         0.38180E+02    0.29962E+02    1
    9   45        25   29       -0.77773            1.98640        1.89103         0.15807E+02    0.15807E+02    0
    5   49        25   29        0.11216            1.66752        1.68880         0.88465E+01    0.88465E+01    0
    7   47        25   29       -0.09401            1.79861        1.78405         0.11566E+02    0.11566E+02    0
   19   37        27   29       -0.66362            2.56711        2.50195         0.29848E+02    0.25811E+02    1
   21   35        27   29       -0.68092            3.43161        3.35616         0.35923E+02    0.30626E+02    1
   17   39        27   29       -0.74125            2.19846        2.12478         0.23326E+02    0.21744E+02    1
    5    8         6    7        2.01813           16.61503       16.98394         0.91899E+02    0.91899E+02    0
    1   12         6    7       -2.69931           11.71281       10.83386         0.45315E+02    0.34604E+02    1
    3   10         6    7       -1.32772           15.64525       15.30221         0.59887E+02    0.59887E+02    0
    7    8         6    9        0.07193           27.09560       27.11455         0.10290E+03    0.10290E+03    0
    5   12         8    9       -0.26290           14.11601       14.05269         0.58480E+02    0.58480E+02    0
    7   10         8    9        0.41646           17.59686       17.67573         0.93127E+02    0.93127E+02    0
    3   14         8    9       -1.17886           10.86917       10.58526         0.44539E+02    0.44539E+02    0
    1   15         7    9       -3.09519           10.57778        9.58689         0.46604E+02    0.31468E+02    1
   24   28         6   46        0.37840            1.73639        1.79624         0.11166E+02    0.11166E+02    0
   36   38        28   46       -1.72454            2.39573        2.19979         0.29375E+02    0.20211E+02    1
   20   67        41   46       -0.23575            1.56831        1.52839         0.91430E+01    0.91430E+01    0
   18   69        41   46       -0.12123            1.53118        1.50685         0.75682E+01    0.75682E+01    0
   16   71        41   46       -0.22889            1.57848        1.52546         0.66993E+01    0.66993E+01    0
   30   59        43   46       -0.72780            1.73681        1.65169         0.15947E+02    0.14482E+02    1
   32   57        43   46       -0.89244            1.84681        1.75455         0.22904E+02    0.17414E+02    1
   28   61        43   46       -0.66517            1.62967        1.53830         0.11528E+02    0.11528E+02    0
   14   72        40   46       -0.18205            1.55711        1.51796         0.71487E+01    0.71487E+01    0
   12   74        40   46       -0.14565            1.54447        1.50860         0.61969E+01    0.61969E+01    0
   10   76        40   46        0.01085            1.51445        1.51752         0.53563E+01    0.53563E+01    0
   24   64        42   46       -0.55044            1.56384        1.48054         0.10056E+02    0.10056E+02    0
   26   62        42   46       -0.69166            1.59247        1.50788         0.12672E+02    0.12672E+02    0
   22   66        42   46       -0.38179            1.55582        1.48549         0.82539E+01    0.82539E+01    0
   38   52        44   46       -1.77483            2.73966        2.54881         0.34100E+02    0.24580E+02    1
   34   56        44   46       -1.30558            1.95089        1.79583         0.20700E+02    0.15765E+02    1
   36   54        44   46       -1.49878            2.25428        2.09318         0.28965E+02    0.20213E+02    1
   44   47        45   46        0.50286           16.93083       17.02333         0.92300E+02    0.92300E+02    0
   40   51        45   46        0.56605            3.18053        3.23469         0.33522E+02    0.33522E+02    0
    2   16         8   10       -0.36975            8.82940        8.75666         0.44697E+02    0.44697E+02    0
    4   15         9   10        0.01386           12.43075       12.43450         0.45943E+02    0.45943E+02    0
    6   13         9   10        1.28079           15.49194       15.82760         0.59751E+02    0.59751E+02    0
    8   11         9   10       -2.69742           26.70645       25.84037         0.10256E+03    0.81822E+02    1
   33   38         8   63       -0.28008            1.80155        1.73676         0.76460E+01    0.76460E+01    0
   57   58        52   63       -1.11828            3.45814        3.34682         0.34177E+02    0.34177E+02    0
   31   89        57   63       -0.65739            1.50259        1.36601         0.68984E+01    0.68984E+01    0
   29   91        57   63       -0.12530            1.38378        1.35290         0.55521E+01    0.55521E+01    0
   27   93        57   63       -0.23780            1.42757        1.36190         0.50490E+01    0.50490E+01    0
   43   79        59   63       -0.18747            1.36505        1.34169         0.10863E+02    0.10863E+02    0
   41   81        59   63       -0.31588            1.37759        1.32934         0.88586E+01    0.88586E+01    0
   39   83        59   63       -0.31504            1.37219        1.31407         0.72797E+01    0.72797E+01    0
   55   69        61   63       -1.23206            2.10589        2.01223         0.32087E+02    0.27079E+02    1
   53   71        61   63       -1.13770            1.72490        1.63972         0.27226E+02    0.22465E+02    1
   51   73        61   63       -0.95253            1.48683        1.39971         0.15776E+02    0.15776E+02    0
   59   60        56   63       -2.05642            5.02696        4.80746         0.46059E+02    0.46059E+02    0
   37   84        58   63       -0.19929            1.40183        1.36806         0.81725E+01    0.81725E+01    0
   35   86        58   63       -0.40567            1.41159        1.33186         0.69771E+01    0.69771E+01    0
   33   88        58   63       -0.43782            1.43110        1.33157         0.60738E+01    0.60738E+01    0
   49   74        60   63       -0.58759            1.56634        1.51512         0.19425E+02    0.17675E+02    1
   47   76        60   63       -0.82614            1.51680        1.42944         0.13927E+02    0.13927E+02    0
   61   64        62   63       -1.41530           15.34409       15.08728         0.90223E+02    0.83854E+02    1
   57   68        62   63        2.35670            2.53235        2.72715         0.31801E+02    0.31801E+02    0
   16   18         8   26       -0.43285            4.20535        4.15129         0.33457E+02    0.33457E+02    0
    6   42        22   26       -0.05030            1.89574        1.88943         0.15086E+02    0.15086E+02    0
    2   46        22   26        0.12730            1.62545        1.64962         0.86233E+01    0.86233E+01    0
    4   44        22   26        0.23704            1.76863        1.80588         0.11373E+02    0.11373E+02    0
   16   34        24   26       -0.56538            3.33362        3.26303         0.31707E+02    0.26420E+02    1
   18   32        24   26       -0.26504            4.09419        4.06118         0.37419E+02    0.32733E+02    1
   14   36        24   26       -1.13985            2.94227        2.79525         0.28048E+02    0.22236E+02    1
   12   37        23   26       -1.50636            2.48530        2.32510         0.27965E+02    0.22608E+02    1
    8   41        23   26       -0.50562            2.14059        2.07029         0.15142E+02    0.15142E+02    0
   10   39        23   26       -1.01911            2.34198        2.22715         0.21504E+02    0.20271E+02    1
   24   27        25   26       -1.00054           14.65813       14.48106         0.89274E+02    0.82322E+02    1
   20   31        25   26       -2.61103            5.96378        5.37233         0.38767E+02    0.25000E+02    1
    9   12        10   11        0.58508           18.81075       18.92748         0.94575E+02    0.94575E+02    0
    5   16        10   11       -0.49774            7.89465        7.80022         0.41365E+02    0.41365E+02    0
    1   19         9   11       -0.49726            5.71390        5.63534         0.35915E+02    0.35915E+02    0
    3   17         9   11        1.09408            8.01376        8.21690         0.43706E+02    0.43706E+02    0
    2   20        10   12        0.18076            4.94903        4.97485         0.34741E+02    0.34741E+02    0
    4   18        10   12        0.91279            7.05171        7.20504         0.42432E+02    0.42432E+02    0
   10   13        11   12       -0.48614           20.11923       20.01766         0.96057E+02    0.96057E+02    0
    6   17        11   12        0.52777            8.59004        8.69819         0.42180E+02    0.42180E+02    0
   37   38        32   43        0.46084            3.04459        3.08717         0.33185E+02    0.33185E+02    0
   11   69        37   43       -0.08345            1.62385        1.60578         0.74551E+01    0.74551E+01    0
    9   71        37   43       -0.00289            1.59988        1.59916         0.64192E+01    0.64192E+01    0
    7   73        37   43       -0.08706            1.57150        1.54708         0.55580E+01    0.55580E+01    0
   23   59        39   43       -1.02336            1.71909        1.59518         0.13680E+02    0.13680E+02    0
   19   63        39   43       -0.90395            1.75884        1.59644         0.93309E+01    0.93309E+01    0
   21   61        39   43       -0.91726            1.70442        1.56758         0.10960E+02    0.10960E+02    0
   35   49        41   43        0.08799            2.55414        2.56085         0.33552E+02    0.33552E+02    0
   31   53        41   43       -1.11062            2.04278        1.91474         0.21675E+02    0.17158E+02    1
   33   51        41   43       -1.20755            2.21690        2.09942         0.28853E+02    0.22177E+02    1
   17   64        38   43       -0.91705            1.81228        1.66161         0.10565E+02    0.10565E+02    0
   13   68        38   43       -0.06804            1.69045        1.67449         0.71745E+01    0.71745E+01    0
   15   66        38   43       -0.09614            1.67755        1.65822         0.82916E+01    0.82916E+01    0
   27   56        40   43       -1.45232            1.80287        1.62582         0.16554E+02    0.14050E+02    1
   29   54        40   43       -1.12964            1.82885        1.71465         0.22681E+02    0.17519E+02    1
   37   48        42   43       -0.54544            3.28554        3.23291         0.33775E+02    0.33775E+02    0
   41   44        42   43       -1.45216           15.19037       14.94728         0.90013E+02    0.90013E+02    0
   16   19        17   18        1.15726           16.19611       16.40258         0.91358E+02    0.91358E+02    0
   12   23        17   18       -0.57382            5.70848        5.62376         0.38377E+02    0.38377E+02    0
   14   21        17   18       -0.99071            9.71721        9.53939         0.53642E+02    0.53642E+02    0
   10   24        16   18       -0.88979            5.59861        5.47613         0.40228E+02    0.40228E+02    0
    6   28        16   18       -0.33518            3.29000        3.25191         0.28782E+02    0.28782E+02    0
   28   33         7   54        0.38370            1.62652        1.69369         0.94824E+01    0.94824E+01    0
   22   80        48   54       -0.53289            1.55829        1.44644         0.71541E+01    0.71541E+01    0
   20   82        48   54       -0.21676            1.51917        1.46609         0.60954E+01    0.60954E+01    0
   18   84        48   54       -0.23576            1.54464        1.47940         0.54631E+01    0.54631E+01    0
   34   70        50   54       -0.64887            1.73082        1.65118         0.13773E+02    0.13773E+02    0
   32   72        50   54       -0.61965            1.67077        1.57713         0.10744E+02    0.10744E+02    0
   30   74        50   54       -0.48822            1.64651        1.55701         0.87350E+01    0.87350E+01    0
   46   60        52   54       -1.27728            3.00460        2.84965         0.34836E+02    0.24123E+02    1
   42   64        52   54       -1.07999            2.20188        2.06089         0.23363E+02    0.16321E+02    1
   44   62        52   54       -0.80532            2.34423        2.25357         0.29228E+02    0.20418E+02    1
   28   75        49   54       -0.57754            1.57842        1.48240         0.92019E+01    0.92019E+01    0
   26   77        49   54       -0.39415            1.57636        1.49859         0.77915E+01    0.77915E+01    0
   24   79        49   54       -0.30236            1.55043        1.48080         0.65802E+01    0.65802E+01    0
   38   67        51   54       -0.70034            1.97284        1.88461         0.18115E+02    0.15308E+02    1
   52   53        51   54       -0.52527           12.75965       12.68236         0.86456E+02    0.86456E+02    0
   40   65        51   54       -0.89634            2.13847        2.03559         0.26521E+02    0.18180E+02    1
   36   69        51   54       -0.47869            1.87978        1.81331         0.13297E+02    0.13297E+02    0
   48   59        53   54       -0.11196            4.54460        4.52531         0.36406E+02    0.26319E+02    1
   20   23         9   34       -0.84867            2.45157        2.37806         0.27877E+02    0.27877E+02    0
    2   60        28   34        0.40809            1.45638        1.54804         0.66862E+01    0.66862E+01    0
   12   52        30   34       -0.18853            1.71724        1.68817         0.11043E+02    0.11043E+02    0
   14   50        30   34       -0.31687            1.76165        1.72228         0.14019E+02    0.14019E+02    0
   10   54        30   34       -0.02326            1.66918        1.66480         0.88553E+01    0.88553E+01    0
   24   42        32   34       -1.68553            2.57343        2.37473         0.29865E+02    0.20976E+02    1
   26   40        32   34       -1.63798            3.37098        3.17954         0.35775E+02    0.28016E+02    1
   22   44        32   34       -1.59210            2.29059        2.09504         0.24304E+02    0.17842E+02    1
    4   59        29   34        0.11005            1.55654        1.58268         0.66061E+01    0.66061E+01    0
    6   57        29   34        0.04592            1.61461        1.62393         0.79805E+01    0.79805E+01    0
    8   55        29   34       -0.05936            1.73796        1.72781         0.10132E+02    0.10132E+02    0
   20   45        31   34       -2.39049            2.13004        1.86876         0.26416E+02    0.18267E+02    1
   16   49        31   34       -0.33101            1.74707        1.70089         0.12358E+02    0.12358E+02    0
   18   47        31   34       -0.55647            1.79845        1.73885         0.16513E+02    0.16513E+02    0
   30   37        33   34        0.42661            8.29387        8.36257         0.51713E+02    0.51713E+02    0
   32   35        33   34       -1.82264           18.66153       18.14826         0.94401E+02    0.65352E+02    1
   28   39        33   34        1.35947            4.19850        4.36125         0.35745E+02    0.35745E+02    0
   49   53        31   71       -0.18888            1.46087        1.43179         0.93941E+01    0.93941E+01    0
   39   97        65   71       -0.27360            1.57282        1.51434         0.72208E+01    0.72208E+01    0
   37   99        65   71       -0.23910            1.59012        1.53163         0.63801E+01    0.63801E+01    0
   35  101        65   71       -0.18785            1.57355        1.52133         0.55653E+01    0.55653E+01    0
   67   68        64   71       -0.61525            6.06408        5.98701         0.48101E+02    0.48101E+02    0
   43   94        66   71       -0.18696            1.47999        1.44265         0.73152E+01    0.73152E+01    0
   41   96        66   71       -0.16511            1.48921        1.45081         0.63204E+01    0.63204E+01    0
   51   87        67   71       -0.90491            1.55755        1.44789         0.12395E+02    0.12395E+02    0
   49   89        67   71       -0.50888            1.53199        1.45486         0.98515E+01    0.98515E+01    0
   47   91        67   71       -0.26715            1.48606        1.43655         0.78838E+01    0.78838E+01    0
   57   82        68   71       -0.84611            1.62310        1.54356         0.20129E+02    0.16839E+02    1
   55   84        68   71       -0.75119            1.55923        1.47938         0.14317E+02    0.14291E+02    1
   53   86        68   71       -0.67054            1.52269        1.43078         0.10771E+02    0.10771E+02    0
   63   77        69   71       -0.51010            2.12238        2.08896         0.32145E+02    0.32145E+02    0
   61   79        69   71       -0.96210            1.85900        1.77795         0.27702E+02    0.21583E+02    1
   59   81        69   71       -0.91570            1.69447        1.60080         0.17979E+02    0.16102E+02    1
   69   72        70   71       -1.72626           15.36381       14.98290         0.90250E+02    0.68762E+02    1
   65   76        70   71        2.24888            2.58551        2.77403         0.31954E+02    0.31954E+02    0
   12   15        13   14       -1.32610           17.96479       17.71199         0.93574E+02    0.93574E+02    0
    8   19        13   14        0.92272            7.33603        7.50438         0.40669E+02    0.40669E+02    0
    6   20        12   14        0.30730            7.08311        7.13454         0.42476E+02    0.42476E+02    0
    2   24        12   14       -0.32548            4.65222        4.60391         0.31183E+02    0.31183E+02    0
    4   22        12   14       -0.16134            5.87196        5.84580         0.36142E+02    0.36142E+02    0
   29   33        11   51       -0.29221            1.80621        1.76133         0.11615E+02    0.11615E+02    0
   25   72        46   51       -0.43648            1.38396        1.31108         0.80683E+01    0.80683E+01    0
   23   74        46   51       -0.38031            1.37498        1.30015         0.67961E+01    0.67961E+01    0
   21   76        46   51       -0.34100            1.37496        1.29692         0.58355E+01    0.58355E+01    0
   35   64        48   51       -0.74315            1.51060        1.43179         0.13870E+02    0.13870E+02    0
   37   62        48   51       -0.90666            1.64552        1.56068         0.20407E+02    0.17128E+02    1
   33   66        48   51       -0.51434            1.44188        1.37097         0.10199E+02    0.10199E+02    0
   49   52        50   51       -1.70891           14.99391       14.62878         0.89743E+02    0.69316E+02    1
   47   54        50   51        0.28103            5.19481        5.22636         0.46410E+02    0.46410E+02    0
   19   77        45   51        1.37322            0.96926        1.31966         0.44499E+01    0.44499E+01    0
   17   79        45   51        1.06909            1.01912        1.32365         0.40890E+01    0.40890E+01    0
   15   81        45   51        1.46718            0.78074        1.32819         0.27613E+01    0.27613E+01    0
   31   67        47   51       -0.58843            1.51536        1.44319         0.12059E+02    0.12059E+02    0
   29   69        47   51       -0.47199            1.45619        1.38461         0.93640E+01    0.93640E+01    0
   27   71        47   51       -0.48552            1.46520        1.37648         0.77731E+01    0.77731E+01    0
   41   59        49   51       -0.87103            1.89064        1.81991         0.27810E+02    0.22846E+02    1
   43   57        49   51        0.09366            2.34441        2.35110         0.32893E+02    0.32893E+02    0
   39   61        49   51       -0.60405            1.65593        1.59985         0.17570E+02    0.17532E+02    1
    5   23        13   15       -0.31520            4.22128        4.18173         0.33486E+02    0.33486E+02    0
    7   21        13   15        0.57908            5.60780        5.68908         0.40243E+02    0.40243E+02    0
    3   25        13   15        0.05989            3.63017        3.63756         0.29444E+02    0.29444E+02    0
    1   26        12   15       -0.87392            3.65043        3.54754         0.30565E+02    0.30565E+02    0
   13   16        14   15       -0.93237           20.17056       19.97584         0.96113E+02    0.96113E+02    0
    9   20        14   15        0.96784            6.97221        7.14213         0.40193E+02    0.40193E+02    0
   11   18        14   15       -0.56019           11.37342       11.25946         0.55630E+02    0.55630E+02    0
   21   23        13   31        1.00716            3.26442        3.37030         0.31554E+02    0.31554E+02    0
    5   52        26   31        0.00889            1.68830        1.68982         0.98425E+01    0.98425E+01    0
    1   56        26   31       -0.30252            1.57120        1.50151         0.66684E+01    0.66684E+01    0
    3   54        26   31        0.07279            1.61025        1.62505         0.79590E+01    0.79590E+01    0
   17   42        28   31       -1.05132            2.41436        2.29916         0.27778E+02    0.21503E+02    1
   13   46        28   31       -0.59769            2.16605        2.08318         0.15322E+02    0.15322E+02    0
   15   44        28   31       -0.74727            2.22269        2.13793         0.20409E+02    0.19219E+02    1
   27   34        30   31       -1.41167            8.43937        8.19899         0.51921E+02    0.48853E+02    1
   29   32        30   31       -0.87671           16.62391       16.46610         0.91910E+02    0.91910E+02    0
   25   36        30   31       -0.15430            4.65715        4.63756         0.36612E+02    0.36612E+02    0
    9   49        27   31       -0.46326            1.86271        1.79204         0.11978E+02    0.11978E+02    0
   11   47        27   31       -0.68267            1.92285        1.83895         0.15302E+02    0.15302E+02    0
    7   51        27   31       -0.20196            1.75898        1.72132         0.93317E+01    0.93317E+01    0
   23   37        29   31       -2.06792            4.03424        3.71573         0.37292E+02    0.25144E+02    1
   19   41        29   31       -1.33950            2.59914        2.43402         0.27255E+02    0.20408E+02    1
   21   39        29   31       -1.84303            3.07745        2.82201         0.31126E+02    0.21270E+02    1
    2   27        13   16       -0.00346            3.23865        3.23828         0.29731E+02    0.29731E+02    0
   12   19        15   16       -0.89309           12.41283       12.21907         0.56767E+02    0.56767E+02    0
   10   21        15   16       -1.54723            9.08166        8.70314         0.42726E+02    0.36343E+02    1
    4   26        14   16        0.14357            4.01114        4.03029         0.30132E+02    0.30132E+02    0
    6   24        14   16       -0.55551            4.93377        4.85545         0.34716E+02    0.34716E+02    0
    8   22        14   16       -0.33504            6.51460        6.46242         0.41662E+02    0.41662E+02    0
   42   89        63   68       -0.33714            1.52875        1.47199         0.89124E+01    0.89124E+01    0
   40   91        63   68       -0.33377            1.52938        1.46332         0.75593E+01    0.75593E+01    0
   38   93        63   68       -0.32269            1.51590        1.44174         0.64337E+01    0.64337E+01    0
   54   79        65   68       -0.65191            1.85731        1.78951         0.23034E+02    0.17531E+02    1
   52   81        65   68       -0.88311            1.74639        1.64319         0.16035E+02    0.14499E+02    1
   36   94        62   68       -0.31583            1.48380        1.41658         0.68121E+01    0.68121E+01    0
   34   96        62   68       -0.26019            1.47085        1.40741         0.59015E+01    0.59015E+01    0
   32   98        62   68       -0.33508            1.51457        1.42273         0.53567E+01    0.53567E+01    0
   48   84        64   68       -0.65249            1.56030        1.48042         0.12416E+02    0.12416E+02    0
   46   86        64   68       -0.36647            1.53147        1.47553         0.98482E+01    0.98482E+01    0
   44   88        64   68       -0.38843            1.55795        1.48643         0.82652E+01    0.82652E+01    0
   60   74        66   68       -0.41365            2.23462        2.20092         0.32530E+02    0.27220E+02    1
   58   76        66   68       -0.98689            1.97731        1.88418         0.28100E+02    0.20456E+02    1
   56   78        66   68       -1.04335            1.86232        1.73995         0.19760E+02    0.15351E+02    1
   66   69        67   68       -1.35422           16.78300       16.50522         0.92113E+02    0.81142E+02    1
   62   73        67   68       -0.18703            3.02261        3.00559         0.33129E+02    0.33129E+02    0
    9   23        15   17       -1.83386            6.50773        6.19850         0.41652E+02    0.37670E+02    1
    5   27        15   17       -0.54034            3.75860        3.69079         0.29682E+02    0.29682E+02    0
    7   25        15   17       -1.29198            4.90886        4.72932         0.34675E+02    0.34675E+02    0
    3   28        14   17        0.21183            3.41192        3.43602         0.30091E+02    0.30091E+02    0
   13   20        16   17       -1.22619           11.27052       11.02431         0.55513E+02    0.55513E+02    0
   15   18        16   17        0.94811           18.12882       18.31305         0.93771E+02    0.93771E+02    0
   11   22        16   17       -0.34588            6.78273        6.72424         0.39938E+02    0.39938E+02    0
   22   69        43   48       -0.59086            1.56560        1.46746         0.91272E+01    0.91272E+01    0
   20   71        43   48       -0.29429            1.53672        1.47832         0.75956E+01    0.75956E+01    0
   18   73        43   48       -0.88772            1.65062        1.45417         0.70055E+01    0.70055E+01    0
   16   74        42   48       -0.27936            1.50791        1.44827         0.69228E+01    0.69228E+01    0
   14   76        42   48       -0.42410            1.55416        1.45198         0.62358E+01    0.62358E+01    0
   12   78        42   48       -0.31742            1.53779        1.45061         0.54388E+01    0.54388E+01    0
   28   64        44   48       -0.96350            1.56665        1.45014         0.12467E+02    0.12467E+02    0
   24   68        44   48       -0.34325            1.47065        1.40735         0.78020E+01    0.78020E+01    0
   38   56        46   48       -1.28513            2.13985        2.02218         0.28618E+02    0.22722E+02    1
   40   54        46   48       -0.14533            2.64293        2.63160         0.33818E+02    0.33818E+02    0
   36   58        46   48       -0.63453            1.84811        1.78670         0.19609E+02    0.18777E+02    1
   34   59        45   48       -0.26905            1.61739        1.59454         0.20058E+02    0.18911E+02    1
   32   61        45   48        1.41936            1.31211        1.47616         0.12048E+02    0.12048E+02    0
   42   53        47   48        0.99291            4.08204        4.19778         0.35513E+02    0.35513E+02    0
   22   23        17   28        0.53668            5.14279        5.21699         0.37462E+02    0.37462E+02    0
    4   48        24   28       -0.01712            1.74303        1.73980         0.92470E+01    0.92470E+01    0
    8   44        24   28       -0.18688            1.97573        1.95239         0.15722E+02    0.15722E+02    0
   20   34        26   28       -0.94659            3.59781        3.48867         0.36318E+02    0.30730E+02    1
   16   38        26   28       -0.84685            2.26871        2.18760         0.24072E+02    0.23260E+02    1
   18   36        26   28       -0.27368            2.52768        2.50453         0.29742E+02    0.29742E+02    0
   12   41        25   28       -0.89711            2.06893        1.97349         0.18997E+02    0.18997E+02    0
   14   39        25   28       -0.75593            2.23311        2.16343         0.27282E+02    0.23845E+02    1
   24   31        27   28       -1.87976            5.53870        5.32202         0.47104E+02    0.47104E+02    0
   22   33        27   28       -2.76805            3.75368        3.39977         0.34831E+02    0.27952E+02    1
   13   27        19   21        0.66604            4.26975        4.34568         0.37785E+02    0.37785E+02    0
    9   31        19   21       -0.54943            2.78698        2.73224         0.27698E+02    0.27698E+02    0
   11   29        19   21       -0.44828            3.29613        3.24974         0.31625E+02    0.31625E+02    0
    5   34        18   21       -0.01579            2.41590        2.41418         0.22183E+02    0.22183E+02    0
    7   32        18   21       -0.88695            2.83912        2.75313         0.28839E+02    0.28839E+02    0
   15   26        20   21       -0.55924            4.05533        3.99187         0.35459E+02    0.35459E+02    0
   19   22        20   21        2.71050           11.16150       11.63714         0.83822E+02    0.64951E+02    1
    9   27        17   19       -1.14106            4.13510        3.99592         0.33327E+02    0.33327E+02    0
   11   25        17   19       -1.18232            5.40626        5.24553         0.39904E+02    0.39172E+02    1
    7   29        17   19       -0.70853            3.34254        3.26156         0.28887E+02    0.28887E+02    0
    5   30        16   19        0.05799            2.90603        2.91185         0.28995E+02    0.28995E+02    0
    1   34        16   19        0.16159            2.20883        2.23179         0.15624E+02    0.15624E+02    0
    3   32        16   19        0.49955            2.60381        2.65878         0.23908E+02    0.23908E+02    0
   17   20        18   19       -2.06204           18.23254       17.71019         0.93894E+02    0.70940E+02    1
   13   24        18   19       -1.07216            8.46836        8.20891         0.42041E+02    0.34457E+02    1
   15   22        18   19       -1.52393           11.60288       11.25991         0.55888E+02    0.50790E+02    1
    6   31        17   20       -0.52064            2.98515        2.93235         0.29176E+02    0.29176E+02    0
