x,y,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP,code,x_clhs,y_clhs,z,t,depth,humus,pH_eau,CEC,clay,silt,sand,caCO,TOC,bd,vwc,copeky,temp,rperm,iperm,x_clhs,y_clhs,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP,code,x_clhs,y_clhs,z,t,depth,humus,pH_eau,CEC,clay,silt,sand,caCO,TOC,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_tc_hp,bulk_ec_dc_tc_hp,water_ec_hp,water_ec_hp_t,iperm_water_t,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,bulk_ec_inv,bulk_ec_dc_tc_inv,ideal_bulk_ec
41564.53508,204206.635,0.55,46700.42,150.2467739302127,73.28999041667032,222.26996161547763,112.6653163055169,354.5809394439011,186.68217188488185,2.04,0.13,7.76,0.63,37.08,4.53,1,41565.381,204207.342,0,0,10,2.516,7.84,20.725,22.106,65.499,12.396,0.0,12.58,1.281,0.26224,13,32.7,10.7,10.3,41564.53508,204206.635,0.55,46700.42,150.2467739302127,73.28999041667032,222.26996161547763,112.6653163055169,354.5809394439011,186.68217188488185,2.04,0.13,7.76,0.63,37.08,4.53,1,41565.381,204207.342,0,0,50,2.806,8.5,22.136,28.516,64.364,7.121,3.2,17.92,1.469,0.32284,18,25.0,25.104,36.484,0.04327499036628776,0.02046,0.04325062032429554,300.00334608689684,0.1640446943377095,0.1640446943377095,58.974407464232684,0.5400327355538295,45.59341538049867,145.15056969568306,295.32896738498795,459.7400432865893,45.59341538049867,42.94,0.060556
41548.70351,204311.6093,0.849275,48080.26,134.66882008769176,112.80207020241151,148.8211936184172,107.63936654933548,219.2113643787326,120.50138458709078,1.86,0.07,5.91,0.16,28.12,4.28,2,41549.211,204310.992,0,0,10,1.162,8.32,20.482,25.616,59.907,14.477,2.1,8.27,1.403,0.41344,20,31.1,28.1,35.1,41548.70351,204311.6093,0.849275,48080.26,134.66882008769176,112.80207020241151,148.8211936184172,107.63936654933548,219.2113643787326,120.50138458709078,1.86,0.07,5.91,0.16,28.12,4.28,2,41549.211,204310.992,0,0,50,4.294,8.79,18.516,41.816,50.414,7.769,16.1,21.47,1.369,0.40142,23,25.0,36.536,49.772,0.06194457926853959,0.03338,0.061909695563536135,489.4482743099031,0.15231025145940394,0.15231025145940394,54.755850939348626,75.41015257637912,87.02221290612064,124.28013569000856,192.3717583854255,278.3452885685029,87.02221290612064,82.79,0.124644
41589.68646,204167.8156,0.55,46944.42,190.342979244559,94.6235888115037,275.7321587443016,158.6607554348161,396.56307496705097,249.7573466584595,2.16,0.1,8.15,0.93,39.79,7.78,3,41588.221,204167.503,0,0,10,2.714,8.32,23.113,24.67,66.901,8.43,4.0,18.31,1.386,0.30754,22,28.3,8.7,6.4,41589.68646,204167.8156,0.55,46944.42,190.342979244559,94.6235888115037,275.7321587443016,158.6607554348161,396.56307496705097,249.7573466584595,2.16,0.1,8.15,0.93,39.79,7.78,3,41588.221,204167.503,0,0,50,4.55,8.62,23.378,30.686,64.001,5.313,9.6,22.75,1.432,0.30815,6,25.0,22.713,31.887,0.03881262065853241,0.01756,0.03879076357232001,257.4808776777082,0.16592794595642563,0.16592794595642563,59.651440322675526,8.759716520201238,71.62129251340957,188.9687344143053,347.83725187601675,505.5510705489041,71.62129251340957,67.94,0.062734
41668.92012,204238.2888,0.45,53527.92,180.94068970967896,93.7583155312787,268.6758117995202,156.63741128768822,382.5696388923382,249.04452484645225,2.21,0.21,8.25,0.79,38.92,7.47,4,41668.451,204238.44,0,0,10,1.622,8.17,24.345,27.206,66.315,6.478,1.7,10.14,1.279,0.32295,24,31.6,16.7,18.5,41668.92012,204238.2888,0.45,53527.92,180.94068970967896,93.7583155312787,268.6758117995202,156.63741128768822,382.5696388923382,249.04452484645225,2.21,0.21,8.25,0.79,38.92,7.47,4,41668.451,204238.44,0,0,50,3.452,8.73,20.368,25.121,62.385,12.494,3.4,17.26,1.352,0.27097,422,25.0,31.41,47.845,0.05476535726846976,0.02825,0.05473451649773694,414.2274939860624,0.15984051738334845,0.15984051738334845,57.46299713938666,11.115130626462424,72.28646368420092,186.5294545315868,339.629580064415,488.75147921813567,72.28646368420092,68.58,0.045959
41521.64592,204334.5815,0.85,47262.62,207.47376114998687,167.4258341958287,251.6954278587899,187.8579753824137,323.9243832882793,233.9511096595295,1.96,0.13,6.65,0.66,32.71,8.17,5,41520.385,204334.195,0,0,50,2.584,8.74,22.371,26.333,68.302,5.365,3.9,17.62,1.528,0.33342,2,25.0,27.804,38.97,41521.64592,204334.5815,0.85,47262.62,207.47376114998687,167.4258341958287,251.6954278587899,187.8579753824137,323.9243832882793,233.9511096595295,1.96,0.13,6.65,0.66,32.71,8.17,5,41520.385,204334.195,0,0,50,2.584,8.74,22.371,26.333,68.302,5.365,3.9,17.62,1.528,0.33342,2,25.0,27.804,38.97,0.04749210257266308,0.02326,0.04746535769012934,341.0595224819756,0.15961049427882062,0.15961049427882062,57.38030335677224,91.51440941514372,122.93561997656649,191.983412710398,293.9365757187907,401.6268393077988,122.93561997656649,117.55,0.05639
41617.05436,204259.0171,0.6149792,51612.3,170.21111737912238,86.26068686105619,242.00733382854585,142.28749823296468,318.58666313128845,211.76561121429677,2.08,0.13,7.49,0.54,33.88,4.6,6,41615.875,204258.051,0,0,10,2.89,8.29,22.163,23.213,64.251,12.535,1.5,16.25,1.436,0.35694,5,28.3,11.3,6.4,41617.05436,204259.0171,0.6149792,51612.3,170.21111737912238,86.26068686105619,242.00733382854585,142.28749823296468,318.58666313128845,211.76561121429677,2.08,0.13,7.49,0.54,33.88,4.6,6,41615.875,204258.051,0,0,50,1.146,8.73,18.542,25.639,63.887,10.474,9.5,17.13,1.611,0.34154,9,25.0,18.975,24.261,0.03161656879729187,0.01301,0.03159876412298187,190.7645910357052,0.1689032055948814,0.1689032055948814,60.721052326517345,23.106534504742434,80.74710068145775,176.59033063685877,296.9428979782589,408.9019767145678,80.74710068145775,76.74000000000001,0.055397
41576.95294,204271.2311,1.15,48437.26,117.49145270743844,49.67402076134101,177.55804638483605,80.35850933755005,314.1385172337525,151.46342114450795,2.05,0.14,7.4,0.55,33.61,3.4,7,41578.212,204271.787,0,0,10,1.758,8.19,21.157,25.013,59.196,15.791,1.1,10.11,1.306,0.27939,4,31.1,13.3,13.1,41576.95294,204271.2311,1.15,48437.26,117.49145270743844,49.67402076134101,177.55804638483605,80.35850933755005,314.1385172337525,151.46342114450795,2.05,0.14,7.4,0.55,33.61,3.4,7,41578.212,204271.787,0,0,50,3.694,8.39,21.116,27.217,57.237,15.546,1.1,19.84,1.401,0.3022,3,25.0,25.267,33.202,0.04242332341408742,0.0199,0.04239943298304861,291.79211080788116,0.15958366827135909,0.15958366827135909,57.37065935151463,-7.570501880626033,28.847207160413816,116.91818931734382,255.93508314224889,412.7441336843112,28.847207160413816,26.96,0.055027
41533.54743,204357.0333,0.65,48325.06,159.5292908939999,132.43983735855522,184.8605696721739,134.41695924440484,265.0920442227326,161.88359994921444,1.9,0.03,6.17,0.24,29.45,4.1,8,41533.32,204357.264,0,0,50,3.824,8.7,19.43,24.565,61.627,13.808,6.7,19.12,1.585,0.39937,12,25.0,35.786,55.569,41533.54743,204357.0333,0.65,48325.06,159.5292908939999,132.43983735855522,184.8605696721739,134.41695924440484,265.0920442227326,161.88359994921444,1.9,0.03,6.17,0.24,29.45,4.1,8,41533.32,204357.264,0,0,50,3.824,8.7,19.43,24.565,61.627,13.808,6.7,19.12,1.585,0.39937,12,25.0,35.786,55.569,0.0626765914105752,0.03392,0.06264129547748136,497.36625118609686,0.15774640762744654,0.15774640762744654,56.710160343792744,78.63828706438541,95.42364479879096,145.2832588997646,231.1590869762284,333.8363886297959,95.42364479879096,90.91000000000001,0.06575
41642.94946,204299.055,0.65,53586.61,125.8716210391403,73.8663049228253,179.05216170431407,99.20351947005962,287.52646019715854,151.2930156772506,2.04,0.11,6.84,0.18,31.61,2.0,9,41642.385,204297.786,0,0,10,3.398,8.34,22.787,21.302,65.61,13.088,2.2,16.99,1.366,0.36434,16,28.6,20.2,20.3,41642.94946,204299.055,0.65,53586.61,125.8716210391403,73.8663049228253,179.05216170431407,99.20351947005962,287.52646019715854,151.2930156772506,2.04,0.11,6.84,0.18,31.61,2.0,9,41642.385,204297.786,0,0,50,1.628,8.63,22.144,46.729,42.481,10.79,8.317,18.12,1.514,0.325,470,25.0,28.698,47.318,0.050944208663516406,0.0256,0.050915519748882754,375.37075561214857,0.16501484707592975,0.16501484707592975,59.32317938347903,21.00544808890108,52.41214555055169,126.86974209987852,243.1612609395517,373.5336710407917,52.41214555055169,49.480000000000004,0.104775
41701.0223,204261.7069,0.05,54124.14,217.96501389066907,117.99863291002046,311.99472162322314,198.4294941125246,393.59897658713953,292.2241059294245,2.22,0.19,8.53,1.0,40.11,7.95,10,41702.154,204262.206,0,0,10,1.758,8.17,23.295,31.426,60.784,7.79,1.383,10.45,1.366,0.32171,8,27.2,12.1,13.7,41701.0223,204261.7069,0.05,54124.14,217.96501389066907,117.99863291002046,311.99472162322314,198.4294941125246,393.59897658713953,292.2241059294245,2.22,0.19,8.53,1.0,40.11,7.95,10,41702.154,204262.206,0,0,50,2.258,8.9,22.885,35.65,58.597,5.753,3.425,15.4,1.251,0.28289,14,25.0,36.388,60.008,0.06459783414841766,0.03533,0.06456145627941112,518.0409685850473,0.15955992132497882,0.15955992132497882,57.3621222750946,30.410748586017288,105.19968105621072,225.6541605550724,369.6716966227696,493.9485094190987,105.19968105621072,100.37,0.07336
41513.61527,204286.1329,0.1585536,46209.19,195.05732347513265,165.11104155913907,230.63481325363412,176.28708459354965,286.22193435916444,204.0707183162662,2.0,0.11,6.91,0.65,33.87,7.52,11,41514.141,204286.566,0,0,10,3.126,8.42,21.276,27.858,59.514,12.629,1.75,17.73,1.491,0.44477,405,31.4,24.8,29.4,41513.61527,204286.1329,0.1585536,46209.19,195.05732347513265,165.11104155913907,230.63481325363412,176.28708459354965,286.22193435916444,204.0707183162662,2.0,0.11,6.91,0.65,33.87,7.52,11,41514.141,204286.566,0,0,50,0.532,8.82,20.185,47.042,47.839,5.119,14.933,20.58,1.366,0.32572,404,25.0,29.935,49.938,0.05327462173216467,0.02721,0.053244620459888384,398.97805703931886,0.16433274488425578,0.16433274488425578,59.07796223246764,99.7504965937048,124.93055008048418,180.61020137196965,264.1372867788258,354.61158861264994,124.93055008048418,119.48,0.117298
41619.48192,204273.3088,0.65,52247.32,54.903180769252415,42.47906413772717,150.09433012686296,89.57445063148089,251.12445079068289,146.5271081545956,0.87,-0.27,5.62,0.11,29.04,2.18,12,41619.55,204273.12,0,0,10,2.568,7.92,23.295,29.943,59.065,10.993,1.067,14.12,1.284,0.29285,400,32.1,13.0,12.8,41619.48192,204273.3088,0.65,52247.32,54.903180769252415,42.47906413772717,150.09433012686296,89.57445063148089,251.12445079068289,146.5271081545956,0.87,-0.27,5.62,0.11,29.04,2.18,12,41619.55,204273.12,0,0,50,3.088,8.09,22.131,26.464,59.544,13.993,1.3,17.0,1.487,0.29367,416,25.0,26.077,34.227,0.04376944760711283,0.02078,0.0437447991145971,304.69548053204875,0.15860650489509562,0.15860650489509562,57.01936709336788,1.3296337910747231,32.208407602672864,109.18774301139796,221.5268701364721,334.05673787666024,32.208407602672864,30.16,0.049178
41684.4859,204247.3604,0.35,53809.54,249.68313052228524,131.57310375653378,356.4928675167603,217.7813516437114,477.2911040825759,317.98765011094554,2.28,0.19,8.98,1.01,43.05,9.3,13,41685.271,204247.395,0,0,50,2.566,8.97,21.704,45.571,47.969,6.46,5.35,19.25,1.252,0.30199,1,25.0,24.241,36.528,41684.4859,204247.3604,0.35,53809.54,249.68313052228524,131.57310375653378,356.4928675167603,217.7813516437114,477.2911040825759,317.98765011094554,2.28,0.19,8.98,1.01,43.05,9.3,13,41685.271,204247.395,0,0,50,2.566,8.97,21.704,45.571,47.969,6.46,5.35,19.25,1.252,0.30199,1,25.0,24.241,36.528,0.04215731182788475,0.01973,0.04213357119961819,289.2994143838942,0.16662145873379675,0.16662145873379675,59.900759602884236,19.44459066770488,101.35698134812972,242.4901678419729,422.8013160615039,592.8672118080858,101.35698134812972,96.65,0.110408
41591.14582,204181.2118,0.45,47210.22,183.4836453682402,95.20045630660202,266.46586936248394,156.03051540520528,381.9289175437868,245.8396638249293,2.14,0.06,8.04,0.87,40.15,7.84,14,41592.391,204181.865,0,0,10,3.244,8.28,23.247,29.681,61.906,8.412,2.133,18.78,1.431,0.31524,415,30.7,13.8,13.3,41591.14582,204181.2118,0.45,47210.22,183.4836453682402,95.20045630660202,266.46586936248394,156.03051540520528,381.9289175437868,245.8396638249293,2.14,0.06,8.04,0.87,40.15,7.84,14,41592.391,204181.865,0,0,50,3.262,8.31,22.432,41.016,45.749,13.236,3.942,21.04,1.379,0.35335,21,25.0,27.238,36.878,0.046104816553360566,0.02233,0.04607885291233051,327.423006750753,0.15872215011054502,0.15872215011054502,57.06094178790303,13.096837929602057,72.87172173783573,185.2903931338036,337.4147478324918,487.49425506986313,72.87172173783573,69.13999999999999,0.104865
41563.2081,204364.9004,0.7354848,51506.51,203.92014845956805,185.6630652039414,219.55874527819955,186.0298024429825,265.8392799552333,200.58194281397175,1.89,0.05,6.11,0.29,28.96,4.2,15,41563.215,204365.006,0,0,50,6.578,8.79,18.981,27.009,68.788,4.203,8.1,42.61,1.425,0.42207,19,25.0,33.32,51.121,41563.2081,204364.9004,0.7354848,51506.51,203.92014845956805,185.6630652039414,219.55874527819955,186.0298024429825,265.8392799552333,200.58194281397175,1.89,0.05,6.11,0.29,28.96,4.2,15,41563.215,204365.006,0,0,50,6.578,8.79,18.981,27.009,68.788,4.203,8.1,42.61,1.425,0.42207,19,25.0,33.32,51.121,0.05819411183135966,0.03067,0.05816134017879483,449.7117607275233,0.15878338835295952,0.15878338835295952,57.08295706291772,124.91454808681814,141.17341915423742,182.26202709038532,248.57984955640063,324.3259632672483,141.17341915423742,135.25,0.083134
41513.61527,204286.1329,0.1585536,46209.19,195.05732347513265,165.11104155913907,230.63481325363412,176.28708459354965,286.22193435916444,204.0707183162662,2.0,0.11,6.91,0.65,33.87,7.52,11,41514.141,204286.566,0,0,10,3.126,8.42,21.276,27.858,59.514,12.629,1.75,17.73,1.491,0.44477,405,31.4,24.8,29.4,41513.61527,204286.1329,0.1585536,46209.19,195.05732347513265,165.11104155913907,230.63481325363412,176.28708459354965,286.22193435916444,204.0707183162662,2.0,0.11,6.91,0.65,33.87,7.52,11,41514.141,204286.566,0,0,10,3.126,8.42,21.276,27.858,59.514,12.629,1.75,17.73,1.491,0.44477,405,31.4,24.8,29.4,0.04041327431801672,0.01859,0.035650147099743706,214.70854464590377,0.15543567045391046,0.1370930050361398,49.28521932476113,99.7504965937048,124.93055008048418,180.61020137196965,264.1372867788258,354.61158861264994,99.7504965937048,83.89146997857034,0.099158
41619.48192,204273.3088,0.65,52247.32,54.903180769252415,42.47906413772717,150.09433012686296,89.57445063148089,251.12445079068289,146.5271081545956,0.87,-0.27,5.62,0.11,29.04,2.18,12,41619.55,204273.12,0,0,10,2.568,7.92,23.295,29.943,59.065,10.993,1.067,14.12,1.284,0.29285,400,32.1,13.0,12.8,41619.48192,204273.3088,0.65,52247.32,54.903180769252415,42.47906413772717,150.09433012686296,89.57445063148089,251.12445079068289,146.5271081545956,0.87,-0.27,5.62,0.11,29.04,2.18,12,41619.55,204273.12,0,0,10,2.568,7.92,23.295,29.943,59.065,10.993,1.067,14.12,1.284,0.29285,400,32.1,13.0,12.8,0.019905222558735593,0.00575,0.017336001606008476,64.69952026800911,0.17693531163320525,0.15399824528110684,55.362688215251495,1.3296337910747231,32.208407602672864,109.18774301139796,221.5268701364721,334.05673787666024,1.3296337910747231,0.9754385685182129,0.072715
41684.4859,204247.3604,0.35,53809.54,249.68313052228524,131.57310375653378,356.4928675167603,217.7813516437114,477.2911040825759,317.98765011094554,2.28,0.19,8.98,1.01,43.05,9.3,13,41685.271,204247.395,0,0,50,2.566,8.97,21.704,45.571,47.969,6.46,5.35,19.25,1.252,0.30199,1,25.0,24.241,36.528,41684.4859,204247.3604,0.35,53809.54,249.68313052228524,131.57310375653378,356.4928675167603,217.7813516437114,477.2911040825759,317.98765011094554,2.28,0.19,8.98,1.01,43.05,9.3,13,41685.271,204247.395,0,0,10,2.474,8.23,23.505,29.156,63.239,7.605,1.133,13.73,1.38,0.26512,423,30.4,11.0,11.0,0.016938199880836207,0.00404,0.015221909389537908,48.433587797858095,0.19357942720955665,0.1740268450979816,62.563011342476884,19.44459066770488,101.35698134812972,242.4901678419729,422.8013160615039,592.8672118080858,19.44459066770488,16.212067830061958,0.058961
41591.14582,204181.2118,0.45,47210.22,183.4836453682402,95.20045630660202,266.46586936248394,156.03051540520528,381.9289175437868,245.8396638249293,2.14,0.06,8.04,0.87,40.15,7.84,14,41592.391,204181.865,0,0,10,3.244,8.28,23.247,29.681,61.906,8.412,2.133,18.78,1.431,0.31524,415,30.7,13.8,13.3,41591.14582,204181.2118,0.45,47210.22,183.4836453682402,95.20045630660202,266.46586936248394,156.03051540520528,381.9289175437868,245.8396638249293,2.14,0.06,8.04,0.87,40.15,7.84,14,41592.391,204181.865,0,0,10,3.244,8.28,23.247,29.681,61.906,8.412,2.133,18.78,1.431,0.31524,415,30.7,13.8,13.3,0.020963297065049718,0.00639,0.018733815371352693,75.75434205989055,0.1711289556330589,0.15296258014280656,54.99036445245497,13.096837929602057,72.87172173783573,185.2903931338036,337.4147478324918,487.49425506986313,13.096837929602057,10.759525869007263,0.07043
