x,y,z,t,HCPHQP,PRPHQP,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCPHIP,PRPHIP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,Unnamed: 0,x_clhs,y_clhs,z,t,code,depth,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_tc_hp,bulk_ec_dc_tc_hp,water_ec_hp,water_ec_hp_t,iperm_water_t,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,bulk_ec_inv,bulk_ec_dc_tc_inv,ideal_bulk_ec
107719.9979,183326.6793,26.1909152,40954.67,56.35169266739968,60.08414500808889,53.42588479290067,69.5160374791226,38.61468971282981,59.16462462005028,0.99,0.96,1.04,0.15,1.31,-3.69,5166,107720.118,183326.96,26.1909152,40954.67,1,50,6.86,28.088,54.928,34.73,10.343,0.0,0.0,1.492,0.40361,20,25.4,56.8,89.9,0.09991773308862842,0.0635,0.09904418245569187,917.3097557004457,0.15139050467974002,0.15016740731779626,53.98549403113093,117.5291887102342,67.40735701900552,40.2817274012372,25.97629992301955,22.542397182477394,67.40735701900552,63.3215164084789,0.176864
107755.6395,183331.2104,26.8825864,42473.18,15.69298424259862,20.581616971034183,22.329552086336108,24.625304221029893,32.82462043548812,30.537492105936185,0.97,1.04,1.01,0.45,1.3,-2.5,19244,107755.589,183331.1,26.8951584,42473.18,2,50,6.77,7.12,14.82,52.238,32.942,0.0,0.0,1.77,0.25845,15,23.0,20.6,12.8,0.025590945481543604,0.00926,0.026671291234368923,146.29261753476015,0.1233298577423788,0.12851538799581336,46.201548228596494,36.670224987326655,19.515917050131613,21.58432776239961,29.9406982514166,37.50508510256422,19.515917050131613,18.864108467201458,0.02023
107797.4476,183278.6469,28.4585888,42812.37,99.61229618804752,70.69626209693574,125.75478973096992,94.33861969049406,139.26706565804133,126.98369151618554,0.96,1.04,1.06,0.49,1.71,-2.57,22350,107797.402,183278.579,28.4706568,42812.37,3,50,7.37,21.549,37.307,28.79,33.903,0.0,0.0,1.248,0.47371,3,26.4,60.9,97.8,0.10748150836195498,0.06989,0.10440048116972918,972.6618563285871,0.15111635622067485,0.14691137089368703,52.81494219116411,121.12757850949988,112.85550995925706,131.20784335371258,151.3418090202389,163.49503411327112,112.85550995925706,104.69041635124991,0.14609
107763.959,183318.2535,27.3376096,42491.37,6.673884669962753,16.559856143445508,9.433811689304846,17.152473945645713,26.59331491925796,16.647116345150497,0.97,1.04,1.02,0.47,1.32,-2.9,19352,107763.816,183318.112,27.3446688,42491.37,4,50,6.79,6.41,14.739,45.399,39.861,0.0,0.0,1.742,0.23969,10,24.4,21.5,14.4,0.027794978418854376,0.01063,0.028126774221433195,159.39364886968377,0.12706275848619145,0.12862809215380297,46.24206560688189,27.936286950315896,7.180718130666444,8.050769527514875,18.97229245827771,30.57406979268065,7.180718130666444,6.557353425799114,0.01928
107723.0048,183309.1898,26.586,40592.63,69.97382165422823,68.5004804063475,65.23290287744285,80.28469659991156,43.08165872581043,70.83900423003733,1.0,0.97,1.02,0.25,1.31,-3.02,1556,107723.005,183309.182,26.586,40592.63,5,50,7.13,32.962,60.946,33.328,5.725,0.0,0.0,1.291,0.46804,7,25.4,51.0,67.1,0.08565845889528177,0.05172,0.08490957279997804,747.1379616508198,0.14580163216218175,0.14462368779874954,51.99251537916287,135.38228886490438,82.95676935787384,51.15212138394237,31.00203022331078,23.05956587296461,82.95676935787384,78.18046335530259,0.293785
107742.7404,183330.3354,26.664,41813.36,29.33152199190666,31.18590496207165,34.431857399493985,40.27986346924766,33.50269814677892,42.737737271500514,0.97,1.01,1.01,0.32,1.28,-3.06,14669,107742.651,183330.207,26.664,41906.95,6,50,6.99,14.162,26.589,43.811,29.6,0.0,0.0,1.379,0.45196,18,23.7,43.8,61.1,0.07472348859727368,0.04302,0.07673198153109081,662.1326258496704,0.15019796702969584,0.15425430498820983,55.45474221043147,60.203143872696025,37.34981687218578,31.779282934723028,31.74618290592665,33.45998771394262,37.34981687218578,36.01264666320112,0.088047
107805.4925,183273.6275,28.6522848,42915.67,95.20419103271898,60.08414500808889,127.00161586263498,83.09477135084583,153.1162171473488,121.58127579878004,0.96,1.03,1.06,0.37,1.8,-3.18,23383,107805.822,183273.987,28.65,42915.67,7,50,7.32,7.422,14.696,28.668,56.637,0.0,0.0,1.691,0.2201,12,27.5,18.1,15.9,0.026516602107744352,0.00984,0.02519767704760689,131.43982696699075,0.15044880628507432,0.14310099199919166,51.445103084667466,92.27530237932488,90.98446101013388,121.24348544510534,153.9366769688702,174.20899231182352,90.98446101013388,82.31155624672812,0.020093
107758.6659,183312.5732,27.35,42107.27,14.628410726682008,23.50672603512894,18.651054383386576,26.49391407202521,31.471006256132576,28.823507530468486,0.98,1.01,1.02,0.39,1.36,-2.79,15706,107758.685,183312.601,27.35,42107.27,8,50,6.33,7.612,16.873,46.152,36.975,0.0,0.0,1.876,0.15773,423,22.4,12.7,9.4,0.017251434507493765,0.00421,0.018212069121899658,68.01595803715372,0.15863388052867833,0.1673949569997102,60.17883383192909,41.71000700404749,17.915859670255738,16.983076078094662,25.112874724848773,33.90439077629018,17.915859670255738,17.513803075394755,0.011288
107776.6894,183310.7317,27.5510368,42797.16,45.23449716903448,30.82020460846088,63.02442461663161,44.253700353382655,81.38244535854287,67.5835930707781,0.95,1.05,1.0,0.5,1.44,-2.67,22198,107776.692,183310.756,27.5510368,42797.16,9,50,7.24,8.751,18.018,45.765,36.217,0.0,0.0,1.78,0.30722,4,23.9,16.3,15.6,0.0246960924542596,0.00871,0.025253484703451557,133.0618755127298,0.16062499157242016,0.16428321658094258,59.060156704819235,70.61996056353932,63.42947007914672,75.53972978625862,89.30225144238457,97.59291172042072,63.42947007914672,61.40533200752188,0.032866
107726.3815,183318.7508,26.563,40950.86,80.37026400040281,72.89213302944692,81.9970041775892,91.9956833560452,55.09249962779661,91.74669907664438,0.99,0.98,1.01,0.24,1.37,-3.35,5128,107726.371,183318.719,26.563,40950.86,10,50,7.19,33.2,64.061,30.681,5.259,0.0,0.0,1.24,0.48412,23,23.7,58.6,79.3,0.09917697407186195,0.06288,0.10184275233462854,967.8033359699507,0.14531424772433985,0.14923869297891912,53.65161930229598,145.63737036623337,98.92095406845446,70.8957877114589,49.372314107108174,37.20621557766563,98.92095406845446,96.82442126812755,0.341196
