,Extract,Samples loc.,Interface,Forward model,Min. method,Alpha,Remove coil,Start avg.,Constrain,Det. approach,R2,RMSE,MAE,STD,0R2,0RMSE,R2_INV
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,TRUE,TRUE,TRUE,LT,-15.703,0.203,0.179,0.201,0.814,0.079,0.965100941
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,TRUE,TRUE,TRUE,ID,-12.904,0.185,0.159,0.186,0.968,0.032,0.965100941
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,TRUE,TRUE,TRUE,LS,-15.482,0.202,0.178,0.198,0.825,0.078,0.965100941
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,TRUE,TRUE,FALSE,LT,-15.703,0.203,0.179,0.201,0.814,0.079,0.965100941
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,TRUE,TRUE,FALSE,ID,-12.904,0.185,0.159,0.186,0.968,0.032,0.965100941
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,TRUE,TRUE,FALSE,LS,-15.482,0.202,0.178,0.198,0.825,0.078,0.965100941
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,TRUE,FALSE,TRUE,LT,-15.243,0.202,0.173,0.192,0.796,0.082,0.965417434
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,TRUE,FALSE,TRUE,ID,-13.045,0.186,0.156,0.178,0.931,0.046,0.965417434
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,TRUE,FALSE,TRUE,LS,-15.131,0.202,0.171,0.19,0.796,0.082,0.965417434
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,TRUE,FALSE,FALSE,LT,-15.243,0.202,0.173,0.192,0.796,0.082,0.965417434
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,TRUE,FALSE,FALSE,ID,-13.045,0.186,0.156,0.178,0.931,0.046,0.965417434
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,TRUE,FALSE,FALSE,LS,-15.131,0.202,0.171,0.19,0.796,0.082,0.965417434
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,FALSE,TRUE,TRUE,LT,-14.99,0.2,0.176,0.2,0.845,0.072,0.965284757
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,FALSE,TRUE,TRUE,ID,-12.426,0.182,0.16,0.184,0.988,0.021,0.965284757
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,FALSE,TRUE,TRUE,LS,-14.541,0.2,0.171,0.199,0.852,0.071,0.965284757
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,FALSE,TRUE,FALSE,LT,-14.99,0.2,0.176,0.2,0.845,0.072,0.965284757
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,FALSE,TRUE,FALSE,ID,-12.426,0.182,0.16,0.184,0.988,0.021,0.965284757
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,FALSE,TRUE,FALSE,LS,-14.541,0.2,0.171,0.199,0.852,0.071,0.965284757
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,FALSE,FALSE,TRUE,LT,-14.591,0.198,0.171,0.192,0.833,0.076,0.966960367
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,FALSE,FALSE,TRUE,ID,-12.235,0.181,0.154,0.174,0.956,0.039,0.966960367
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,FALSE,FALSE,TRUE,LS,-14.667,0.198,0.17,0.191,0.832,0.077,0.966960367
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,FALSE,FALSE,FALSE,LT,-14.591,0.198,0.171,0.192,0.833,0.076,0.966960367
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,FALSE,FALSE,FALSE,ID,-12.235,0.181,0.154,0.174,0.956,0.039,0.966960367
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,FALSE,FALSE,FALSE,LS,-14.667,0.198,0.17,0.191,0.832,0.077,0.966960367
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,TRUE,TRUE,TRUE,LT,-17.384,0.216,0.186,0.174,0.601,0.112,0.92094059
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,TRUE,TRUE,TRUE,ID,-15.336,0.205,0.174,0.164,0.748,0.099,0.92094059
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,TRUE,TRUE,TRUE,LS,-17.104,0.214,0.184,0.171,0.612,0.112,0.92094059
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,TRUE,TRUE,FALSE,LT,-17.384,0.216,0.186,0.174,0.601,0.112,0.92094059
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,TRUE,TRUE,FALSE,ID,-15.336,0.205,0.174,0.164,0.748,0.099,0.92094059
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,TRUE,TRUE,FALSE,LS,-17.104,0.214,0.184,0.171,0.612,0.112,0.92094059
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,TRUE,FALSE,TRUE,LT,-17.518,0.216,0.189,0.159,0.546,0.122,0.917875152
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,TRUE,FALSE,TRUE,ID,-15.972,0.209,0.183,0.154,0.666,0.112,0.917875152
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,TRUE,FALSE,TRUE,LS,-17.55,0.216,0.188,0.157,0.536,0.122,0.917875152
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,TRUE,FALSE,FALSE,LT,-17.518,0.216,0.189,0.159,0.546,0.122,0.917875152
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,TRUE,FALSE,FALSE,ID,-15.972,0.209,0.183,0.154,0.666,0.112,0.917875152
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,TRUE,FALSE,FALSE,LS,-17.55,0.216,0.188,0.157,0.536,0.122,0.917875152
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,FALSE,TRUE,TRUE,LT,-16.402,0.21,0.178,0.187,0.704,0.098,0.928666328
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,FALSE,TRUE,TRUE,ID,-14.369,0.198,0.162,0.176,0.855,0.074,0.928666328
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,FALSE,TRUE,TRUE,LS,-16.391,0.208,0.176,0.185,0.712,0.097,0.928666328
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,FALSE,TRUE,FALSE,LT,-16.402,0.21,0.178,0.187,0.704,0.098,0.928666328
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,FALSE,TRUE,FALSE,ID,-14.369,0.198,0.162,0.176,0.855,0.074,0.928666328
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,FALSE,TRUE,FALSE,LS,-16.391,0.208,0.176,0.185,0.712,0.097,0.928666328
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,FALSE,FALSE,TRUE,LT,-16.03,0.204,0.174,0.172,0.661,0.106,0.927893132
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,FALSE,FALSE,TRUE,ID,-14.391,0.198,0.168,0.164,0.8,0.088,0.927893132
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,FALSE,FALSE,TRUE,LS,-16.014,0.203,0.173,0.171,0.661,0.106,0.927893132
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,FALSE,FALSE,FALSE,LT,-16.03,0.204,0.174,0.172,0.661,0.106,0.927893132
1,0.5,mean,observed,FSeq,Gauss-Newton,0.2,FALSE,FALSE,FALSE,ID,-14.391,0.198,0.168,0.164,0.8,0.088,0.927893132
2,0.5,mean,observed,FSeq,Gauss-Newton,0.2,FALSE,FALSE,FALSE,LS,-16.014,0.203,0.173,0.171,0.661,0.106,0.927893132
0,0.5,mean,observed,FSeq,ROPE,0.01,TRUE,TRUE,TRUE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.01,TRUE,TRUE,TRUE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.01,TRUE,TRUE,TRUE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.01,TRUE,TRUE,FALSE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.01,TRUE,TRUE,FALSE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.01,TRUE,TRUE,FALSE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.01,TRUE,FALSE,TRUE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.01,TRUE,FALSE,TRUE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.01,TRUE,FALSE,TRUE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.01,TRUE,FALSE,FALSE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.01,TRUE,FALSE,FALSE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.01,TRUE,FALSE,FALSE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.01,FALSE,TRUE,TRUE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.01,FALSE,TRUE,TRUE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.01,FALSE,TRUE,TRUE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.01,FALSE,TRUE,FALSE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.01,FALSE,TRUE,FALSE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.01,FALSE,TRUE,FALSE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.01,FALSE,FALSE,TRUE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.01,FALSE,FALSE,TRUE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.01,FALSE,FALSE,TRUE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.01,FALSE,FALSE,FALSE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.01,FALSE,FALSE,FALSE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.01,FALSE,FALSE,FALSE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.07,TRUE,TRUE,TRUE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.07,TRUE,TRUE,TRUE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.07,TRUE,TRUE,TRUE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.07,TRUE,TRUE,FALSE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.07,TRUE,TRUE,FALSE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.07,TRUE,TRUE,FALSE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.07,TRUE,FALSE,TRUE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.07,TRUE,FALSE,TRUE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.07,TRUE,FALSE,TRUE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.07,TRUE,FALSE,FALSE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.07,TRUE,FALSE,FALSE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.07,TRUE,FALSE,FALSE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.07,FALSE,TRUE,TRUE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.07,FALSE,TRUE,TRUE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.07,FALSE,TRUE,TRUE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.07,FALSE,TRUE,FALSE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.07,FALSE,TRUE,FALSE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.07,FALSE,TRUE,FALSE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.07,FALSE,FALSE,TRUE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.07,FALSE,FALSE,TRUE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.07,FALSE,FALSE,TRUE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.07,FALSE,FALSE,FALSE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.07,FALSE,FALSE,FALSE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.07,FALSE,FALSE,FALSE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.2,TRUE,TRUE,TRUE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.2,TRUE,TRUE,TRUE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.2,TRUE,TRUE,TRUE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.2,TRUE,TRUE,FALSE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.2,TRUE,TRUE,FALSE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.2,TRUE,TRUE,FALSE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.2,TRUE,FALSE,TRUE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.2,TRUE,FALSE,TRUE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.2,TRUE,FALSE,TRUE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.2,TRUE,FALSE,FALSE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.2,TRUE,FALSE,FALSE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.2,TRUE,FALSE,FALSE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.2,FALSE,TRUE,TRUE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.2,FALSE,TRUE,TRUE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.2,FALSE,TRUE,TRUE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.2,FALSE,TRUE,FALSE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.2,FALSE,TRUE,FALSE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.2,FALSE,TRUE,FALSE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.2,FALSE,FALSE,TRUE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.2,FALSE,FALSE,TRUE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.2,FALSE,FALSE,TRUE,LS,,,,,,,
0,0.5,mean,observed,FSeq,ROPE,0.2,FALSE,FALSE,FALSE,LT,,,,,,,
1,0.5,mean,observed,FSeq,ROPE,0.2,FALSE,FALSE,FALSE,ID,,,,,,,
2,0.5,mean,observed,FSeq,ROPE,0.2,FALSE,FALSE,FALSE,LS,,,,,,,
0,0.5,mean,observed,CS,Gauss-Newton,0.01,TRUE,TRUE,TRUE,LT,-21.538,0.245,0.223,0.214,-1.062,0.278,0.953375557
1,0.5,mean,observed,CS,Gauss-Newton,0.01,TRUE,TRUE,TRUE,ID,-22.332,0.247,0.218,0.224,-0.968,0.28,0.953375557
2,0.5,mean,observed,CS,Gauss-Newton,0.01,TRUE,TRUE,TRUE,LS,-21.755,0.247,0.223,0.219,-1.138,0.283,0.953375557
0,0.5,mean,observed,CS,Gauss-Newton,0.01,TRUE,TRUE,FALSE,LT,-21.538,0.245,0.223,0.214,-1.062,0.278,0.953375557
1,0.5,mean,observed,CS,Gauss-Newton,0.01,TRUE,TRUE,FALSE,ID,-22.332,0.247,0.218,0.224,-0.968,0.28,0.953375557
2,0.5,mean,observed,CS,Gauss-Newton,0.01,TRUE,TRUE,FALSE,LS,-21.755,0.247,0.223,0.219,-1.138,0.283,0.953375557
0,0.5,mean,observed,CS,Gauss-Newton,0.01,TRUE,FALSE,TRUE,LT,-21.538,0.245,0.223,0.214,-1.062,0.278,0.953375557
1,0.5,mean,observed,CS,Gauss-Newton,0.01,TRUE,FALSE,TRUE,ID,-22.332,0.247,0.218,0.224,-0.968,0.28,0.953375557
2,0.5,mean,observed,CS,Gauss-Newton,0.01,TRUE,FALSE,TRUE,LS,-21.755,0.247,0.223,0.219,-1.138,0.283,0.953375557
0,0.5,mean,observed,CS,Gauss-Newton,0.01,TRUE,FALSE,FALSE,LT,-21.538,0.245,0.223,0.214,-1.062,0.278,0.953375557
1,0.5,mean,observed,CS,Gauss-Newton,0.01,TRUE,FALSE,FALSE,ID,-22.332,0.247,0.218,0.224,-0.968,0.28,0.953375557
2,0.5,mean,observed,CS,Gauss-Newton,0.01,TRUE,FALSE,FALSE,LS,-21.755,0.247,0.223,0.219,-1.138,0.283,0.953375557
0,0.5,mean,observed,CS,Gauss-Newton,0.01,FALSE,TRUE,TRUE,LT,-21.997,0.247,0.222,0.204,-1.046,0.28,0.948076761
1,0.5,mean,observed,CS,Gauss-Newton,0.01,FALSE,TRUE,TRUE,ID,-22.162,0.246,0.217,0.21,-0.975,0.28,0.948076761
2,0.5,mean,observed,CS,Gauss-Newton,0.01,FALSE,TRUE,TRUE,LS,-21.96,0.248,0.222,0.206,-1.098,0.284,0.948076761
0,0.5,mean,observed,CS,Gauss-Newton,0.01,FALSE,TRUE,FALSE,LT,-21.997,0.247,0.222,0.204,-1.046,0.28,0.948076761
1,0.5,mean,observed,CS,Gauss-Newton,0.01,FALSE,TRUE,FALSE,ID,-22.162,0.246,0.217,0.21,-0.975,0.28,0.948076761
2,0.5,mean,observed,CS,Gauss-Newton,0.01,FALSE,TRUE,FALSE,LS,-21.96,0.248,0.222,0.206,-1.098,0.284,0.948076761
0,0.5,mean,observed,CS,Gauss-Newton,0.01,FALSE,FALSE,TRUE,LT,-21.997,0.247,0.222,0.204,-1.046,0.28,0.948076761
1,0.5,mean,observed,CS,Gauss-Newton,0.01,FALSE,FALSE,TRUE,ID,-22.162,0.246,0.217,0.21,-0.975,0.28,0.948076761
2,0.5,mean,observed,CS,Gauss-Newton,0.01,FALSE,FALSE,TRUE,LS,-21.96,0.248,0.222,0.206,-1.098,0.284,0.948076761
0,0.5,mean,observed,CS,Gauss-Newton,0.01,FALSE,FALSE,FALSE,LT,-21.997,0.247,0.222,0.204,-1.046,0.28,0.948076761
1,0.5,mean,observed,CS,Gauss-Newton,0.01,FALSE,FALSE,FALSE,ID,-22.162,0.246,0.217,0.21,-0.975,0.28,0.948076761
2,0.5,mean,observed,CS,Gauss-Newton,0.01,FALSE,FALSE,FALSE,LS,-21.96,0.248,0.222,0.206,-1.098,0.284,0.948076761
0,0.5,mean,observed,CS,Gauss-Newton,0.07,TRUE,TRUE,TRUE,LT,-16.758,0.21,0.184,0.138,0.334,0.158,0.915401879
1,0.5,mean,observed,CS,Gauss-Newton,0.07,TRUE,TRUE,TRUE,ID,-14.364,0.198,0.176,0.129,0.392,0.15,0.915401879
2,0.5,mean,observed,CS,Gauss-Newton,0.07,TRUE,TRUE,TRUE,LS,-16.711,0.21,0.184,0.138,0.314,0.164,0.915401879
0,0.5,mean,observed,CS,Gauss-Newton,0.07,TRUE,TRUE,FALSE,LT,-16.758,0.21,0.184,0.138,0.334,0.158,0.915401879
1,0.5,mean,observed,CS,Gauss-Newton,0.07,TRUE,TRUE,FALSE,ID,-14.364,0.198,0.176,0.129,0.392,0.15,0.915401879
2,0.5,mean,observed,CS,Gauss-Newton,0.07,TRUE,TRUE,FALSE,LS,-16.711,0.21,0.184,0.138,0.314,0.164,0.915401879
0,0.5,mean,observed,CS,Gauss-Newton,0.07,TRUE,FALSE,TRUE,LT,-16.758,0.21,0.184,0.138,0.334,0.158,0.915401879
1,0.5,mean,observed,CS,Gauss-Newton,0.07,TRUE,FALSE,TRUE,ID,-14.364,0.198,0.176,0.129,0.392,0.15,0.915401879
2,0.5,mean,observed,CS,Gauss-Newton,0.07,TRUE,FALSE,TRUE,LS,-16.711,0.21,0.184,0.138,0.314,0.164,0.915401879
0,0.5,mean,observed,CS,Gauss-Newton,0.07,TRUE,FALSE,FALSE,LT,-16.758,0.21,0.184,0.138,0.334,0.158,0.915401879
1,0.5,mean,observed,CS,Gauss-Newton,0.07,TRUE,FALSE,FALSE,ID,-14.364,0.198,0.176,0.129,0.392,0.15,0.915401879
2,0.5,mean,observed,CS,Gauss-Newton,0.07,TRUE,FALSE,FALSE,LS,-16.711,0.21,0.184,0.138,0.314,0.164,0.915401879
0,0.5,mean,observed,CS,Gauss-Newton,0.07,FALSE,TRUE,TRUE,LT,-17.556,0.215,0.188,0.14,0.258,0.17,0.912977523
1,0.5,mean,observed,CS,Gauss-Newton,0.07,FALSE,TRUE,TRUE,ID,-15.328,0.203,0.181,0.13,0.29,0.164,0.912977523
2,0.5,mean,observed,CS,Gauss-Newton,0.07,FALSE,TRUE,TRUE,LS,-17.586,0.214,0.188,0.14,0.217,0.175,0.912977523
0,0.5,mean,observed,CS,Gauss-Newton,0.07,FALSE,TRUE,FALSE,LT,-17.556,0.215,0.188,0.14,0.258,0.17,0.912977523
1,0.5,mean,observed,CS,Gauss-Newton,0.07,FALSE,TRUE,FALSE,ID,-15.328,0.203,0.181,0.13,0.29,0.164,0.912977523
2,0.5,mean,observed,CS,Gauss-Newton,0.07,FALSE,TRUE,FALSE,LS,-17.586,0.214,0.188,0.14,0.217,0.175,0.912977523
0,0.5,mean,observed,CS,Gauss-Newton,0.07,FALSE,FALSE,TRUE,LT,-17.556,0.215,0.188,0.14,0.258,0.17,0.912977523
1,0.5,mean,observed,CS,Gauss-Newton,0.07,FALSE,FALSE,TRUE,ID,-15.328,0.203,0.181,0.13,0.29,0.164,0.912977523
2,0.5,mean,observed,CS,Gauss-Newton,0.07,FALSE,FALSE,TRUE,LS,-17.586,0.214,0.188,0.14,0.217,0.175,0.912977523
0,0.5,mean,observed,CS,Gauss-Newton,0.07,FALSE,FALSE,FALSE,LT,-17.556,0.215,0.188,0.14,0.258,0.17,0.912977523
1,0.5,mean,observed,CS,Gauss-Newton,0.07,FALSE,FALSE,FALSE,ID,-15.328,0.203,0.181,0.13,0.29,0.164,0.912977523
2,0.5,mean,observed,CS,Gauss-Newton,0.07,FALSE,FALSE,FALSE,LS,-17.586,0.214,0.188,0.14,0.217,0.175,0.912977523
0,0.5,mean,observed,CS,Gauss-Newton,0.2,TRUE,TRUE,TRUE,LT,-18.381,0.216,0.194,0.127,0.306,0.155,0.848694102
1,0.5,mean,observed,CS,Gauss-Newton,0.2,TRUE,TRUE,TRUE,ID,-16.894,0.212,0.188,0.118,0.396,0.151,0.848694102
2,0.5,mean,observed,CS,Gauss-Newton,0.2,TRUE,TRUE,TRUE,LS,-18.666,0.218,0.194,0.128,0.277,0.159,0.848694102
0,0.5,mean,observed,CS,Gauss-Newton,0.2,TRUE,TRUE,FALSE,LT,-18.381,0.216,0.194,0.127,0.306,0.155,0.848694102
1,0.5,mean,observed,CS,Gauss-Newton,0.2,TRUE,TRUE,FALSE,ID,-16.894,0.212,0.188,0.118,0.396,0.151,0.848694102
2,0.5,mean,observed,CS,Gauss-Newton,0.2,TRUE,TRUE,FALSE,LS,-18.666,0.218,0.194,0.128,0.277,0.159,0.848694102
0,0.5,mean,observed,CS,Gauss-Newton,0.2,TRUE,FALSE,TRUE,LT,-18.381,0.216,0.194,0.127,0.306,0.155,0.848694102
1,0.5,mean,observed,CS,Gauss-Newton,0.2,TRUE,FALSE,TRUE,ID,-16.894,0.212,0.188,0.118,0.396,0.151,0.848694102
2,0.5,mean,observed,CS,Gauss-Newton,0.2,TRUE,FALSE,TRUE,LS,-18.666,0.218,0.194,0.128,0.277,0.159,0.848694102
