,cl,percent,Samples location,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
2,0.2,10,mean,FSeq,Gauss-Newton,0.2,True,False,True,LS,-7.662,0.254,-1.668,0.312
0,0.2,10,mean,FSeq,Gauss-Newton,0.2,True,False,False,LT,-7.94,0.26,-1.637,0.31
1,0.2,10,mean,FSeq,Gauss-Newton,0.2,True,False,False,ID,-9.68,0.286,-1.912,0.336
2,0.2,10,mean,FSeq,Gauss-Newton,0.2,True,False,False,LS,-7.662,0.254,-1.668,0.312
0,0.2,10,mean,FSeq,Gauss-Newton,0.2,False,True,True,LT,-6.722,0.243,-1.57,0.3
1,0.2,10,mean,FSeq,Gauss-Newton,0.2,False,True,True,ID,-8.993,0.274,-1.949,0.328
2,0.2,10,mean,FSeq,Gauss-Newton,0.2,False,True,True,LS,-6.674,0.239,-1.604,0.302
0,0.2,10,mean,FSeq,Gauss-Newton,0.2,False,True,False,LT,-6.722,0.243,-1.57,0.3
1,0.2,10,mean,FSeq,Gauss-Newton,0.2,False,True,False,ID,-8.993,0.274,-1.949,0.328
2,0.2,10,mean,FSeq,Gauss-Newton,0.2,False,True,False,LS,-6.674,0.239,-1.604,0.302
0,0.2,10,mean,FSeq,Gauss-Newton,0.2,False,False,True,LT,-6.722,0.243,-1.57,0.3
1,0.2,10,mean,FSeq,Gauss-Newton,0.2,False,False,True,ID,-8.993,0.274,-1.949,0.328
2,0.2,10,mean,FSeq,Gauss-Newton,0.2,False,False,True,LS,-6.674,0.239,-1.604,0.302
0,0.2,10,mean,FSeq,Gauss-Newton,0.2,False,False,False,LT,-6.722,0.243,-1.57,0.3
1,0.2,10,mean,FSeq,Gauss-Newton,0.2,False,False,False,ID,-8.993,0.274,-1.949,0.328
2,0.2,10,mean,FSeq,Gauss-Newton,0.2,False,False,False,LS,-6.674,0.239,-1.604,0.302
0,0.2,10,mean,FSeq,ROPE,0.01,True,True,True,LT,-3.079,0.182,-0.813,0.258
1,0.2,10,mean,FSeq,ROPE,0.01,True,True,True,ID,-5.24,0.221,-1.08,0.279
2,0.2,10,mean,FSeq,ROPE,0.01,True,True,True,LS,-2.184,0.16,-0.688,0.253
0,0.2,10,mean,FSeq,ROPE,0.01,True,True,False,LT,-4.738,0.212,-1.42,0.289
1,0.2,10,mean,FSeq,ROPE,0.01,True,True,False,ID,-8.172,0.262,-1.991,0.324
2,0.2,10,mean,FSeq,ROPE,0.01,True,True,False,LS,-6.023,0.232,-1.732,0.307
0,0.2,10,mean,FSeq,ROPE,0.01,True,False,True,LT,-2.894,0.174,-0.845,0.261
1,0.2,10,mean,FSeq,ROPE,0.01,True,False,True,ID,-4.989,0.214,-1.15,0.279
2,0.2,10,mean,FSeq,ROPE,0.01,True,False,True,LS,-2.214,0.159,-0.769,0.252
0,0.2,10,mean,FSeq,ROPE,0.01,True,False,False,LT,-4.883,0.215,-1.554,0.29
1,0.2,10,mean,FSeq,ROPE,0.01,True,False,False,ID,-8.398,0.266,-1.854,0.33
2,0.2,10,mean,FSeq,ROPE,0.01,True,False,False,LS,-6.335,0.237,-1.825,0.31
0,0.2,10,mean,FSeq,ROPE,0.01,False,True,True,LT,-2.53,0.172,-0.554,0.238
1,0.2,10,mean,FSeq,ROPE,0.01,False,True,True,ID,-5.345,0.22,-0.863,0.27
2,0.2,10,mean,FSeq,ROPE,0.01,False,True,True,LS,-2.106,0.156,-0.534,0.238
0,0.2,10,mean,FSeq,ROPE,0.01,False,True,False,LT,-4.516,0.208,-1.408,0.29
1,0.2,10,mean,FSeq,ROPE,0.01,False,True,False,ID,-7.898,0.258,-1.914,0.319
2,0.2,10,mean,FSeq,ROPE,0.01,False,True,False,LS,-6.393,0.233,-1.796,0.311
0,0.2,10,mean,FSeq,ROPE,0.01,False,False,True,LT,-2.045,0.149,-0.486,0.238
1,0.2,10,mean,FSeq,ROPE,0.01,False,False,True,ID,-4.152,0.194,-0.791,0.256
2,0.2,10,mean,FSeq,ROPE,0.01,False,False,True,LS,-1.343,0.132,-0.432,0.234
0,0.2,10,mean,FSeq,ROPE,0.01,False,False,False,LT,-5.174,0.212,-1.492,0.29
1,0.2,10,mean,FSeq,ROPE,0.01,False,False,False,ID,-8.471,0.265,-2.011,0.326
2,0.2,10,mean,FSeq,ROPE,0.01,False,False,False,LS,-6.748,0.24,-1.748,0.312
0,0.2,10,mean,FSeq,ROPE,0.07,True,True,True,LT,-3.738,0.192,-0.726,0.254
1,0.2,10,mean,FSeq,ROPE,0.07,True,True,True,ID,-5.802,0.229,-0.979,0.272
2,0.2,10,mean,FSeq,ROPE,0.07,True,True,True,LS,-2.621,0.164,-0.59,0.242
0,0.2,10,mean,FSeq,ROPE,0.07,True,True,False,LT,-4.442,0.202,-1.482,0.29
1,0.2,10,mean,FSeq,ROPE,0.07,True,True,False,ID,-7.475,0.255,-1.801,0.314
2,0.2,10,mean,FSeq,ROPE,0.07,True,True,False,LS,-5.826,0.228,-1.789,0.31
0,0.2,10,mean,FSeq,ROPE,0.07,True,False,True,LT,-3.104,0.174,-1.032,0.276
1,0.2,10,mean,FSeq,ROPE,0.07,True,False,True,ID,-5.028,0.212,-1.276,0.29
2,0.2,10,mean,FSeq,ROPE,0.07,True,False,True,LS,-2.226,0.156,-0.91,0.26
0,0.2,10,mean,FSeq,ROPE,0.07,True,False,False,LT,-4.303,0.199,-1.176,0.273
1,0.2,10,mean,FSeq,ROPE,0.07,True,False,False,ID,-7.548,0.256,-1.592,0.311
2,0.2,10,mean,FSeq,ROPE,0.07,True,False,False,LS,-5.569,0.224,-1.427,0.29
0,0.2,10,mean,FSeq,ROPE,0.07,False,True,True,LT,-2.866,0.175,-0.814,0.26
1,0.2,10,mean,FSeq,ROPE,0.07,False,True,True,ID,-4.932,0.216,-1.07,0.279
2,0.2,10,mean,FSeq,ROPE,0.07,False,True,True,LS,-2.025,0.154,-0.722,0.252
0,0.2,10,mean,FSeq,ROPE,0.07,False,True,False,LT,-4.331,0.204,-1.386,0.276
1,0.2,10,mean,FSeq,ROPE,0.07,False,True,False,ID,-7.43,0.254,-1.754,0.314
2,0.2,10,mean,FSeq,ROPE,0.07,False,True,False,LS,-5.764,0.224,-1.723,0.303
0,0.2,10,mean,FSeq,ROPE,0.07,False,False,True,LT,-3.048,0.174,-0.71,0.248
1,0.2,10,mean,FSeq,ROPE,0.07,False,False,True,ID,-5.378,0.224,-1.015,0.272
2,0.2,10,mean,FSeq,ROPE,0.07,False,False,True,LS,-2.367,0.158,-0.606,0.243
0,0.2,10,mean,FSeq,ROPE,0.07,False,False,False,LT,-4.057,0.196,-1.216,0.28
1,0.2,10,mean,FSeq,ROPE,0.07,False,False,False,ID,-7.494,0.252,-1.762,0.32
2,0.2,10,mean,FSeq,ROPE,0.07,False,False,False,LS,-5.79,0.224,-1.648,0.298
0,0.2,10,mean,FSeq,ROPE,0.2,True,True,True,LT,-2.644,0.17,-0.597,0.245
1,0.2,10,mean,FSeq,ROPE,0.2,True,True,True,ID,-5.556,0.228,-1.018,0.274
2,0.2,10,mean,FSeq,ROPE,0.2,True,True,True,LS,-2.011,0.152,-0.56,0.236
0,0.2,10,mean,FSeq,ROPE,0.2,True,True,False,LT,-4.043,0.201,-1.333,0.284
1,0.2,10,mean,FSeq,ROPE,0.2,True,True,False,ID,-7.318,0.256,-1.882,0.319
2,0.2,10,mean,FSeq,ROPE,0.2,True,True,False,LS,-5.56,0.225,-1.656,0.304
0,0.2,10,mean,FSeq,ROPE,0.2,True,False,True,LT,-2.292,0.157,-0.544,0.236
1,0.2,10,mean,FSeq,ROPE,0.2,True,False,True,ID,-5.012,0.215,-0.968,0.266
2,0.2,10,mean,FSeq,ROPE,0.2,True,False,True,LS,-1.718,0.139,-0.529,0.235
0,0.2,10,mean,FSeq,ROPE,0.2,True,False,False,LT,-4.516,0.208,-1.354,0.278
1,0.2,10,mean,FSeq,ROPE,0.2,True,False,False,ID,-8.04,0.26,-1.774,0.322
2,0.2,10,mean,FSeq,ROPE,0.2,True,False,False,LS,-5.944,0.234,-1.583,0.3
0,0.2,10,mean,FSeq,ROPE,0.2,False,True,True,LT,-2.415,0.16,-0.718,0.257
1,0.2,10,mean,FSeq,ROPE,0.2,False,True,True,ID,-4.45,0.202,-1.092,0.272
2,0.2,10,mean,FSeq,ROPE,0.2,False,True,True,LS,-1.767,0.143,-0.691,0.251
0,0.2,10,mean,FSeq,ROPE,0.2,False,True,False,LT,-3.746,0.192,-1.257,0.276
1,0.2,10,mean,FSeq,ROPE,0.2,False,True,False,ID,-6.972,0.244,-1.729,0.312
2,0.2,10,mean,FSeq,ROPE,0.2,False,True,False,LS,-5.107,0.212,-1.52,0.296
0,0.2,10,mean,FSeq,ROPE,0.2,False,False,True,LT,-2.455,0.16,-0.548,0.24
1,0.2,10,mean,FSeq,ROPE,0.2,False,False,True,ID,-5.641,0.23,-1.038,0.274
2,0.2,10,mean,FSeq,ROPE,0.2,False,False,True,LS,-1.99,0.152,-0.514,0.236
0,0.2,10,mean,FSeq,ROPE,0.2,False,False,False,LT,-4.607,0.202,-1.292,0.277
1,0.2,10,mean,FSeq,ROPE,0.2,False,False,False,ID,-7.721,0.258,-1.735,0.317
2,0.2,10,mean,FSeq,ROPE,0.2,False,False,False,LS,-5.698,0.225,-1.558,0.298
0,0.2,10,mean,CS,Gauss-Newton,0.01,True,True,True,LT,-7.496,0.253,-1.778,0.312
1,0.2,10,mean,CS,Gauss-Newton,0.01,True,True,True,ID,-9.451,0.284,-2.188,0.336
2,0.2,10,mean,CS,Gauss-Newton,0.01,True,True,True,LS,-7.678,0.254,-1.813,0.314
0,0.2,10,mean,CS,Gauss-Newton,0.01,True,True,False,LT,-7.496,0.253,-1.778,0.312
1,0.2,10,mean,CS,Gauss-Newton,0.01,True,True,False,ID,-9.451,0.284,-2.188,0.336
2,0.2,10,mean,CS,Gauss-Newton,0.01,True,True,False,LS,-7.678,0.254,-1.813,0.314
0,0.2,10,mean,CS,Gauss-Newton,0.01,True,False,True,LT,-7.496,0.253,-1.778,0.312
