    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    6   13         9   10        1.77442           15.49194       15.95890         0.59751E+02    0.59751E+02    0
    8   11         9   10       -2.94584           26.70645       25.69192         0.10256E+03    0.76064E+02    1
   33   38         8   63       -0.15118            1.80155        1.76628         0.76460E+01    0.76460E+01    0
   57   58        52   63       -0.75337            3.45814        3.37440         0.34177E+02    0.30732E+02    1
   31   89        57   63       -0.51726            1.50259        1.39405         0.68984E+01    0.68984E+01    0
   29   91        57   63       -0.04290            1.38378        1.37313         0.55521E+01    0.55521E+01    0
   27   93        57   63       -0.16527            1.42757        1.38160         0.50490E+01    0.50490E+01    0
   43   79        59   63        0.23273            1.36505        1.39461         0.10863E+02    0.10863E+02    0
   41   81        59   63       -0.02501            1.37759        1.37371         0.88586E+01    0.88586E+01    0
   39   83        59   63       -0.11072            1.37219        1.35148         0.72797E+01    0.72797E+01    0
   55   69        61   63       -0.83035            2.10589        2.04534         0.32087E+02    0.28460E+02    1
   53   71        61   63       -0.76685            1.72490        1.66730         0.27226E+02    0.22577E+02    1
   51   73        61   63       -0.62711            1.48683        1.42889         0.15776E+02    0.15776E+02    0
   59   60        56   63       -2.20647            5.02696        4.79183         0.46059E+02    0.46059E+02    0
   37   84        58   63        0.01540            1.40183        1.40448         0.81725E+01    0.81725E+01    0
   35   86        58   63       -0.24134            1.41159        1.36360         0.69771E+01    0.69771E+01    0
   33   88        58   63       -0.31745            1.43110        1.35822         0.60738E+01    0.60738E+01    0
   49   74        60   63       -0.20456            1.56634        1.54939         0.19425E+02    0.18795E+02    1
   47   76        60   63       -0.40942            1.51680        1.47286         0.13927E+02    0.13927E+02    0
   61   64        62   63       -1.25905           15.34409       15.12025         0.90223E+02    0.85677E+02    1
   57   68        62   63        2.48955            2.53235        2.73857         0.31801E+02    0.31801E+02    0
   16   18         8   26       -0.55308            4.20535        4.13640         0.33457E+02    0.33457E+02    0
    6   42        22   26        0.34432            1.89574        1.93951         0.15086E+02    0.15086E+02    0
    2   46        22   26        0.16277            1.62545        1.65642         0.86233E+01    0.86233E+01    0
    4   44        22   26        0.41039            1.76863        1.83362         0.11373E+02    0.11373E+02    0
   16   34        24   26       -0.49489            3.33362        3.26947         0.31707E+02    0.25472E+02    1
   18   32        24   26       -0.39213            4.09419        4.04296         0.37419E+02    0.31142E+02    1
   14   36        24   26       -1.05221            2.94227        2.80416         0.28048E+02    0.21886E+02    1
   12   37        23   26       -1.21246            2.48530        2.35850         0.27965E+02    0.23153E+02    1
    8   41        23   26       -0.05933            2.14059        2.13222         0.15142E+02    0.15142E+02    0
   10   39        23   26       -0.58300            2.34198        2.27934         0.21504E+02    0.21504E+02    0
   24   27        25   26       -1.60829           14.65813       14.35976         0.89274E+02    0.78204E+02    1
   20   31        25   26       -1.97590            5.96378        5.49320         0.38767E+02    0.24040E+02    1
    9   12        10   11       -0.50476           18.81075       18.71062         0.94575E+02    0.94575E+02    0
    5   16        10   11       -0.44392            7.89465        7.81038         0.41365E+02    0.41365E+02    0
    1   19         9   11       -0.23449            5.71390        5.67672         0.35915E+02    0.35915E+02    0
    3   17         9   11        0.34695            8.01376        8.07763         0.43706E+02    0.43706E+02    0
    2   20        10   12       -0.47940            4.94903        4.88121         0.34741E+02    0.34741E+02    0
    4   18        10   12        0.76903            7.05171        7.18067         0.42432E+02    0.42432E+02    0
   10   13        11   12        0.07373           20.11923       20.13467         0.96057E+02    0.96057E+02    0
    6   17        11   12        1.13046            8.59004        8.82337         0.42180E+02    0.42180E+02    0
   37   38        32   43        0.07965            3.04459        3.05191         0.33185E+02    0.33185E+02    0
   11   69        37   43        0.29446            1.62385        1.68927         0.74551E+01    0.74551E+01    0
    9   71        37   43        0.32344            1.59988        1.68256         0.64192E+01    0.64192E+01    0
    7   73        37   43        0.20440            1.57150        1.63037         0.55580E+01    0.55580E+01    0
   23   59        39   43       -0.13612            1.71909        1.70207         0.13680E+02    0.13680E+02    0
   19   63        39   43       -0.30539            1.75884        1.70221         0.93309E+01    0.93309E+01    0
   21   61        39   43       -0.20228            1.70442        1.67325         0.10960E+02    0.10960E+02    0
   35   49        41   43        0.93454            2.55414        2.62629         0.33552E+02    0.33552E+02    0
   31   53        41   43       -0.05814            2.04278        2.03695         0.21675E+02    0.20334E+02    1
   33   51        41   43       -0.22326            2.21690        2.19814         0.28853E+02    0.26262E+02    1
   17   64        38   43       -0.32450            1.81228        1.75747         0.10565E+02    0.10565E+02    0
   13   68        38   43        0.33661            1.69045        1.77165         0.71745E+01    0.71745E+01    0
   15   66        38   43        0.36767            1.67755        1.75362         0.82916E+01    0.82916E+01    0
   27   56        40   43       -0.52915            1.80287        1.74599         0.16554E+02    0.16505E+02    1
   29   54        40   43       -0.16476            1.82885        1.81384         0.22681E+02    0.19984E+02    1
   25   58        40   43       -8.42373            3.65884        1.67666         0.25881E+02    0.10795E+02    1
   37   48        42   43        0.40618            3.28554        3.32530         0.33775E+02    0.33775E+02    0
   41   44        42   43       -0.56957           15.19037       15.09456         0.90013E+02    0.90013E+02    0
   16   19        17   18        1.76816           16.19611       16.54005         0.91358E+02    0.84145E+02    1
   12   23        17   18       -0.78100            5.70848        5.59348         0.38377E+02    0.38377E+02    0
   14   21        17   18       -0.39610            9.71721        9.64572         0.53642E+02    0.53642E+02    0
   10   24        16   18       -1.04195            5.59861        5.45546         0.40228E+02    0.40228E+02    0
    6   28        16   18       -0.13416            3.29000        3.27470         0.28782E+02    0.28782E+02    0
   28   33         7   54        0.56015            1.62652        1.72550         0.94824E+01    0.94824E+01    0
   22   80        48   54       -0.45370            1.55829        1.46254         0.71541E+01    0.71541E+01    0
   20   82        48   54       -0.15883            1.51917        1.48009         0.60954E+01    0.60954E+01    0
   18   84        48   54       -0.20280            1.54464        1.48835         0.54631E+01    0.54631E+01    0
   34   70        50   54       -0.29734            1.73082        1.69386         0.13773E+02    0.13773E+02    0
   32   72        50   54       -0.37157            1.67077        1.61397         0.10744E+02    0.10744E+02    0
   30   74        50   54       -0.30260            1.64651        1.59045         0.87350E+01    0.87350E+01    0
   46   60        52   54       -0.80073            3.00460        2.91862         0.34836E+02    0.27580E+02    1
   42   64        52   54       -0.45902            2.20188        2.14727         0.23363E+02    0.18277E+02    1
   44   62        52   54       -0.11601            2.34423        2.33270         0.29228E+02    0.23532E+02    1
   28   75        49   54       -0.41250            1.57842        1.50923         0.92019E+01    0.92019E+01    0
   26   77        49   54       -0.26976            1.57636        1.52271         0.77915E+01    0.77915E+01    0
   24   79        49   54       -0.21541            1.55043        1.50050         0.65802E+01    0.65802E+01    0
   38   67        51   54       -0.23800            1.97284        1.94425         0.18115E+02    0.16307E+02    1
   52   53        51   54       -0.28259           12.75965       12.71689         0.86456E+02    0.84191E+02    1
   40   65        51   54       -0.31280            2.13847        2.10431         0.26521E+02    0.19427E+02    1
   36   69        51   54       -0.11182            1.87978        1.86404         0.13297E+02    0.13297E+02    0
   48   59        53   54        1.42043            4.54460        4.72542         0.36406E+02    0.36406E+02    0
   52   55        53   54       -3.27619           29.19774       27.41398         0.10470E+03    0.51971E+02    1
   20   23         9   34       -0.78493            2.45157        2.38351         0.27877E+02    0.27877E+02    0
    2   60        28   34        0.46582            1.45638        1.56146         0.66862E+01    0.66862E+01    0
   12   52        30   34       -0.01875            1.71724        1.71433         0.11043E+02    0.11043E+02    0
   14   50        30   34       -0.10953            1.76165        1.74794         0.14019E+02    0.14019E+02    0
   10   54        30   34        0.10549            1.66918        1.68918         0.88553E+01    0.88553E+01    0
   24   42        32   34       -0.99045            2.57343        2.46542         0.29865E+02    0.23100E+02    1
   26   40        32   34       -1.04312            3.37098        3.25667         0.35775E+02    0.30239E+02    1
   22   44        32   34       -1.04335            2.29059        2.16937         0.24304E+02    0.19189E+02    1
    4   59        29   34        0.19256            1.55654        1.60258         0.66061E+01    0.66061E+01    0
    6   57        29   34        0.19238            1.61461        1.65400         0.79805E+01    0.79805E+01    0
    8   55        29   34        0.07961            1.73796        1.75167         0.10132E+02    0.10132E+02    0
   20   45        31   34       -2.06884            2.13004        1.90698         0.26416E+02    0.18702E+02    1
   16   49        31   34       -0.16250            1.74707        1.72424         0.12358E+02    0.12358E+02    0
   18   47        31   34       -0.35450            1.79845        1.76025         0.16513E+02    0.16513E+02    0
   32   33        31   34       -4.40679           18.01900       16.60522         0.93639E+02    0.53933E+02    1
   30   37        33   34       -0.40368            8.29387        8.22937         0.51713E+02    0.51713E+02    0
   32   35        33   34       -0.58288           18.66153       18.51651         0.94401E+02    0.74713E+02    1
   28   39        33   34        0.72638            4.19850        4.28469         0.35745E+02    0.35745E+02    0
   49   53        31   71       -0.04572            1.46087        1.45378         0.93941E+01    0.93941E+01    0
   39   97        65   71       -0.11833            1.57282        1.54726         0.72208E+01    0.72208E+01    0
   37   99        65   71       -0.12733            1.59012        1.55870         0.63801E+01    0.63801E+01    0
   35  101        65   71       -0.11368            1.57355        1.54174         0.55653E+01    0.55653E+01    0
   67   68        64   71       -0.29025            6.06408        6.02760         0.48101E+02    0.48101E+02    0
   43   94        66   71        0.05916            1.47999        1.49201         0.73152E+01    0.73152E+01    0
   41   96        66   71       -0.00557            1.48921        1.48790         0.63204E+01    0.63204E+01    0
   51   87        67   71       -0.54487            1.55755        1.49056         0.12395E+02    0.12395E+02    0
   49   89        67   71       -0.16777            1.53199        1.50612         0.98515E+01    0.98515E+01    0
   47   91        67   71       -0.01247            1.48606        1.48371         0.78838E+01    0.78838E+01    0
   57   82        68   71       -0.37675            1.62310        1.58893         0.20129E+02    0.17709E+02    1
   55   84        68   71       -0.30077            1.55923        1.52681         0.14317E+02    0.14317E+02    0
   53   86        68   71       -0.31409            1.52269        1.47893         0.10771E+02    0.10771E+02    0
   63   77        69   71       -0.19068            2.12238        2.10983         0.32145E+02    0.32145E+02    0
   61   79        69   71       -0.37545            1.85900        1.82802         0.27702E+02    0.22338E+02    1
   59   81        69   71       -0.40735            1.69447        1.65403         0.17979E+02    0.16864E+02    1
   69   72        70   71       -1.59790           15.36381       15.01128         0.90250E+02    0.68837E+02    1
   65   76        70   71        2.22146            2.58551        2.77165         0.31954E+02    0.31954E+02    0
   12   15        13   14        0.36722           17.96479       18.03543         0.93574E+02    0.93574E+02    0
    8   19        13   14        0.65565            7.33603        7.45526         0.40669E+02    0.40669E+02    0
    6   20        12   14        0.94478            7.08311        7.24242         0.42476E+02    0.42476E+02    0
    2   24        12   14       -0.79896            4.65222        4.53453         0.31183E+02    0.31183E+02    0
    4   22        12   14       -0.07787            5.87196        5.85932         0.36142E+02    0.36142E+02    0
   29   33        11   51       -0.10266            1.80621        1.79031         0.11615E+02    0.11615E+02    0
   25   72        46   51       -0.30594            1.38396        1.33246         0.80683E+01    0.80683E+01    0
   23   74        46   51       -0.30022            1.37498        1.31556         0.67961E+01    0.67961E+01    0
   21   76        46   51       -0.28536            1.37496        1.30934         0.58355E+01    0.58355E+01    0
   35   64        48   51       -0.46938            1.51060        1.46033         0.13870E+02    0.13870E+02    0
   37   62        48   51       -0.52611            1.64552        1.59690         0.20407E+02    0.17541E+02    1
   33   66        48   51       -0.31111            1.44188        1.39856         0.10199E+02    0.10199E+02    0
   49   52        50   51       -1.08014           14.99391       14.78960         0.89743E+02    0.78728E+02    1
   47   54        50   51       -0.16088            5.19481        5.17684         0.46410E+02    0.46410E+02    0
   19   77        45   51        1.41653            0.96926        1.33257         0.44499E+01    0.44499E+01    0
   17   79        45   51        1.11041            1.01912        1.33709         0.40890E+01    0.40890E+01    0
   15   81        45   51        1.49072            0.78074        1.33956         0.27613E+01    0.27613E+01    0
   31   67        47   51       -0.34305            1.51536        1.47286         0.12059E+02    0.12059E+02    0
   29   69        47   51       -0.29225            1.45619        1.41144         0.93640E+01    0.93640E+01    0
   27   71        47   51       -0.34126            1.46520        1.40227         0.77731E+01    0.77731E+01    0
   41   59        49   51       -0.43756            1.89064        1.85498         0.27810E+02    0.22982E+02    1
   43   57        49   51        0.28385            2.34441        2.36473         0.32893E+02    0.32893E+02    0
   39   61        49   51       -0.27442            1.65593        1.63027         0.17570E+02    0.17570E+02    0
    5   23        13   15       -0.43974            4.22128        4.16621         0.33486E+02    0.33486E+02    0
    7   21        13   15        0.72632            5.60780        5.70993         0.40243E+02    0.40243E+02    0
    3   25        13   15       -0.29130            3.63017        3.59443         0.29444E+02    0.29444E+02    0
    1   26        12   15       -0.56321            3.65043        3.58378         0.30565E+02    0.30565E+02    0
   13   16        14   15       -0.82601           20.17056       19.99796         0.96113E+02    0.96113E+02    0
    9   20        14   15        0.61204            6.97221        7.07919         0.40193E+02    0.40193E+02    0
   11   18        14   15       -1.05350           11.37342       11.16006         0.55630E+02    0.55630E+02    0
   21   23        13   31        1.11553            3.26442        3.38189         0.31554E+02    0.31554E+02    0
    5   52        26   31        0.19733            1.68830        1.72249         0.98425E+01    0.98425E+01    0
    1   56        26   31       -0.16518            1.57120        1.53276         0.66684E+01    0.66684E+01    0
    3   54        26   31        0.18419            1.61025        1.64795         0.79590E+01    0.79590E+01    0
   17   42        28   31       -0.60618            2.41436        2.34952         0.27778E+02    0.22266E+02    1
   13   46        28   31       -0.35849            2.16605        2.11596         0.15322E+02    0.15322E+02    0
   15   44        28   31       -0.39747            2.22269        2.17819         0.20409E+02    0.19652E+02    1
   27   34        30   31       -0.99294            8.43937        8.26451         0.51921E+02    0.47427E+02    1
   29   32        30   31        1.36463           16.62391       16.87258         0.91910E+02    0.91910E+02    0
   25   36        30   31        0.18504            4.65715        4.68074         0.36612E+02    0.36612E+02    0
    9   49        27   31       -0.23505            1.86271        1.82651         0.11978E+02    0.11978E+02    0
   11   47        27   31       -0.37408            1.92285        1.87642         0.15302E+02    0.15302E+02    0
    7   51        27   31       -0.00045            1.75898        1.75890         0.93317E+01    0.93317E+01    0
   23   37        29   31       -1.82958            4.03424        3.74271         0.37292E+02    0.24392E+02    1
   19   41        29   31       -1.15937            2.59914        2.45795         0.27255E+02    0.20759E+02    1
   21   39        29   31       -1.68904            3.07745        2.83763         0.31126E+02    0.20819E+02    1
    2   27        13   16       -0.17113            3.23865        3.22007         0.29731E+02    0.29731E+02    0
   12   19        15   16        0.24407           12.41283       12.46631         0.56767E+02    0.56767E+02    0
   14   17        15   16       -3.39333           22.94398       21.71777         0.99020E+02    0.61781E+02    1
   10   21        15   16        0.15788            9.08166        9.11528         0.42726E+02    0.42726E+02    0
    4   26        14   16        0.51965            4.01114        4.08091         0.30132E+02    0.30132E+02    0
    6   24        14   16        0.17578            4.93377        4.95881         0.34716E+02    0.34716E+02    0
    8   22        14   16        0.05557            6.51460        6.52329         0.41662E+02    0.41662E+02    0
   42   89        63   68       -0.03057            1.52875        1.52351         0.89124E+01    0.89124E+01    0
   40   91        63   68       -0.14943            1.52938        1.49944         0.75593E+01    0.75593E+01    0
   38   93        63   68       -0.17923            1.51590        1.47425         0.64337E+01    0.64337E+01    0
   54   79        65   68       -0.11528            1.85731        1.84594         0.23034E+02    0.18779E+02    1
   52   81        65   68       -0.47743            1.74639        1.69309         0.16035E+02    0.15404E+02    1
   50   83        65   68       -3.43593            2.20917        1.62373         0.15627E+02    0.11159E+02    1
   36   94        62   68       -0.20056            1.48380        1.44075         0.68121E+01    0.68121E+01    0
   34   96        62   68       -0.18517            1.47085        1.42542         0.59015E+01    0.59015E+01    0
   32   98        62   68       -0.28392            1.51457        1.43639         0.53567E+01    0.53567E+01    0
   48   84        64   68       -0.25225            1.56030        1.52892         0.12416E+02    0.12416E+02    0
   46   86        64   68        0.00565            1.53147        1.53235         0.98482E+01    0.98482E+01    0
   44   88        64   68       -0.09014            1.55795        1.54105         0.82652E+01    0.82652E+01    0
   60   74        66   68       -0.04046            2.23462        2.23139         0.32530E+02    0.28011E+02    1
   58   76        66   68       -0.47777            1.97731        1.93351         0.28100E+02    0.21328E+02    1
   56   78        66   68       -0.61378            1.86232        1.79260         0.19760E+02    0.16088E+02    1
   66   69        67   68       -1.15205           16.78300       16.55237         0.92113E+02    0.83259E+02    1
   62   73        67   68        0.11749            3.02261        3.03335         0.33129E+02    0.33129E+02    0
    9   23        15   17       -1.21250            6.50773        6.32102         0.41652E+02    0.41652E+02    0
    5   27        15   17       -0.11369            3.75860        3.74423         0.29682E+02    0.29682E+02    0
    7   25        15   17       -0.62280            4.90886        4.82148         0.34675E+02    0.34675E+02    0
    3   28        14   17        0.20138            3.41192        3.43483         0.30091E+02    0.30091E+02    0
   13   20        16   17       -1.59573           11.27052       10.95116         0.55513E+02    0.55513E+02    0
   15   18        16   17        0.73365           18.12882       18.27121         0.93771E+02    0.93771E+02    0
   11   22        16   17       -0.44113            6.78273        6.70822         0.39938E+02    0.39938E+02    0
   22   69        43   48       -0.15888            1.56560        1.53858         0.91272E+01    0.91272E+01    0
   20   71        43   48        0.05547            1.53672        1.54799         0.75956E+01    0.75956E+01    0
   18   73        43   48       -0.58407            1.65062        1.51859         0.70055E+01    0.70055E+01    0
   16   74        42   48        0.08047            1.50791        1.52554         0.69228E+01    0.69228E+01    0
   14   76        42   48       -0.09817            1.55416        1.52989         0.62358E+01    0.62358E+01    0
   12   78        42   48       -0.02770            1.53779        1.52998         0.54388E+01    0.54388E+01    0
   28   64        44   48       -0.42703            1.56665        1.51390         0.12467E+02    0.12467E+02    0
   24   68        44   48       -0.03007            1.47065        1.46499         0.78020E+01    0.78020E+01    0
   38   56        46   48       -1.11454            2.13985        2.03972         0.28618E+02    0.23256E+02    1
   40   54        46   48       -0.08962            2.64293        2.63581         0.33818E+02    0.33183E+02    1
   36   58        46   48       -0.41402            1.84811        1.80897         0.19609E+02    0.19344E+02    1
   34   59        45   48        0.11313            1.61739        1.62653         0.20058E+02    0.20058E+02    0
   32   61        45   48        1.67319            1.31211        1.50759         0.12048E+02    0.12048E+02    0
