x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,geometry,p_ID
107768.4987,183299.2833,27.75,34536.33,85.09484993,48.84841361,89.99056275,80.04882553,66.17294656,91.1117995,1.469125253,0.28428716,2.96514673,0.170130386,3.789248663,-4.864911756,POINT (553914.1381435147 5645482.738664545),28
107768.8159,183298.8121,27.7514014,34536.13,82.88532063,46.91638613,91.97938595,78.63953398,67.89395268,92.18250779,1.469125253,0.28428716,2.88514673,0.160130386,3.859248663,-5.174911756,POINT (553914.4639287699 5645482.273625572),29
107769.0897,183298.4068,27.7679334,34535.93,80.83361486,43.88034294,93.70303272,76.38466749,69.55759192,93.78857023,1.469125253,0.27428716,2.85514673,0.180130386,3.789248663,-5.174911756,POINT (553914.7450927746 5645481.873542953),30
107769.3654,183298.0002,27.7970016,34535.73,80.99143838,41.39630761,95.16150307,75.3981634,70.41809498,94.99311705,1.469125253,0.27428716,2.85514673,0.190130386,3.739248663,-4.914911756,POINT (553915.0281496388 5645481.472279526),31
107769.6883,183297.5255,27.8258336,34535.53,82.72749711,41.25830565,96.35479699,76.24373833,71.04913056,95.26079413,1.469125253,0.26428716,2.83514673,0.170130386,3.899248663,-4.764911756,POINT (553915.3596744896 5645481.003779727),32
107769.9665,183297.1173,27.8460256,34535.33,83.67443824,43.60433902,96.4873852,76.24373833,71.22123117,94.99311705,1.459125253,0.27428716,2.80514673,0.140130386,3.839248663,-4.624911756,POINT (553915.6453032356 5645480.6009082),33
107770.28,183296.6575,27.8460256,34535.13,81.46490894,45.26036257,94.36597379,74.97537594,71.22123117,94.99311705,1.469125253,0.27428716,2.81514673,0.160130386,3.839248663,-4.564911756,POINT (553915.9670962818 5645480.147121985),34
107770.28,183296.6575,27.8460256,34535.13,81.46490894,45.26036257,94.36597379,74.97537594,71.22123117,94.99311705,1.469125253,0.27428716,2.81514673,0.160130386,3.839248663,-4.564911756,POINT (553915.9670962818 5645480.147121985),35
107770.6437,183296.1238,27.85,34534.9,80.36014429,44.98435865,92.64232701,75.11630509,69.90179315,94.45776291,1.469125253,0.28428716,2.85514673,0.190130386,3.659248663,-4.754911756,POINT (553916.3404789468 5645479.620428809),36
107770.9127,183295.7291,27.85,34534.7,81.62273246,45.39836453,92.24456237,77.23024242,68.81182261,94.45776291,1.459125253,0.28428716,2.86514673,0.190130386,3.659248663,-4.754911756,POINT (553916.6166607587 5645479.23090648),37
