ID,easting,northing,z,Resistivity(ohm.m)
5,41665.858,204318.167,-1.9,9.173596667
5,41665.858,204318.167,-1.7,10.16666333
5,41665.858,204318.167,-1.6,11.38436
5,41665.858,204318.167,-1.5,11.1292
5,41665.858,204318.167,-1.4,12.4083125
5,41665.858,204318.167,-1.3,14.06363333
5,41665.858,204318.167,-1.2,13.44086
5,41665.858,204318.167,-1.1,14.8635825
5,41665.858,204318.167,-1,16.6080725
5,41665.858,204318.167,-0.8,17.3429975
5,41665.858,204318.167,-0.7,19.8571575
5,41665.858,204318.167,-0.6,20.292715
5,41665.858,204318.167,-0.5,22.48579
5,41665.858,204318.167,-0.4,20.7049
5,41665.858,204318.167,-0.3,26.33858429
5,41665.858,204318.167,-0.1,28.05036
6,41666.05,204317.705,-4.9,2.65618
6,41666.05,204317.705,-4.8,2.50837
6,41666.05,204317.705,-4.7,2.830295
6,41666.05,204317.705,-4.6,2.6175
6,41666.05,204317.705,-4.5,2.900566667
6,41666.05,204317.705,-4.4,3.16022
6,41666.05,204317.705,-4.3,2.87717
6,41666.05,204317.705,-4.2,3.35024
6,41666.05,204317.705,-4.1,3.079405
6,41666.05,204317.705,-4,3.47643
6,41666.05,204317.705,-3.9,3.196263333
6,41666.05,204317.705,-3.7,3.447895
6,41666.05,204317.705,-3.6,3.843175
6,41666.05,204317.705,-3.5,3.541835
6,41666.05,204317.705,-3.4,3.930625
6,41666.05,204317.705,-3.3,3.7375
6,41666.05,204317.705,-3.2,4.246325
6,41666.05,204317.705,-3,4.515023333
6,41666.05,204317.705,-2.9,5.16511
6,41666.05,204317.705,-2.8,4.928876667
6,41666.05,204317.705,-2.7,5.42838
6,41666.05,204317.705,-2.6,5.28764
6,41666.05,204317.705,-2.5,5.980175
6,41666.05,204317.705,-2.3,6.536753333
6,41666.05,204317.705,-2.2,7.330383333
6,41666.05,204317.705,-2.1,7.20506
6,41666.05,204317.705,-2,8.062356667
6,41666.05,204317.705,-1.9,9.07872
6,41666.05,204317.705,-1.8,8.962895
6,41666.05,204317.705,-1.7,10.01146
6,41666.05,204317.705,-1.6,11.21593
6,41666.05,204317.705,-1.5,11.13697667
6,41666.05,204317.705,-1.4,12.221945
6,41666.05,204317.705,-1.3,13.077475
6,41666.05,204317.705,-1.2,13.56259
6,41666.05,204317.705,-1.1,14.496845
6,41666.05,204317.705,-1,15.854575
6,41666.05,204317.705,-0.9,16.038635
6,41666.05,204317.705,-0.8,17.00883667
6,41666.05,204317.705,-0.7,18.92220333
6,41666.05,204317.705,-0.6,18.19259333
6,41666.05,204317.705,-0.5,20.71726667
6,41666.05,204317.705,-0.4,22.05215
6,41666.05,204317.705,-0.3,24.655664
6,41666.05,204317.705,-0.1,32.305455
7,41666.242,204317.244,-4.9,2.38426
7,41666.242,204317.244,-4.8,2.429195
7,41666.242,204317.244,-4.6,2.6175
7,41666.242,204317.244,-4.5,2.661745
7,41666.242,204317.244,-4.4,2.4683
7,41666.242,204317.244,-4.3,2.80374
7,41666.242,204317.244,-4.2,2.59926
7,41666.242,204317.244,-4.1,2.897683333
7,41666.242,204317.244,-3.9,3.116875
7,41666.242,204317.244,-3.8,2.94638
7,41666.242,204317.244,-3.7,3.27214
7,41666.242,204317.244,-3.5,3.491446667
7,41666.242,204317.244,-3.4,3.88292
7,41666.242,204317.244,-3.3,3.711285
7,41666.242,204317.244,-3.2,4.10825
7,41666.242,204317.244,-3.1,3.96398
7,41666.242,204317.244,-3,4.46489
7,41666.242,204317.244,-2.9,4.3591
7,41666.242,204317.244,-2.8,4.83095
7,41666.242,204317.244,-2.7,5.068365
7,41666.242,204317.244,-2.6,5.273775
7,41666.242,204317.244,-2.5,5.87322
7,41666.242,204317.244,-2.4,5.815715
7,41666.242,204317.244,-2.3,6.491673333
7,41666.242,204317.244,-2.2,6.860315
7,41666.242,204317.244,-2.1,7.233383333
7,41666.242,204317.244,-2,8.056123333
7,41666.242,204317.244,-1.9,8.22942
7,41666.242,204317.244,-1.8,9.0669875
7,41666.242,204317.244,-1.7,10.021435
7,41666.242,204317.244,-1.6,10.369215
7,41666.242,204317.244,-1.5,11.421905
7,41666.242,204317.244,-1.3,13.2314775
7,41666.242,204317.244,-1.2,14.320695
7,41666.242,204317.244,-1,16.8515925
7,41666.242,204317.244,-0.9,17.573825
7,41666.242,204317.244,-0.8,18.1794
7,41666.242,204317.244,-0.7,21.7032
7,41666.242,204317.244,-0.6,21.51236
7,41666.242,204317.244,-0.5,23.61652
7,41666.242,204317.244,-0.4,23.3994
7,41666.242,204317.244,-0.3,25.37239833
7,41666.242,204317.244,-0.1,31.20992333
8,41666.434,204316.782,-4.9,2.227923333
8,41666.434,204316.782,-4.8,2.35002
8,41666.434,204316.782,-4.7,2.21301
8,41666.434,204316.782,-4.5,2.47848
8,41666.434,204316.782,-4.4,2.407813333
8,41666.434,204316.782,-4.2,2.581025
8,41666.434,204316.782,-4.1,2.830435
8,41666.434,204316.782,-4,2.676285
8,41666.434,204316.782,-3.8,2.89367
8,41666.434,204316.782,-3.7,3.20901
8,41666.434,204316.782,-3.6,3.077915
8,41666.434,204316.782,-3.5,3.39067
8,41666.434,204316.782,-3.4,3.32704
8,41666.434,204316.782,-3.3,3.650645
8,41666.434,204316.782,-3.2,3.59604
8,41666.434,204316.782,-3.1,3.96398
8,41666.434,204316.782,-3,3.91988
8,41666.434,204316.782,-2.9,4.324063333
8,41666.434,204316.782,-2.8,4.76456
8,41666.434,204316.782,-2.7,4.74295
8,41666.434,204316.782,-2.6,5.25082
8,41666.434,204316.782,-2.5,5.24195
8,41666.434,204316.782,-2.4,5.8267275
8,41666.434,204316.782,-2.3,6.46567
8,41666.434,204316.782,-2.2,6.50744
8,41666.434,204316.782,-2.1,7.247545
8,41666.434,204316.782,-2,7.582276667
8,41666.434,204316.782,-1.9,8.28314
8,41666.434,204316.782,-1.8,9.17108
8,41666.434,204316.782,-1.7,9.552195
8,41666.434,204316.782,-1.6,10.3943825
8,41666.434,204316.782,-1.5,11.54203333
8,41666.434,204316.782,-1.4,12.00496667
8,41666.434,204316.782,-1.3,13.45426667
8,41666.434,204316.782,-1.2,14.70248
8,41666.434,204316.782,-1.1,15.26749667
8,41666.434,204316.782,-1,17.874565
