"Z,Resistivity(ohm.m),easting,northing,nb_electrode"
"-0.7,35.983272,107762.511,183308.545,6.0"
"-0.6,39.96127,107762.511,183308.545,6.0"
"-0.5,42.762445,107762.511,183308.545,6.0"
"-0.4,46.11306,107762.511,183308.545,6.0"
"-0.3,50.08784166666666,107762.511,183308.545,6.0"
"-0.1,75.83751625,107762.511,183308.545,6.0"
"-4.9,27.273935,107762.792,183308.131,7.0"
"-4.7,28.06804,107762.792,183308.131,7.0"
"-4.5,26.27086,107762.792,183308.131,7.0"
"-4.4,26.579359999999998,107762.792,183308.131,7.0"
"-4.3,28.02544,107762.792,183308.131,7.0"
"-4.2,24.964925,107762.792,183308.131,7.0"
"-4.1,23.05518,107762.792,183308.131,7.0"
"-4.0,25.51705,107762.792,183308.131,7.0"
"-3.9,23.732190000000003,107762.792,183308.131,7.0"
"-3.8,23.01118,107762.792,183308.131,7.0"
"-3.7,21.726370000000003,107762.792,183308.131,7.0"
"-3.5,20.045106666666666,107762.792,183308.131,7.0"
"-3.3,17.994519999999998,107762.792,183308.131,7.0"
"-3.1,16.012356666666665,107762.792,183308.131,7.0"
"-3.0,14.750666666666667,107762.792,183308.131,7.0"
"-2.8,13.194993333333334,107762.792,183308.131,7.0"
"-2.7,12.04175,107762.792,183308.131,7.0"
"-2.6,11.626380000000001,107762.792,183308.131,7.0"
"-2.5,10.58175,107762.792,183308.131,7.0"
"-2.4,10.25657,107762.792,183308.131,7.0"
"-2.3,9.318453333333332,107762.792,183308.131,7.0"
"-2.1,8.48243,107762.792,183308.131,7.0"
"-2.0,8.64309,107762.792,183308.131,7.0"
"-1.9,7.857915,107762.792,183308.131,7.0"
"-1.8,8.36281,107762.792,183308.131,7.0"
"-1.7,7.8943666666666665,107762.792,183308.131,7.0"
"-1.6,8.471485000000001,107762.792,183308.131,7.0"
"-1.5,10.133365000000001,107762.792,183308.131,7.0"
"-1.4,10.086323333333333,107762.792,183308.131,7.0"
"-1.3,12.37954,107762.792,183308.131,7.0"
"-1.2,15.688625,107762.792,183308.131,7.0"
"-1.1,16.747110000000003,107762.792,183308.131,7.0"
"-1.0,23.36507333333333,107762.792,183308.131,7.0"
"-0.9,30.201815,107762.792,183308.131,7.0"
"-0.8,29.547385,107762.792,183308.131,7.0"
"-0.7,36.281705,107762.792,183308.131,7.0"
"-0.6,38.3118275,107762.792,183308.131,7.0"
"-0.5,41.51065,107762.792,183308.131,7.0"
"-0.4,46.487785,107762.792,183308.131,7.0"
"-0.3,50.914645,107762.792,183308.131,7.0"
"-0.1,76.24121,107762.792,183308.131,7.0"
"-4.9,28.28407,107763.073,183307.718,8.0"
"-4.8,30.84187,107763.073,183307.718,8.0"
"-4.7,30.67778,107763.073,183307.718,8.0"
"-4.5,31.69818,107763.073,183307.718,8.0"
"-4.4,27.308815,107763.073,183307.718,8.0"
"-4.3,28.832515,107763.073,183307.718,8.0"
"-4.1,28.88816,107763.073,183307.718,8.0"
"-4.0,25.51705,107763.073,183307.718,8.0"
"-3.9,25.93626,107763.073,183307.718,8.0"
"-3.7,22.41554,107763.073,183307.718,8.0"
"-3.6,25.71297,107763.073,183307.718,8.0"
"-3.5,21.994715,107763.073,183307.718,8.0"
"-3.3,19.7508675,107763.073,183307.718,8.0"
"-3.1,16.970693333333333,107763.073,183307.718,8.0"
"-3.0,14.82192,107763.073,183307.718,8.0"
"-2.9,16.061214999999997,107763.073,183307.718,8.0"
"-2.8,13.221125,107763.073,183307.718,8.0"
"-2.7,13.759855,107763.073,183307.718,8.0"
"-2.6,11.646063333333332,107763.073,183307.718,8.0"
"-2.5,11.70521,107763.073,183307.718,8.0"
"-2.4,10.070844999999998,107763.073,183307.718,8.0"
"-2.3,9.347686666666666,107763.073,183307.718,8.0"
"-2.2,8.475455,107763.073,183307.718,8.0"
"-2.1,7.86215,107763.073,183307.718,8.0"
"-2.0,7.15429,107763.073,183307.718,8.0"
"-1.9,7.3152975,107763.073,183307.718,8.0"
"-1.7,6.9093566666666675,107763.073,183307.718,8.0"
"-1.6,8.06456,107763.073,183307.718,8.0"
"-1.5,6.69063,107763.073,183307.718,8.0"
"-1.4,8.577716666666666,107763.073,183307.718,8.0"
"-1.3,12.37954,107763.073,183307.718,8.0"
"-1.2,10.318035,107763.073,183307.718,8.0"
"-1.1,14.924226666666668,107763.073,183307.718,8.0"
"-1.0,17.793754999999997,107763.073,183307.718,8.0"
"-0.9,19.956915000000002,107763.073,183307.718,8.0"
"-0.8,28.38315,107763.073,183307.718,8.0"
"-0.7,31.621669999999998,107763.073,183307.718,8.0"
"-0.6,36.25928,107763.073,183307.718,8.0"
"-0.5,41.12817,107763.073,183307.718,8.0"
"-0.4,47.67126,107763.073,183307.718,8.0"
"-0.3,52.506299999999996,107763.073,183307.718,8.0"
"-0.1,77.1659025,107763.073,183307.718,8.0"
"-4.9,33.62802,107763.354,183307.304,9.0"
"-4.8,30.84187,107763.354,183307.304,9.0"
"-4.7,33.562515,107763.354,183307.304,9.0"
"-4.5,33.003375000000005,107763.354,183307.304,9.0"
"-4.4,32.8484,107763.354,183307.304,9.0"
"-4.3,29.63959,107763.354,183307.304,9.0"
"-4.2,32.69092,107763.354,183307.304,9.0"
"-4.1,28.88816,107763.354,183307.304,9.0"
"-4.0,31.20973,107763.354,183307.304,9.0"
"-3.9,26.56409,107763.354,183307.304,9.0"
"-3.8,29.407355000000003,107763.354,183307.304,9.0"
"-3.6,26.49827,107763.354,183307.304,9.0"
"-3.5,22.47627,107763.354,183307.304,9.0"
"-3.4,24.707320000000003,107763.354,183307.304,9.0"
"-3.3,20.979075,107763.354,183307.304,9.0"
"-3.2,22.5956,107763.354,183307.304,9.0"
"-3.1,18.4726,107763.354,183307.304,9.0"
"-3.0,19.48723,107763.354,183307.304,9.0"
"-2.9,16.061214999999997,107763.354,183307.304,9.0"
"-2.8,16.81065,107763.354,183307.304,9.0"
"-2.7,13.863863333333333,107763.354,183307.304,9.0"
"-2.6,11.68543,107763.354,183307.304,9.0"
"-2.5,11.717436666666666,107763.354,183307.304,9.0"
"-2.4,10.01724,107763.354,183307.304,9.0"
"-2.3,9.76979,107763.354,183307.304,9.0"
"-2.2,8.475455,107763.354,183307.304,9.0"
"-2.1,7.926833333333334,107763.354,183307.304,9.0"
"-2.0,7.05458,107763.354,183307.304,9.0"
"-1.9,6.78536,107763.354,183307.304,9.0"
"-1.8,6.138975,107763.354,183307.304,9.0"
"-1.7,6.072900000000001,107763.354,183307.304,9.0"
"-1.6,6.620665,107763.354,183307.304,9.0"
"-1.5,6.37181,107763.354,183307.304,9.0"
"-1.4,7.47895,107763.354,183307.304,9.0"
"-1.3,7.385680000000001,107763.354,183307.304,9.0"
"-1.2,9.8364025,107763.354,183307.304,9.0"
"-1.1,13.10358,107763.354,183307.304,9.0"
"-1.0,14.38384,107763.354,183307.304,9.0"
"-0.9,19.73436,107763.354,183307.304,9.0"
"-0.8,26.05468,107763.354,183307.304,9.0"
"-0.7,30.65138333333333,107763.354,183307.304,9.0"
"-0.6,37.107016666666674,107763.354,183307.304,9.0"
"-0.5,44.1642125,107763.354,183307.304,9.0"
"-0.4,49.24869,107763.354,183307.304,9.0"
"-0.3,54.518370000000004,107763.354,183307.304,9.0"
"-0.1,70.4092775,107763.354,183307.304,9.0"
"-4.9,36.161923333333334,107763.635,183306.891,10.0"
"-4.8,37.70593,107763.635,183306.891,10.0"
"-4.7,34.91757,107763.635,183306.891,10.0"
"-4.5,36.042609999999996,107763.635,183306.891,10.0"
"-4.4,34.59109333333333,107763.635,183306.891,10.0"
"-4.2,32.69092,107763.635,183306.891,10.0"
"-4.1,35.25362,107763.635,183306.891,10.0"
"-4.0,31.20973,107763.635,183306.891,10.0"
"-3.9,33.20272,107763.635,183306.891,10.0"
"-3.8,29.407355000000003,107763.635,183306.891,10.0"
"-3.7,31.43237,107763.635,183306.891,10.0"
"-3.6,28.06887,107763.635,183306.891,10.0"
"-3.5,28.71765,107763.635,183306.891,10.0"
"-3.4,24.707320000000003,107763.635,183306.891,10.0"
"-3.3,26.22184,107763.635,183306.891,10.0"
"-3.2,22.792250000000003,107763.635,183306.891,10.0"
"-3.1,21.104595,107763.635,183306.891,10.0"
"-3.0,19.757385,107763.635,183306.891,10.0"
"-2.9,20.05778,107763.635,183306.891,10.0"
"-2.8,16.88665,107763.635,183306.891,10.0"
"-2.7,15.49866,107763.635,183306.891,10.0"
"-2.6,14.169785000000001,107763.635,183306.891,10.0"
"-2.5,11.72355,107763.635,183306.891,10.0"
"-2.4,11.61031,107763.635,183306.891,10.0"
"-2.3,9.675194999999999,107763.635,183306.891,10.0"
"-2.2,9.5961,107763.635,183306.891,10.0"
"-2.1,8.026426666666667,107763.635,183306.891,10.0"
"-2.0,6.95487,107763.635,183306.891,10.0"
"-1.9,6.83029,107763.635,183306.891,10.0"
"-1.8,6.138975,107763.635,183306.891,10.0"
"-1.7,6.1305499999999995,107763.635,183306.891,10.0"
"-1.6,6.267103333333334,107763.635,183306.891,10.0"
"-1.5,6.212400000000001,107763.635,183306.891,10.0"
"-1.4,7.2763,107763.635,183306.891,10.0"
"-1.3,7.8497325,107763.635,183306.891,10.0"
"-1.2,9.35477,107763.635,183306.891,10.0"
"-1.1,11.74981,107763.635,183306.891,10.0"
"-1.0,14.927929999999998,107763.635,183306.891,10.0"
"-0.9,19.511805,107763.635,183306.891,10.0"
"-0.8,23.752476666666666,107763.635,183306.891,10.0"
"-0.7,30.94866,107763.635,183306.891,10.0"
"-0.6,37.75297333333334,107763.635,183306.891,10.0"
"-0.5,43.5035475,107763.635,183306.891,10.0"
"-0.4,46.269375,107763.635,183306.891,10.0"
"-0.3,55.702492857142865,107763.635,183306.891,10.0"
"-0.1,69.3114,107763.635,183306.891,10.0"
"-4.9,38.33376,107763.916,183306.477,11.0"
"-4.8,38.509225,107763.916,183306.477,11.0"
"-4.5,38.275215,107763.916,183306.477,11.0"
"-4.4,36.49383,107763.916,183306.477,11.0"
"-4.2,36.89665,107763.916,183306.477,11.0"
"-4.1,35.419465,107763.916,183306.477,11.0"
"-4.0,35.90666,107763.916,183306.477,11.0"
"-3.9,33.588915,107763.916,183306.477,11.0"
"-3.8,34.02527,107763.916,183306.477,11.0"
"-3.7,31.5882,107763.916,183306.477,11.0"
"-3.6,31.70002,107763.916,183306.477,11.0"
"-3.5,28.970765,107763.916,183306.477,11.0"
"-3.4,29.10353,107763.916,183306.477,11.0"
"-3.3,26.22184,107763.916,183306.477,11.0"
"-3.2,24.460175,107763.916,183306.477,11.0"
