,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),Metal factor,yA (m),yB (m),yM (m),yN (m),zA (m),zB (m),zM (m),zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch
,Mixed / non conventional,0.00,11.00,5.00,6.00,15.61,0.064,-1.72,15.871,95.791,500,94,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,23,11,13,0,0,0,0,3,0.000,131,13,1.362,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.55,33.8,22/08/2023 16:05:02,0,0
,Mixed / non conventional,0.00,12.00,5.50,6.50,15.29,0.09,-12.63,15.438,113.366,500,1.1e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,25,12,14,0,0,0,0,3,0.000,143,16,1.264,00.000000,00.000000,,23082201,1,0,12.69,0.0,12.57,33.8,22/08/2023 16:05:05,0,0
,Mixed / non conventional,0.00,12.50,5.50,7.00,15.87,0.082,-45.24,15.470,78.591,500,81,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,26,12,15,0,0,0,0,3,0.000,100,8,1.270,00.000000,00.000000,,23082201,1,0,12.75,0.0,12.55,33.8,22/08/2023 16:05:08,0,0
,Mixed / non conventional,0.00,13.50,6.00,7.50,16.77,0.059,-4.70,15.928,89.527,500,94,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,28,13,16,0,0,0,0,3,0.000,113,10,1.259,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.55,33.8,22/08/2023 16:05:12,0,0
,Mixed / non conventional,0.00,14.50,6.50,8.00,16.75,0.074,21.98,15.779,102.580,500,1.1e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,30,14,17,0,0,0,0,3,0.000,125,13,1.220,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.55,33.8,22/08/2023 16:05:15,0,0
,Mixed / non conventional,0.00,15.50,7.00,8.50,15.57,0.035,-249.71,16.424,131.438,500,1.2e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,32,15,18,0,0,0,0,3,0.000,153,20,1.167,00.000000,00.000000,,23082201,1,0,12.66,0.0,12.53,33.8,22/08/2023 16:05:18,0,0
,Mixed / non conventional,0.00,16.50,7.50,9.00,14.42,0.099,289.18,15.244,149.484,500,1.4e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,34,16,19,0,0,0,0,3,0.000,180,27,1.204,00.000000,00.000000,,23082201,1,0,12.61,0.0,12.55,34.3,22/08/2023 16:05:22,0,0
,Mixed / non conventional,0.00,17.50,8.00,9.50,15.34,0.084,-309.80,16.688,173.115,500,1.6e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,36,17,20,0,0,0,0,3,0.000,221,38,1.277,00.000000,00.000000,,23082201,1,0,12.52,0.0,12.55,33.8,22/08/2023 16:05:25,0,0
,Mixed / non conventional,0.00,18.00,8.00,10.00,15.64,0.085,-34.35,15.604,125.371,500,1.3e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,37,17,21,0,0,0,0,3,0.000,157,20,1.251,00.000000,00.000000,,23082201,1,0,12.64,0.0,12.57,34.3,22/08/2023 16:05:29,0,0
,Mixed / non conventional,0.00,19.00,8.50,10.50,15.87,0.038,-20.36,15.887,140.355,500,1.4e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,39,18,22,0,0,0,0,3,0.000,164,23,1.170,00.000000,00.000000,,23082201,1,0,12.61,0.0,12.53,34.3,22/08/2023 16:05:32,0,0
,Mixed / non conventional,0.00,20.00,9.00,11.00,16.03,0.059,0.13,15.556,150.915,500,1.6e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,41,19,23,0,0,0,0,3,0.000,189,28,1.251,00.000000,00.000000,,23082201,1,0,12.58,0.0,12.55,33.8,22/08/2023 16:05:35,0,0
,Mixed / non conventional,0.00,21.00,9.50,11.50,15.25,0.11,10.21,16.138,181.585,500,1.7e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,43,20,24,0,0,0,0,3,0.000,218,40,1.199,00.000000,00.000000,,23082201,1,0,12.49,0.0,12.53,33.8,22/08/2023 16:05:39,0,0
,Mixed / non conventional,0.00,22.00,10.00,12.00,15.36,0.088,33.79,15.782,193.610,500,1.9e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,45,21,25,0,0,0,0,3,0.000,242,47,1.252,00.000000,00.000000,,23082201,1,0,12.43,0.0,12.53,33.8,22/08/2023 16:05:42,0,0
,Mixed / non conventional,0.00,23.00,10.50,12.50,15.11,0.15,265.61,15.311,208.936,500,2.1e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,47,22,26,0,0,0,0,3,0.000,245,51,1.174,00.000000,00.000000,,23082201,1,0,12.40,0.0,12.55,33.8,22/08/2023 16:05:45,0,0
,Mixed / non conventional,0.00,23.50,10.50,13.00,15.19,0.097,-25.08,16.163,182.546,500,1.7e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,48,22,27,0,0,0,0,3,0.000,188,34,1.028,00.000000,00.000000,,23082201,1,0,12.49,0.0,12.55,34.3,22/08/2023 16:05:49,0,0
,Mixed / non conventional,0.00,24.50,11.00,13.50,15.97,0.08,56.37,15.747,183.982,500,1.9e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,50,23,28,0,0,0,0,3,0.000,187,34,1.015,00.000000,00.000000,,23082201,1,0,12.49,0.0,12.55,33.8,22/08/2023 16:05:52,0,0
,Mixed / non conventional,0.00,25.50,11.50,14.00,15.45,0.11,-42.79,16.061,210.273,500,2e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,52,24,29,0,0,0,0,3,0.000,202,42,0.959,00.000000,00.000000,,23082201,1,0,12.46,0.0,12.55,34.3,22/08/2023 16:05:56,0,0
,Mixed / non conventional,0.00,26.50,12.00,14.50,16.56,0.057,54.88,15.610,206.111,500,2.2e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,54,25,30,0,0,0,0,3,0.000,238,49,1.155,00.000000,00.000000,,23082201,1,0,12.40,0.0,12.53,33.8,22/08/2023 16:05:59,0,0
,Mixed / non conventional,0.00,27.50,12.50,15.00,16.82,0.13,-252.65,16.666,233.427,500,2.4e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,56,26,31,0,0,0,0,3,0.000,267,62,1.143,00.000000,00.000000,,23082201,1,0,12.31,0.0,12.53,34.3,22/08/2023 16:06:02,0,0
,Mixed / non conventional,0.00,28.50,13.00,15.50,17.91,0.13,321.55,15.534,219.599,500,2.5e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,58,27,32,0,0,0,0,3,0.000,243,53,1.108,00.000000,00.000000,,23082201,1,0,12.34,0.0,12.53,34.3,22/08/2023 16:06:06,0,0
,Mixed / non conventional,0.00,29.00,13.00,16.00,17.58,0.085,79.06,16.007,198.324,500,2.2e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,59,27,33,0,0,0,0,3,0.000,230,46,1.160,00.000000,00.000000,,23082201,1,0,12.40,0.0,12.55,34.3,22/08/2023 16:06:09,0,0
,Mixed / non conventional,0.50,2.00,1.00,1.50,50.52,0.27,22.46,15.934,0.991,500,3.1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,5,3,4,0,0,0,0,3,0.000,2,0,1.656,00.000000,00.000000,,23082201,1,0,12.69,0.0,12.55,34.3,22/08/2023 16:06:12,0,0
,Mixed / non conventional,0.50,3.00,1.50,2.00,33.28,1.4,109.96,14.806,4.193,500,9.4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,7,4,5,0,0,0,0,3,0.000,5,0,1.253,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.39,34.3,22/08/2023 16:06:16,0,0
,Mixed / non conventional,0.50,4.00,2.00,2.50,27.97,0.13,-55.97,15.597,10.513,500,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,9,5,6,0,0,0,0,3,0.000,16,0,1.484,00.000000,00.000000,,23082201,1,0,12.75,0.0,12.55,34.3,22/08/2023 16:06:20,0,0
,Mixed / non conventional,0.50,5.00,2.50,3.00,21.71,0.43,-32.88,15.794,22.858,500,31,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,11,6,7,0,0,0,0,3,0.000,35,1,1.537,00.000000,00.000000,,23082201,1,0,12.75,0.0,12.55,34.3,22/08/2023 16:06:23,0,0
,Mixed / non conventional,0.50,6.00,3.00,3.50,17.12,0.17,116.80,15.419,42.431,500,47,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,13,7,8,0,0,0,0,3,0.000,56,2,1.308,00.000000,00.000000,,23082201,1,0,12.75,0.0,12.55,34.3,22/08/2023 16:06:26,0,0
,Mixed / non conventional,0.50,7.00,3.50,4.00,15.05,0.33,100.84,14.386,63.076,500,66,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,15,8,9,0,0,0,0,3,0.000,113,7,1.798,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.53,34.3,22/08/2023 16:06:30,0,0
,Mixed / non conventional,0.50,7.50,3.50,4.50,13.96,0.033,87.66,15.823,42.723,500,38,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,16,8,10,0,0,0,0,3,0.000,71,3,1.669,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.53,34.3,22/08/2023 16:06:33,0,0
,Mixed / non conventional,0.50,8.50,4.00,5.00,13.44,0.16,55.43,15.394,56.663,500,49,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,18,9,11,0,0,0,0,3,0.000,76,4,1.335,00.000000,00.000000,,23082201,1,0,12.75,0.0,12.55,34.3,22/08/2023 16:06:36,0,0
,Mixed / non conventional,0.50,9.50,4.50,5.50,14.33,0.046,9.15,15.890,69.667,500,63,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,20,10,12,0,0,0,0,3,0.000,112,8,1.604,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.57,34.3,22/08/2023 16:06:40,0,0
,Mixed / non conventional,0.50,10.50,5.00,6.00,14.96,0.12,79.39,15.438,80.252,500,78,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,22,11,13,0,0,0,0,3,0.000,96,8,1.194,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.55,34.3,22/08/2023 16:06:43,0,0
,Mixed / non conventional,0.50,11.50,5.50,6.50,14.53,0.089,-7.82,15.874,102.966,500,94,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,24,12,14,0,0,0,0,3,0.000,133,14,1.291,00.000000,00.000000,,23082201,1,0,12.69,0.0,12.53,34.3,22/08/2023 16:06:46,0,0
,Mixed / non conventional,0.50,12.50,6.00,7.00,15.36,0.23,19.31,15.531,113.544,500,1.1e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,26,13,15,0,0,0,0,3,0.000,150,17,1.323,00.000000,00.000000,,23082201,1,0,12.66,0.0,12.53,33.8,22/08/2023 16:06:50,0,0
,Mixed / non conventional,0.50,13.00,6.00,7.50,16.36,0.09,-2.61,15.642,77.077,500,81,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,27,13,16,0,0,0,0,3,0.000,104,8,1.345,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.55,34.3,22/08/2023 16:06:53,0,0
,Mixed / non conventional,0.50,14.00,6.50,8.00,16.25,0.13,3.49,15.855,91.949,500,94,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,29,14,17,0,0,0,0,3,0.000,135,12,1.471,00.000000,00.000000,,23082201,1,0,12.69,0.0,12.55,34.3,22/08/2023 16:06:56,0,0
,Mixed / non conventional,0.50,15.00,7.00,8.50,15.41,0.11,41.41,15.782,111.525,500,1.1e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,31,15,18,0,0,0,0,3,0.000,144,16,1.288,00.000000,00.000000,,23082201,1,0,12.66,0.0,12.53,34.3,22/08/2023 16:07:00,0,0
,Mixed / non conventional,0.50,16.00,7.50,9.00,14.01,0.038,-54.38,16.453,146.394,500,1.2e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,33,16,19,0,0,0,0,3,0.000,176,26,1.204,00.000000,00.000000,,23082201,1,0,12.61,0.0,12.53,34.3,22/08/2023 16:07:03,0,0
,Mixed / non conventional,0.50,17.00,8.00,9.50,15.23,0.13,38.48,15.403,142.998,500,1.4e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,35,17,20,0,0,0,0,3,0.000,188,27,1.316,00.000000,00.000000,,23082201,1,0,12.58,0.0,12.55,34.3,22/08/2023 16:07:07,0,0
,Mixed / non conventional,0.50,18.00,8.50,10.00,15.91,0.068,-146.63,16.154,161.604,500,1.6e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,37,18,21,0,0,0,0,3,0.000,210,34,1.302,00.000000,00.000000,,23082201,1,0,12.52,0.0,12.55,34.3,22/08/2023 16:07:10,0,0
,Mixed / non conventional,0.50,18.50,8.50,10.50,15.67,0.077,-49.33,15.836,127.024,500,1.3e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,38,18,22,0,0,0,0,3,0.000,175,22,1.376,00.000000,00.000000,,23082201,1,0,12.61,0.0,12.53,34.3,22/08/2023 16:07:13,0,0
,Mixed / non conventional,0.50,19.50,9.00,11.00,15.71,0.047,-31.37,15.922,142.064,500,1.4e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,40,19,23,0,0,0,0,3,0.000,179,25,1.258,00.000000,00.000000,,23082201,1,0,12.58,0.0,12.55,34.3,22/08/2023 16:07:17,0,0
,Mixed / non conventional,0.50,20.50,9.50,11.50,15.32,0.12,31.70,15.775,160.082,500,1.6e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,42,20,24,0,0,0,0,3,0.000,189,30,1.181,00.000000,00.000000,,23082201,1,0,12.55,0.0,12.55,34.3,22/08/2023 16:07:20,0,0
,Mixed / non conventional,0.50,21.50,10.00,12.00,15.18,0.049,25.46,16.011,181.001,500,1.7e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,44,21,25,0,0,0,0,3,0.000,240,43,1.325,00.000000,00.000000,,23082201,1,0,12.46,0.0,12.55,34.3,22/08/2023 16:07:23,0,0
,Mixed / non conventional,0.50,22.50,10.50,12.50,15.07,0.12,46.78,16.214,202.866,500,1.9e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,46,22,26,0,0,0,0,3,0.000,254,52,1.252,00.000000,00.000000,,23082201,1,0,12.37,0.0,12.53,34.3,22/08/2023 16:07:27,0,0
,Mixed / non conventional,0.50,23.50,11.00,13.00,15.46,0.1,34.88,15.260,203.567,500,2.1e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,48,23,27,0,0,0,0,3,0.000,218,44,1.073,00.000000,00.000000,,23082201,1,0,12.43,0.0,12.55,34.3,22/08/2023 16:07:30,0,0
,Mixed / non conventional,0.50,24.00,11.00,13.50,15.87,0.18,36.26,43.438,469.500,500,1.7e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,49,23,28,0,0,0,0,3,0.000,520,244,1.107,00.000000,00.000000,,23082201,1,0,10.97,0.0,12.53,34.8,22/08/2023 16:07:34,0,0
,Mixed / non conventional,0.50,25.00,11.50,14.00,15.95,0.025,-45.85,15.585,182.290,500,1.9e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,51,24,29,0,0,0,0,3,0.000,182,33,0.999,00.000000,00.000000,,23082201,1,0,12.40,0.0,12.55,34.8,22/08/2023 16:07:37,0,0
,Mixed / non conventional,0.50,26.00,12.00,14.50,16.42,0.11,46.23,15.909,196.064,500,2e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,53,25,30,0,0,0,0,3,0.000,196,39,1.002,00.000000,00.000000,,23082201,1,0,12.40,0.0,12.50,34.3,22/08/2023 16:07:40,0,0
,Mixed / non conventional,0.50,27.00,12.50,15.00,17.14,0.073,-15.14,15.804,201.574,500,2.2e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,55,26,31,0,0,0,0,3,0.000,265,53,1.314,00.000000,00.000000,,23082201,1,0,12.31,0.0,12.50,34.3,22/08/2023 16:07:44,0,0
,Mixed / non conventional,0.50,28.00,13.00,15.50,17.93,0.11,41.98,16.662,219.000,500,2.4e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,57,27,32,0,0,0,0,3,0.000,265,58,1.208,00.000000,00.000000,,23082201,1,0,12.28,0.0,12.53,34.3,22/08/2023 16:07:47,0,0
,Mixed / non conventional,0.50,29.00,13.50,16.00,17.99,0.053,81.81,15.435,217.305,500,2.5e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,59,28,33,0,0,0,0,3,0.000,253,55,1.163,00.000000,00.000000,,23082201,1,0,12.31,0.0,12.53,34.3,22/08/2023 16:07:50,0,0
,Mixed / non conventional,0.50,29.50,13.50,16.50,17.68,0.11,20.14,16.049,197.671,500,2.2e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,60,28,34,0,0,0,0,3,0.000,227,45,1.149,00.000000,00.000000,,23082201,1,0,12.37,0.0,12.55,34.8,22/08/2023 16:07:54,0,0
,Mixed / non conventional,1.00,2.50,1.50,2.00,46.72,0.32,44.75,18.023,1.212,500,3.1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,6,4,5,0,0,0,0,3,0.000,1,0,1.194,00.000000,00.000000,,23082201,1,0,12.69,0.0,12.55,34.8,22/08/2023 16:07:57,0,0
,Mixed / non conventional,1.00,3.50,2.00,2.50,37.06,1.1,58.63,15.181,3.860,500,9.4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,8,5,6,0,0,0,0,3,0.000,5,0,1.268,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.39,34.8,22/08/2023 16:08:01,0,0
,Mixed / non conventional,1.00,4.50,2.50,3.00,26.97,0.12,-72.56,15.562,10.876,500,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,10,6,7,0,0,0,0,3,0.000,13,0,1.157,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.55,34.3,22/08/2023 16:08:04,0,0
,Mixed / non conventional,1.00,5.50,3.00,3.50,19.84,0.56,48.87,15.813,25.046,500,31,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,12,7,8,0,0,0,0,3,0.000,31,1,1.225,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.55,34.8,22/08/2023 16:08:08,0,0
,Mixed / non conventional,1.00,6.50,3.50,4.00,16.18,0.19,33.51,15.419,44.921,500,47,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,14,8,9,0,0,0,0,3,0.000,73,3,1.621,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.55,34.8,22/08/2023 16:08:11,0,0
,Mixed / non conventional,1.00,7.50,4.00,4.50,13.29,0.37,254.45,14.481,71.914,500,66,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,16,9,10,0,0,0,0,3,0.000,103,7,1.435,00.000000,00.000000,,23082201,1,0,12.69,0.0,12.55,34.8,22/08/2023 16:08:14,0,0
,Mixed / non conventional,1.00,8.00,4.00,5.00,13.24,0.07,20.25,15.616,44.482,500,38,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,17,9,11,0,0,0,0,3,0.000,53,2,1.188,00.000000,00.000000,,23082201,1,0,12.75,0.0,12.53,34.8,22/08/2023 16:08:18,0,0
,Mixed / non conventional,1.00,9.00,4.50,5.50,13.92,0.097,42.40,15.655,55.634,500,49,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,19,10,12,0,0,0,0,3,0.000,80,4,1.435,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.55,34.8,22/08/2023 16:08:21,0,0
,Mixed / non conventional,1.00,10.00,5.00,6.00,14.23,0.027,51.25,15.629,68.986,500,63,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,21,11,13,0,0,0,0,3,0.000,84,6,1.216,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.55,34.8,22/08/2023 16:08:24,0,0
,Mixed / non conventional,1.00,11.00,5.50,6.50,14.01,0.15,-11.98,15.222,84.507,500,78,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,23,12,14,0,0,0,0,3,0.000,103,9,1.219,00.000000,00.000000,,23082201,1,0,12.69,0.0,12.55,34.8,22/08/2023 16:08:28,0,0
,Mixed / non conventional,1.00,12.00,6.00,7.00,14.63,0.056,36.80,15.613,100.613,500,94,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,25,13,15,0,0,0,0,3,0.000,113,11,1.121,00.000000,00.000000,,23082201,1,0,12.69,0.0,12.53,34.8,22/08/2023 16:08:31,0,0
,Mixed / non conventional,1.00,13.00,6.50,7.50,16.79,0.041,9.04,15.788,105.604,500,1.1e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,27,14,16,0,0,0,0,3,0.000,119,13,1.128,00.000000,00.000000,,23082201,1,0,12.69,0.0,12.55,34.8,22/08/2023 16:08:35,0,0
,Mixed / non conventional,1.00,13.50,6.50,8.00,15.68,0.11,36.47,15.537,79.888,500,81,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,28,14,17,0,0,0,0,3,0.000,89,7,1.117,00.000000,00.000000,,23082201,1,0,12.72,0.0,12.55,34.8,22/08/2023 16:08:38,0,0
,Mixed / non conventional,1.00,14.50,7.00,8.50,14.92,0,24.50,15.747,99.443,500,94,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,30,15,18,0,0,0,0,3,0.000,107,11,1.080,00.000000,00.000000,,23082201,1,0,12.69,0.0,12.55,34.8,22/08/2023 16:08:41,0,0
,Mixed / non conventional,1.00,15.50,7.50,9.00,13.68,0.084,9.29,15.591,124.166,500,1.1e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,32,16,19,0,0,0,0,3,0.000,127,16,1.021,00.000000,00.000000,,23082201,1,0,12.66,0.0,12.55,34.8,22/08/2023 16:08:45,0,0
,Mixed / non conventional,1.00,16.50,8.00,9.50,14.78,0.036,-142.04,16.259,137.125,500,1.2e+02,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,34,17,20,0,0,0,0,3,0.000,145,20,1.059,00.000000,00.000000,,23082201,1,0,12.64,0.0,12.55,34.8,22/08/2023 16:08:48,0,0
