,x,y,EC_0.10,EC_0.50,EC_0.80,EC_1.50,EC_end,z,t,HCP0.5,PRP0.6,HCP1.0,Unnamed: 0,x_clhs,y_clhs,z.1,t.1,name,depth,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_hp_corr,water_ec_hp,bulk_ec_pred_Fu
20,107765.719,183326.718,24.111247764240524,28.194553713730706,38.366349454878446,47.8949695023883,54.33616453853208,26.6479608,35158.36,19.89277866,14.13320156,34.28416852,22744,107766.469,183327.314,27.1795488,42851.76,11,50,6.75,4.891,12.692,54.808,32.5,0.0,0.0,1.681,0.21031,8,23.7,21.3,12.2,0.025273329487892054,0.00906,0.11687088780528117,0.013886672662291169
21,107776.924,183299.388,84.97227770278492,87.4439011917429,85.51283866515115,79.93866243983481,71.81170022364343,27.65,34851.56,64.7304777,33.51354508,82.09333821,19443,107777.021,183299.37,27.85,42500.46,12,50,7.24,8.064,16.931,50.535,32.534,0.0,0.0,1.898,0.16165,415,23.0,21.8,21.0,0.03310994624624087,0.01395,0.14880874717411624,0.010841616791063796
22,107752.723,183299.072,92.9053606621553,86.28702951225442,71.14290669153513,55.67585845262623,42.41982541565003,26.5620769,33749.13,59.12710968,48.3466376,51.02611265,9680,107752.33,183298.809,27.45,41407.83,13,50,7.34,19.254,32.385,27.489,40.126,0.0,0.0,1.382,0.40536,470,23.7,30.8,38.6,0.05102676438816131,0.02565,0.1523186996661532,0.08932522261435626
23,107732.312,183327.436,82.55614127768807,79.4154196268481,70.13162817271956,59.96411358885717,50.85884885992251,25.681,33762.93,58.40146795,39.89992111,60.50994,9811,107732.66,183327.436,26.5541536,41420.95,14,50,6.92,7.14,12.707,11.525,75.767,0.0,0.0,1.628,0.14206,17,25.1,18.2,16.1,0.026739038191895485,0.00998,0.15064246868673514,0.00925769233093461
24,107776.631,183291.31,105.33584848702047,104.10499841468378,94.65658520258172,82.45389881213889,70.06044592925937,28.05,34623.93,78.94580014,45.07758429,88.06367196,17044,107776.543,183291.428,27.95,42241.07,15,50,7.45,10.744,22.892,50.941,26.167,0.0,0.0,1.724,0.30856,400,22.8,30.7,32.4,0.04817847354827262,0.02372,0.14435497692366328,0.03664856416205031
25,107765.719,183326.718,24.111247764240524,28.194553713730706,38.366349454878446,47.8949695023883,54.33616453853208,26.6479608,35158.36,19.89277866,14.13320156,34.28416852,22744,107766.469,183327.314,27.1795488,42851.76,11,10,6.19,5.176,11.694,49.72,38.585,14.2,2.8,1.635,0.2534,19,23.3,16.3,7.3,0.016559194475144978,0.00384,0.1077020778871218,0.017096343991791742
26,107776.924,183299.388,84.97227770278492,87.4439011917429,85.51283866515115,79.93866243983481,71.81170022364343,27.65,34851.56,64.7304777,33.51354508,82.09333821,19443,107777.021,183299.37,27.85,42500.46,12,10,6.49,7.247,12.271,47.864,39.866,13.7,2.7,1.602,0.26763,404,22.6,15.7,8.4,0.017888538094142058,0.00457,0.12231479038729613,0.020378282206982203
27,107752.723,183299.072,92.9053606621553,86.28702951225442,71.14290669153513,55.67585845262623,42.41982541565003,26.5620769,33749.13,59.12710968,48.3466376,51.02611265,9680,107752.33,183298.809,27.45,41407.83,13,10,6.6,11.743,20.303,39.878,39.819,19.0,3.8,1.588,0.23165,416,23.0,13.4,10.4,0.018608700171410555,0.00498,0.15837191635243025,0.02566205253859656
28,107732.312,183327.436,82.55614127768807,79.4154196268481,70.13162817271956,59.96411358885717,50.85884885992251,25.681,33762.93,58.40146795,39.89992111,60.50994,9811,107732.66,183327.436,26.5541536,41420.95,14,10,6.79,13.421,22.237,38.55,39.213,18.9,3.8,1.578,0.27103,21,24.9,24.6,19.6,0.0345686060044355,0.01487,0.13424701360945826,0.032369088984903704
29,107776.631,183291.31,105.33584848702047,104.10499841468378,94.65658520258172,82.45389881213889,70.06044592925937,28.05,34623.93,78.94580014,45.07758429,88.06367196,17044,107776.543,183291.428,27.95,42241.07,15,10,6.76,9.322,15.223,46.155,38.621,14.0,2.8,1.679,0.27536,422,23.0,20.6,12.5,0.02525825051341801,0.00906,0.12172650849840003,0.022923065306066883
