,Site,cll,percent,fs_emp,Minimization_Method,Alpha,Det,Result
177,P,0.15,1,FSeq,ROPE,0.2,LT,"[-12.747, 0.3145]"
178,P,0.15,1,FSeq,ROPE,0.2,LS,"[-12.750499999999999, 0.315]"
179,P,0.15,1,FSeq,ROPE,0.2,ID,"[-15.8645, 0.352]"
180,P,0.15,1,CS,L-BFGS-B,0.02,LT,"[-10.382, 0.2865]"
181,P,0.15,1,CS,L-BFGS-B,0.02,LS,"[-10.289000000000001, 0.2855]"
182,P,0.15,1,CS,L-BFGS-B,0.02,ID,"[-12.5225, 0.318]"
183,P,0.15,1,CS,L-BFGS-B,0.07,LT,"[-11.7485, 0.305]"
184,P,0.15,1,CS,L-BFGS-B,0.07,LS,"[-11.606000000000002, 0.2995]"
185,P,0.15,1,CS,L-BFGS-B,0.07,ID,"[-13.108, 0.3225]"
186,P,0.15,1,CS,L-BFGS-B,0.2,LT,"[-14.599, 0.3365]"
187,P,0.15,1,CS,L-BFGS-B,0.2,LS,"[-14.766, 0.3375]"
188,P,0.15,1,CS,L-BFGS-B,0.2,ID,"[-15.9775, 0.354]"
189,P,0.15,1,CS,ROPE,0.02,LT,"[-10.8325, 0.291]"
190,P,0.15,1,CS,ROPE,0.02,LS,"[-11.023, 0.2955]"
191,P,0.15,1,CS,ROPE,0.02,ID,"[-14.088000000000001, 0.331]"
192,P,0.15,1,CS,ROPE,0.07,LT,"[-10.104, 0.2825]"
193,P,0.15,1,CS,ROPE,0.07,LS,"[-10.357, 0.284]"
194,P,0.15,1,CS,ROPE,0.07,ID,"[-13.626000000000001, 0.324]"
195,P,0.15,1,CS,ROPE,0.2,LT,"[-12.9855, 0.3155]"
196,P,0.15,1,CS,ROPE,0.2,LS,"[-12.559000000000001, 0.313]"
197,P,0.15,1,CS,ROPE,0.2,ID,"[-15.782, 0.352]"
198,P,0.15,1,FSlin,L-BFGS-B,0.02,LT,"[-10.382, 0.2865]"
199,P,0.15,1,FSlin,L-BFGS-B,0.02,LS,"[-10.289000000000001, 0.2855]"
200,P,0.15,1,FSlin,L-BFGS-B,0.02,ID,"[-12.5225, 0.318]"
201,P,0.15,1,FSlin,L-BFGS-B,0.07,LT,"[-11.7485, 0.305]"
202,P,0.15,1,FSlin,L-BFGS-B,0.07,LS,"[-11.606000000000002, 0.2995]"
203,P,0.15,1,FSlin,L-BFGS-B,0.07,ID,"[-13.108, 0.3225]"
204,P,0.15,1,FSlin,L-BFGS-B,0.2,LT,"[-14.599, 0.3365]"
205,P,0.15,1,FSlin,L-BFGS-B,0.2,LS,"[-14.766, 0.3375]"
206,P,0.15,1,FSlin,L-BFGS-B,0.2,ID,"[-15.9775, 0.354]"
207,P,0.15,1,FSlin,ROPE,0.02,LT,"[-10.506, 0.288]"
208,P,0.15,1,FSlin,ROPE,0.02,LS,"[-10.909500000000001, 0.2935]"
209,P,0.15,1,FSlin,ROPE,0.02,ID,"[-13.986, 0.34]"
210,P,0.15,1,FSlin,ROPE,0.07,LT,"[-11.383500000000002, 0.3025]"
211,P,0.15,1,FSlin,ROPE,0.07,LS,"[-11.0245, 0.2995]"
212,P,0.15,1,FSlin,ROPE,0.07,ID,"[-14.198, 0.3375]"
213,P,0.15,1,FSlin,ROPE,0.2,LT,"[-13.1295, 0.32]"
214,P,0.15,1,FSlin,ROPE,0.2,LS,"[-12.3545, 0.3125]"
215,P,0.15,1,FSlin,ROPE,0.2,ID,"[-15.8025, 0.3535]"
