,cll,percent,fs_emp,Minimization_Method,Alpha,Det,R2,RMSE,0R2,0RMSE
48,0.3,16,FSeq,Gauss-Newton,0.07,LT,-19.588,0.228,-3.35,0.286
49,0.3,16,FSeq,Gauss-Newton,0.07,LS,-19.624,0.228,-3.332,0.286
50,0.3,16,FSeq,Gauss-Newton,0.07,ID,-18.79,0.224,-2.876,0.262
51,0.3,16,FSeq,Gauss-Newton,0.2,LT,-22.47,0.249,-3.759,0.294
52,0.3,16,FSeq,Gauss-Newton,0.2,LS,-22.472,0.249,-3.786,0.295
53,0.3,16,FSeq,Gauss-Newton,0.2,ID,-22.872,0.249,-3.444,0.28
54,0.3,16,FSeq,ROPE,0.07,LT,-4.014,0.116,-0.83,0.192
55,0.3,16,FSeq,ROPE,0.07,LS,-4.116,0.116,-0.807,0.19
56,0.3,16,FSeq,ROPE,0.07,ID,-5.853,0.132,-0.776,0.182
57,0.3,16,FSeq,ROPE,0.2,LT,-5.626,0.129,-0.862,0.187
58,0.3,16,FSeq,ROPE,0.2,LS,-5.668,0.129,-0.882,0.188
59,0.3,16,FSeq,ROPE,0.2,ID,-7.074,0.145,-0.926,0.187
60,0.3,16,FSlin,Gauss-Newton,0.07,LT,-19.588,0.228,-3.35,0.286
61,0.3,16,FSlin,Gauss-Newton,0.07,LS,-19.624,0.228,-3.332,0.286
62,0.3,16,FSlin,Gauss-Newton,0.07,ID,-18.79,0.224,-2.876,0.262
63,0.3,16,FSlin,Gauss-Newton,0.2,LT,-22.47,0.249,-3.759,0.294
64,0.3,16,FSlin,Gauss-Newton,0.2,LS,-22.472,0.249,-3.786,0.295
65,0.3,16,FSlin,Gauss-Newton,0.2,ID,-22.872,0.249,-3.444,0.28
66,0.3,16,FSlin,ROPE,0.07,LT,-4.956,0.128,-0.629,0.174
67,0.3,16,FSlin,ROPE,0.07,LS,-4.894,0.128,-0.632,0.174
68,0.3,16,FSlin,ROPE,0.07,ID,-6.901,0.147,-0.771,0.18
69,0.3,16,FSlin,ROPE,0.2,LT,-5.188,0.132,-0.838,0.186
70,0.3,16,FSlin,ROPE,0.2,LS,-5.26,0.132,-0.832,0.184
71,0.3,16,FSlin,ROPE,0.2,ID,-7.44,0.15,-0.875,0.182
72,0.3,20,FSeq,Gauss-Newton,0.07,LT,-19.565,0.227,-3.336,0.286
73,0.3,20,FSeq,Gauss-Newton,0.07,LS,-19.6,0.228,-3.312,0.286
74,0.3,20,FSeq,Gauss-Newton,0.07,ID,-18.715,0.224,-2.869,0.262
75,0.3,20,FSeq,Gauss-Newton,0.2,LT,-22.462,0.248,-3.751,0.294
76,0.3,20,FSeq,Gauss-Newton,0.2,LS,-22.428,0.249,-3.772,0.294
77,0.3,20,FSeq,Gauss-Newton,0.2,ID,-22.857,0.249,-3.436,0.28
78,0.3,20,FSeq,ROPE,0.07,LT,-3.598,0.11,-0.645,0.172
79,0.3,20,FSeq,ROPE,0.07,LS,-3.628,0.11,-0.648,0.173
80,0.3,20,FSeq,ROPE,0.07,ID,-5.324,0.13,-0.623,0.174
81,0.3,20,FSeq,ROPE,0.2,LT,-4.914,0.123,-0.876,0.19
82,0.3,20,FSeq,ROPE,0.2,LS,-4.993,0.124,-0.888,0.192
83,0.3,20,FSeq,ROPE,0.2,ID,-6.726,0.143,-0.881,0.187
84,0.3,20,FSlin,Gauss-Newton,0.07,LT,-19.565,0.227,-3.336,0.286
85,0.3,20,FSlin,Gauss-Newton,0.07,LS,-19.6,0.228,-3.312,0.286
86,0.3,20,FSlin,Gauss-Newton,0.07,ID,-18.715,0.224,-2.869,0.262
87,0.3,20,FSlin,Gauss-Newton,0.2,LT,-22.462,0.248,-3.751,0.294
88,0.3,20,FSlin,Gauss-Newton,0.2,LS,-22.428,0.249,-3.772,0.294
89,0.3,20,FSlin,Gauss-Newton,0.2,ID,-22.857,0.249,-3.436,0.28
90,0.3,20,FSlin,ROPE,0.07,LT,-4.853,0.124,-0.772,0.181
91,0.3,20,FSlin,ROPE,0.07,LS,-4.899,0.124,-0.788,0.182
92,0.3,20,FSlin,ROPE,0.07,ID,-7.115,0.145,-0.853,0.184
93,0.3,20,FSlin,ROPE,0.2,LT,-4.262,0.122,-0.797,0.186
94,0.3,20,FSlin,ROPE,0.2,LS,-4.256,0.122,-0.784,0.186
95,0.3,20,FSlin,ROPE,0.2,ID,-6.734,0.145,-0.873,0.186
