Z,Resistivity(ohm.m),easting,northing,nb_electrode
-2.7,7.253395,41665.667,204318.629,4.0
-2.6,7.64301875,41665.667,204318.629,4.0
-2.5,7.782337142857143,41665.667,204318.629,4.0
-2.4,8.24882909090909,41665.667,204318.629,4.0
-2.3,8.691650000000001,41665.667,204318.629,4.0
-2.2,8.906640000000001,41665.667,204318.629,4.0
-2.1,9.445332,41665.667,204318.629,4.0
-2.0,9.864912,41665.667,204318.629,4.0
-1.9,10.337633333333335,41665.667,204318.629,4.0
-1.8,11.04482625,41665.667,204318.629,4.0
-1.7,11.490810999999999,41665.667,204318.629,4.0
-1.6,12.076559333333334,41665.667,204318.629,4.0
-1.5,12.723989999999999,41665.667,204318.629,4.0
-1.4,13.815529166666666,41665.667,204318.629,4.0
-1.3,14.200474285714284,41665.667,204318.629,4.0
-1.2,15.16737,41665.667,204318.629,4.0
-1.1,15.673288571428571,41665.667,204318.629,4.0
-1.0,16.530841428571428,41665.667,204318.629,4.0
-0.9,17.7522425,41665.667,204318.629,4.0
-0.8,19.07561875,41665.667,204318.629,4.0
-0.7,20.69588666666667,41665.667,204318.629,4.0
-0.6,21.927075714285714,41665.667,204318.629,4.0
-0.5,23.874971666666667,41665.667,204318.629,4.0
-0.4,25.35127894736842,41665.667,204318.629,4.0
-0.3,26.097244210526316,41665.667,204318.629,4.0
-0.2,25.561595263157894,41665.667,204318.629,4.0
-0.1,24.360404583333334,41665.667,204318.629,4.0
-0.0,18.70954933333333,41665.667,204318.629,4.0
-4.9,3.60535,41665.858,204318.167,5.0
-4.8,3.642416666666667,41665.858,204318.167,5.0
-4.7,3.7668571428571425,41665.858,204318.167,5.0
-4.6,3.84802,41665.858,204318.167,5.0
-4.5,3.9305071428571425,41665.858,204318.167,5.0
-4.4,4.0677975,41665.858,204318.167,5.0
-4.3,4.137562,41665.858,204318.167,5.0
-4.2,4.185841666666668,41665.858,204318.167,5.0
-4.1,4.343746666666667,41665.858,204318.167,5.0
-4.0,4.435998,41665.858,204318.167,5.0
-3.9,4.552676666666667,41665.858,204318.167,5.0
-3.8,4.718208333333333,41665.858,204318.167,5.0
-3.7,4.850444,41665.858,204318.167,5.0
-3.6,4.9945071428571435,41665.858,204318.167,5.0
-3.5,5.166086666666667,41665.858,204318.167,5.0
-3.4,5.3124150000000006,41665.858,204318.167,5.0
-3.3,5.547446,41665.858,204318.167,5.0
-3.2,5.673092857142857,41665.858,204318.167,5.0
