Z,Resistivity(ohm.m),easting,northing,ID
-1.8,10.2286,107762.511,183308.545,6.0
-1.7,10.28048,107762.511,183308.545,6.0
-1.6,10.63078,107762.511,183308.545,6.0
-1.5,11.21579,107762.511,183308.545,6.0
-1.4,11.738534999999999,107762.511,183308.545,6.0
-1.3,12.527090000000001,107762.511,183308.545,6.0
-1.2,13.76386,107762.511,183308.545,6.0
-1.1,16.13826,107762.511,183308.545,6.0
-1.0,18.656156666666664,107762.511,183308.545,6.0
-0.9,22.714996666666668,107762.511,183308.545,6.0
-0.8,26.76787333333333,107762.511,183308.545,6.0
-0.7,32.91310666666667,107762.511,183308.545,6.0
-0.6,37.90397,107762.511,183308.545,6.0
-0.5,42.72731,107762.511,183308.545,6.0
-0.4,48.654650000000004,107762.511,183308.545,6.0
-0.3,55.44757333333334,107762.511,183308.545,6.0
-0.2,61.73683,107762.511,183308.545,6.0
-0.1,65.5199325,107762.511,183308.545,6.0
-0.0,67.16485,107762.511,183308.545,6.0
-4.3,23.51003,107762.792,183308.131,7.0
-4.2,22.97707,107762.792,183308.131,7.0
-4.1,22.33932,107762.792,183308.131,7.0
-4.0,22.20899,107762.792,183308.131,7.0
-3.9,21.075536666666668,107762.792,183308.131,7.0
-3.8,20.44673,107762.792,183308.131,7.0
-3.7,19.60488,107762.792,183308.131,7.0
-3.6,19.11446,107762.792,183308.131,7.0
-3.5,18.28645,107762.792,183308.131,7.0
-3.4,17.90282,107762.792,183308.131,7.0
-3.3,17.04748,107762.792,183308.131,7.0
-3.2,16.61627,107762.792,183308.131,7.0
-3.1,15.581795,107762.792,183308.131,7.0
-3.0,14.5674,107762.792,183308.131,7.0
-2.9,14.20731,107762.792,183308.131,7.0
-2.8,13.26326,107762.792,183308.131,7.0
-2.6,12.246915,107762.792,183308.131,7.0
-2.5,11.52469,107762.792,183308.131,7.0
-2.4,11.16287,107762.792,183308.131,7.0
-2.3,10.581375000000001,107762.792,183308.131,7.0
-2.2,9.962115,107762.792,183308.131,7.0
-2.1,9.50891,107762.792,183308.131,7.0
-2.0,9.52899,107762.792,183308.131,7.0
-1.9,9.277335,107762.792,183308.131,7.0
-1.8,9.349075,107762.792,183308.131,7.0
-1.7,9.4128,107762.792,183308.131,7.0
-1.6,9.747996666666666,107762.792,183308.131,7.0
