Z,Resistivity(ohm.m),easting,northing,ID
-0.5,44.56574333333333,107763.073,183307.718,8.0
-0.4,52.56394333333333,107763.073,183307.718,8.0
-0.3,58.030692,107763.073,183307.718,8.0
-0.2,64.14058,107763.073,183307.718,8.0
-0.1,66.87758833333334,107763.073,183307.718,8.0
-4.2,26.01384333333333,107763.354,183307.304,9.0
-4.1,25.31444,107763.354,183307.304,9.0
-3.9,23.72646,107763.354,183307.304,9.0
-3.8,23.223515,107763.354,183307.304,9.0
-3.7,22.1968,107763.354,183307.304,9.0
-3.6,20.39099,107763.354,183307.304,9.0
-3.5,20.018075,107763.354,183307.304,9.0
-3.4,19.39085,107763.354,183307.304,9.0
-3.3,19.29711,107763.354,183307.304,9.0
-3.2,17.031975,107763.354,183307.304,9.0
-3.1,16.65455,107763.354,183307.304,9.0
-3.0,15.235575,107763.354,183307.304,9.0
-2.9,14.2592,107763.354,183307.304,9.0
-2.8,13.626380000000001,107763.354,183307.304,9.0
-2.7,13.03041,107763.354,183307.304,9.0
-2.6,12.128810000000001,107763.354,183307.304,9.0
-2.5,10.979466666666667,107763.354,183307.304,9.0
-2.4,10.27704,107763.354,183307.304,9.0
-2.3,9.562735,107763.354,183307.304,9.0
-2.2,8.920035,107763.354,183307.304,9.0
-2.1,8.473403333333334,107763.354,183307.304,9.0
-2.0,8.020415,107763.354,183307.304,9.0
-1.9,7.50323,107763.354,183307.304,9.0
-1.8,7.477065,107763.354,183307.304,9.0
-1.7,7.405075,107763.354,183307.304,9.0
-1.6,7.09145,107763.354,183307.304,9.0
-1.5,7.535593333333334,107763.354,183307.304,9.0
-1.4,8.43257,107763.354,183307.304,9.0
-1.3,8.596506666666668,107763.354,183307.304,9.0
-1.2,10.524595,107763.354,183307.304,9.0
-1.1,11.558570000000001,107763.354,183307.304,9.0
-1.0,14.334725,107763.354,183307.304,9.0
-0.9,17.660083333333333,107763.354,183307.304,9.0
-0.8,21.564773333333335,107763.354,183307.304,9.0
-0.7,25.98308,107763.354,183307.304,9.0
-0.6,33.4742875,107763.354,183307.304,9.0
-0.5,41.713085,107763.354,183307.304,9.0
-0.4,52.5215,107763.354,183307.304,9.0
-0.3,60.147904,107763.354,183307.304,9.0
-0.2,64.06569,107763.354,183307.304,9.0
-0.1,63.78823625,107763.354,183307.304,9.0
-4.2,26.438855,107763.635,183306.891,10.0
-4.1,26.19747,107763.635,183306.891,10.0
-3.9,24.927084999999998,107763.635,183306.891,10.0
-3.8,24.45132,107763.635,183306.891,10.0
-3.7,22.93375,107763.635,183306.891,10.0
-3.6,22.8952,107763.635,183306.891,10.0
-3.5,20.32815,107763.635,183306.891,10.0
-3.4,20.40487,107763.635,183306.891,10.0
-3.3,19.55955,107763.635,183306.891,10.0
-3.2,18.91478,107763.635,183306.891,10.0
-3.1,16.65455,107763.635,183306.891,10.0
-3.0,16.1082,107763.635,183306.891,10.0
-2.9,14.95257,107763.635,183306.891,10.0
-2.8,13.62889,107763.635,183306.891,10.0
-2.7,12.866444999999999,107763.635,183306.891,10.0
-2.6,12.28049,107763.635,183306.891,10.0
-2.5,11.031736666666667,107763.635,183306.891,10.0
-2.4,10.27704,107763.635,183306.891,10.0
-2.3,9.770520000000001,107763.635,183306.891,10.0
-2.2,9.100655,107763.635,183306.891,10.0
-2.1,8.389165,107763.635,183306.891,10.0
-2.0,8.04268,107763.635,183306.891,10.0
-1.9,7.5791,107763.635,183306.891,10.0
-1.8,7.237045,107763.635,183306.891,10.0
-1.7,7.20367,107763.635,183306.891,10.0
-1.6,7.09145,107763.635,183306.891,10.0
-1.5,7.26955,107763.635,183306.891,10.0
-1.4,7.777316666666667,107763.635,183306.891,10.0
-1.3,8.457805,107763.635,183306.891,10.0
-1.2,9.195564999999998,107763.635,183306.891,10.0
-1.1,11.16954,107763.635,183306.891,10.0
-1.0,13.173896666666666,107763.635,183306.891,10.0
-0.9,15.92506,107763.635,183306.891,10.0
-0.8,20.0365325,107763.635,183306.891,10.0
-0.7,25.647725,107763.635,183306.891,10.0
-0.6,32.44583333333333,107763.635,183306.891,10.0
-0.5,43.01574333333334,107763.635,183306.891,10.0
-0.4,50.72863,107763.635,183306.891,10.0
-0.3,60.874446,107763.635,183306.891,10.0
-0.2,61.67507,107763.635,183306.891,10.0
-0.1,61.73278,107763.635,183306.891,10.0
-4.2,28.69641,107763.916,183306.477,11.0
-4.1,26.952136666666664,107763.916,183306.477,11.0
-3.9,26.052500000000002,107763.916,183306.477,11.0
-3.8,25.38445,107763.916,183306.477,11.0
-3.7,23.6707,107763.916,183306.477,11.0
-3.6,22.8952,107763.916,183306.477,11.0
-3.5,22.686085,107763.916,183306.477,11.0
-3.4,20.99428,107763.916,183306.477,11.0
-3.3,19.82199,107763.916,183306.477,11.0
-3.2,19.01603,107763.916,183306.477,11.0
-3.1,18.23557,107763.916,183306.477,11.0
-3.0,16.50362,107763.916,183306.477,11.0
-2.9,15.361284999999999,107763.916,183306.477,11.0
-2.8,15.05941,107763.916,183306.477,11.0
-2.7,13.443605,107763.916,183306.477,11.0
-2.5,11.49108,107763.916,183306.477,11.0
-2.4,10.864225,107763.916,183306.477,11.0
-2.3,9.711443333333333,107763.916,183306.477,11.0
-2.2,9.310635,107763.916,183306.477,11.0
-2.1,8.95119,107763.916,183306.477,11.0
-2.0,8.03612,107763.916,183306.477,11.0
-1.9,7.799325,107763.916,183306.477,11.0
-1.8,7.470135,107763.916,183306.477,11.0
-1.7,7.24943,107763.916,183306.477,11.0
-1.6,7.27111,107763.916,183306.477,11.0
